N	4gram	Vygotskiy__1	Narrotol
1	в том числе и	1	4
2	в том или ином	1	2
3	не что иное как	1	2
4	состоит в том что	1	2
5	точно так же как	1	2
6	в той мере в	1	1
7	дело в том что	1	1
8	включает в себя и	1	1
9	но в таком случае	1	1
10	одного и того же	1	1
11	поскольку речь идет о	1	1
12	той мере в какой	1	1
13	же как и в	1	1
14	один и тот же	1	1
15	речь идет не только	1	1
16	с этой точки зрения	4	1
17	может быть сведена к	2	1
18	не может быть сведена	2	1
19	состоит в том чтобы	1	1
20	идет не только о	1	1
