N	2gram	Tiupa_Narr_1	Tvorches
1	и в	11	20
2	в году	2	16
3	в романе	2	15
4	и т	1	13
5	не только	31	13
6	т д	1	11
7	никогда не	4	11
8	как бы	6	11
9	таким образом	1	10
10	в то	4	10
11	в его	6	10
12	и его	10	9
13	и не	23	9
14	при этом	19	8
15	и с	3	8
16	в том	8	8
17	может быть	15	8
18	в этом	12	8
19	прежде всего	4	8
20	но и	27	8
21	то же	8	7
22	это не	3	7
23	же время	4	7
24	наряду с	1	7
25	потому что	5	7
26	не может	8	7
27	что в	3	7
28	в целом	3	6
29	как и	13	6
30	в своей	5	6
31	что он	3	6
32	так и	5	6
33	в конце	2	6
34	у него	7	6
35	именно в	3	6
36	а не	13	6
37	все это	1	6
38	например в	1	5
39	еще не	4	5
40	и на	5	5
41	но не	4	5
42	все же	4	5
43	в этой	6	5
44	и сам	1	5
45	в творческом	1	5
46	в мире	4	5
47	то есть	9	5
48	о том	4	5
49	и даже	2	5
50	в творчестве	1	5
51	но это	1	5
52	так же	1	5
53	мы не	3	4
54	отнюдь не	2	4
55	как в	4	4
56	хотя и	4	4
57	когда он	1	4
58	но в	7	4
59	за собой	1	4
60	не в	6	4
61	что она	1	4
62	в принципе	4	4
63	что у	4	4
64	об этом	6	4
65	на стороне	1	4
66	соответствии с	4	4
67	если бы	7	4
68	тем самым	5	4
69	ничего не	2	4
70	в чем	2	4
71	в душе	1	4
72	а в	13	4
73	в соответствии	5	4
74	если не	2	4
75	и потому	1	4
76	и от	2	4
77	героя в	3	4
78	том что	7	4
79	но у	1	4
80	одним из	1	3
81	же как	1	3
82	и через	2	3
83	по мнению	1	3
84	самой своей	1	3
85	он сам	3	3
86	а с	1	3
87	по отношению	3	3
88	тогда как	10	3
89	по сути	2	3
90	о жизни	1	3
91	отношению к	3	3
92	в себе	6	3
93	в нем	4	3
94	он не	3	3
95	евгения онегина	1	3
96	в образе	1	3
97	так например	1	3
98	человека в	2	3
99	его в	1	3
100	и мы	1	3
101	но уже	1	3
102	в самом	6	3
103	в котором	1	3
104	в их	1	3
105	в которых	1	3
106	своего рода	10	3
107	тем что	1	3
108	одна из	4	3
109	казалось бы	2	3
110	так достоевский	1	3
111	боль в	1	3
112	с ним	2	3
113	до сих	2	3
114	между тем	3	3
115	уже не	8	3
116	в начале	3	3
117	для него	4	3
118	у нее	4	3
119	так как	1	3
120	то что	9	3
121	как у	2	3
122	что не	2	3
123	называет себя	1	3
124	в рассказе	8	3
125	вместе с	2	3
126	сути дела	1	3
127	главного героя	3	3
128	сих пор	2	3
129	один из	6	3
130	не является	3	3
131	но зато	2	3
132	жизни в	2	3
133	одной из	1	3
134	к этому	1	3
135	в таком	2	3
136	как известно	3	2
137	самом деле	3	2
138	и есть	1	2
139	со своими	1	2
140	и он	6	2
141	как правило	5	2
142	в ее	1	2
143	тут же	1	2
144	преступление и	1	2
145	и наконец	1	2
146	от ее	1	2
147	для которого	1	2
148	в которой	1	2
149	из жизни	1	2
150	в литературном	1	2
151	бы не	1	2
152	тоже не	1	2
153	особое место	1	2
154	тому же	6	2
155	во многих	1	2
156	но ведь	1	2
157	так сказать	2	2
158	едва ли	3	2
159	и по	1	2
160	или наконец	1	2
161	особенно в	2	2
162	которой он	1	2
163	зато в	1	2
164	и еще	2	2
165	в отличие	2	2
166	что я	1	2
167	точку зрения	1	2
168	у тургенева	2	2
169	их в	3	2
170	что этот	1	2
171	не менее	3	2
172	из нас	2	2
173	в русской	3	2
174	а во	4	2
175	и лишь	1	2
176	другой стороны	2	2
177	что на	4	2
178	однако это	1	2
179	у нас	3	2
180	мы узнаем	1	2
181	могут быть	1	2
182	ли не	2	2
183	опираясь на	1	2
184	более не	2	2
185	как по	1	2
186	действия и	1	2
187	так в	4	2
188	приводит к	1	2
189	роль в	2	2
190	он писал	1	2
191	действующих лиц	5	2
192	его времени	1	2
193	сводится к	3	2
194	и только	2	2
195	крайней мере	1	2
196	всяком случае	2	2
197	все время	1	2
198	в литературе	4	2
199	не случайно	1	2
200	с ними	2	2
201	только в	12	2
202	в стороне	1	2
203	и ее	3	2
204	точка зрения	5	2
205	себя в	2	2
206	и у	1	2
207	уже в	1	2
208	героя с	1	2
209	или даже	1	2
210	из них	4	2
211	его и	2	2
212	в одном	4	2
213	может служить	3	2
214	друг друга	2	2
215	только с	1	2
216	отличие от	2	2
217	с другой	2	2
218	не было	3	2
219	на этот	1	2
220	зависит от	2	2
221	по крайней	1	2
222	и вообще	1	2
223	в частности	14	2
224	начиная с	3	2
225	к жизни	2	2
226	о человеке	1	2
227	это его	1	2
228	образ и	1	2
229	в первой	2	2
230	человеческой культуры	1	2
231	на ранних	1	2
232	х гг	2	2
233	и тогда	2	2
234	это уже	3	2
235	с другими	1	2
236	это все	1	2
237	связь с	1	2
238	героя и	2	2
239	в искусстве	1	2
240	по причине	2	2
241	во всяком	2	2
242	лишь из	1	1
243	с первоначальным	1	1
244	если б	1	1
245	речь идет	3	1
246	в сфере	2	1
247	не видим	1	1
248	не остается	1	1
249	отметим что	1	1
250	не имел	1	1
251	на другой	5	1
252	только потому	1	1
253	переход от	2	1
254	это и	1	1
255	глухо и	1	1
256	европейской литературной	1	1
257	в первом	4	1
258	сам автор	1	1
259	внутренний мир	1	1
260	мы уже	1	1
261	той же	1	1
262	из всех	1	1
263	о болезни	1	1
264	бахтина в	1	1
265	в первый	1	1
266	этом не	1	1
267	жизненной позиции	1	1
268	не вполне	2	1
269	на себя	4	1
270	мы и	1	1
271	свою очередь	2	1
272	он был	1	1
273	между собой	2	1
274	быть в	1	1
275	с его	4	1
276	во всех	1	1
277	связи между	1	1
278	его собственным	1	1
279	этого героя	1	1
