N	3gram	Vygotskiy__2	VelikijI
1	за то что	1	3
2	в первый раз	2	3
3	то что мы	1	3
4	к тому что	2	3
5	а между тем	1	2
6	но и в	1	2
7	том что он	3	2
8	его во всех	1	2
9	вместо того чтобы	1	2
10	в том что	17	2
11	и т д	2	2
12	есть один из	1	1
13	то ни стало	1	1
14	в ней и	1	1
15	во что бы	1	1
16	и в сознании	1	1
17	и каким образом	1	1
18	в сознании и	2	1
19	как детскую игру	1	1
20	с тем чтобы	1	1
21	бы то ни	2	1
22	по крайней мере	1	1
23	вместе с тем	1	1
24	не могли бы	1	1
25	что он так	1	1
26	что бы то	1	1
27	так как она	1	1
28	о смысле и	1	1
29	в конце концов	3	1
30	не могут быть	1	1
31	он говорит что	1	1
32	с другой стороны	2	1
33	жизнь так и	1	1
34	по сравнению с	2	1
35	и никогда не	2	1
36	после того как	1	1
37	все это имеет	1	1
38	но и тут	1	1
39	мы видим что	2	1
40	и что в	2	1
41	как и в	2	1
42	в жизни и	2	1
