N	3gram	Tiupa_Teor_1	slovoVRo
1	то же время	5	12
2	в то же	5	12
3	в той или	1	9
4	той или иной	1	9
5	с точки зрения	3	8
6	в большинстве случаев	1	6
7	в отношении к	1	6
8	и в то	1	5
9	с одной стороны	2	4
10	с другой стороны	5	4
11	но в то	1	4
12	то есть как	1	3
13	в данном случае	5	3
14	более или менее	2	3
15	и в сущности	1	2
16	то есть для	1	2
17	а между тем	1	2
18	в известной степени	1	2
19	до известной степени	2	2
20	одно и то	1	2
21	в первом случае	1	2
22	в то время	1	2
23	и то же	1	2
24	в известном смысле	1	2
25	не могут быть	2	2
26	в евгении онегине	1	2
27	того или иного	3	2
28	в свою очередь	2	2
29	к тому что	2	2
30	весь его текст	1	1
31	не в самом	2	1
32	здесь как бы	1	1
33	в виду не	3	1
34	между собой в	1	1
35	человек имеет дело	1	1
36	дело в том	1	1
37	бы ни был	1	1
38	в контексте целого	1	1
39	это было бы	1	1
40	имеем в виду	3	1
41	слова так и	1	1
42	они ни были	1	1
43	то или иное	1	1
44	только в условиях	1	1
45	в отличие от	6	1
46	бы то ни	1	1
47	точки зрения не	1	1
48	в противном случае	1	1
49	или даже вовсе	1	1
50	со всех сторон	1	1
51	по крайней мере	1	1
52	и тем и	1	1
53	может быть и	2	1
54	не могло быть	2	1
55	в значительной степени	1	1
56	своему смыслу и	1	1
57	то ни было	1	1
58	мы имеем в	3	1
59	как в поэзии	1	1
60	так или иначе	4	1
61	в особенности в	1	1
62	и не могла	1	1
63	поэтического слова в	1	1
64	не может быть	4	1
65	тем не менее	3	1
66	между тем это	1	1
67	о том что	1	1
68	языки но и	1	1
69	в эстетический объект	2	1
70	не на языке	1	1
71	тем и другим	1	1
72	никогда не бывает	1	1
73	не только не	2	1
74	можно сказать что	2	1
75	бы они ни	1	1
76	у нее нет	1	1
77	тех или иных	3	1
78	для того чтобы	1	1
79	в том что	8	1
80	как и в	2	1
81	именно потому что	1	1
