N	2gram	Bakhtin_KF_1	Komedia
1	и в	24	22
2	том что	4	12
3	в том	6	11
4	но и	9	11
5	в то	3	10
6	не только	5	10
7	как и	5	9
8	может быть	45	9
9	в одном	4	8
10	и не	26	8
11	и его	17	8
12	о том	3	8
13	едва ли	2	7
14	в этой	2	7
15	и других	2	7
16	в которой	1	6
17	а в	4	6
18	не в	12	6
19	в отношении	1	6
20	что в	4	6
21	то же	5	6
22	к тому	1	6
23	ни в	12	6
24	что он	2	6
25	и по	1	6
26	на его	1	5
27	так и	2	5
28	потому что	2	5
29	в истории	1	5
30	между тем	4	5
31	и даже	1	5
32	в его	40	5
33	прежде всего	2	5
34	нового времени	1	5
35	один из	2	5
36	при этом	4	5
37	все это	10	5
38	как в	2	5
39	время от	1	4
40	же время	2	4
41	в другом	3	4
42	точки зрения	12	4
43	в нем	28	4
44	в их	8	4
45	к этому	2	4
46	но в	5	4
47	в качестве	2	4
48	тем что	3	4
49	по поводу	1	4
50	в котором	24	4
51	ясно что	3	4
52	из его	3	4
53	именно в	5	4
54	что и	7	4
55	мы можем	1	4
56	в результате	1	4
57	несмотря на	1	4
58	же в	1	4
59	так как	1	4
60	главным образом	1	3
61	все же	5	3
62	и с	1	3
63	вопрос о	2	3
64	хотя и	1	3
65	включая сюда	2	3
66	место в	5	3
67	за исключением	1	3
68	одной из	1	3
69	к этим	1	3
70	отношению к	22	3
71	и ее	2	3
72	не менее	3	3
73	и все	7	3
74	на то	1	3
75	в виде	2	3
76	всего в	1	3
77	в сознании	2	3
78	как раз	1	3
79	мы не	3	3
80	как это	1	3
81	отношение к	5	3
82	могут быть	3	3
83	его в	5	3
84	не мог	1	3
85	здесь мы	4	3
86	здесь в	1	3
87	как из	1	3
88	по отношению	26	3
89	в этом	14	3
90	можно сделать	1	3
91	тот же	1	3
92	в чем	4	3
93	и о	1	3
94	во второй	1	3
95	ничего не	3	3
96	только в	16	3
97	в целом	10	3
98	по своему	3	3
99	и на	3	3
100	он не	6	3
101	все остальные	1	3
102	и как	2	3
103	мы найдем	1	2
104	и из	1	2
105	могли быть	1	2
106	точек зрения	1	2
107	в себе	21	2
108	и здесь	7	2
109	во всяком	1	2
110	но он	1	2
111	бы то	2	2
112	того же	1	2
113	именно на	2	2
114	не может	27	2
115	для себя	5	2
116	вовсе не	7	2
117	только при	1	2
118	где он	3	2
119	к нему	12	2
120	и теперь	1	2
121	и во	1	2
122	независимо от	3	2
123	не следует	1	2
124	второй половине	1	2
125	в действительности	1	2
126	между прочим	1	2
127	от до	1	2
128	тем как	3	2
129	ли это	2	2
130	в принципе	2	2
131	совсем не	2	2
132	по своей	1	2
133	но не	12	2
134	вместе с	1	2
135	в трагедии	1	2
136	в себя	7	2
137	к ней	1	2
138	и можно	1	2
139	только что	1	2
140	времени и	4	2
141	то что	7	2
142	поэтому мы	1	2
143	и мир	2	2
144	из которых	2	2
145	на все	1	2
146	мог бы	1	2
147	с ее	2	2
148	ее в	1	2
149	были в	1	2
150	или в	1	2
151	то ни	2	2
152	на нем	2	2
153	относится к	1	2
154	всяком случае	1	2
155	тем не	2	2
156	видеть в	1	2
157	ту же	1	2
158	образом в	1	2
159	для этого	2	2
160	одна из	1	2
161	и тем	3	2
162	ни было	4	2
163	на этом	1	2
164	а к	1	2
165	ему и	1	2
166	и таким	1	2
167	в самом	1	2
168	такой же	1	2
169	до конца	3	2
170	из всех	1	2
171	еще не	4	2
172	не раз	1	2
173	в своих	3	2
174	в известном	1	2
175	от них	1	2
176	не к	1	2
177	столь же	1	2
178	же самое	1	2
179	все что	1	2
180	всего этого	1	2
181	в области	2	2
182	время и	5	2
183	было бы	8	2
184	со стороны	7	2
185	а то	1	2
186	в первой	1	2
187	собой и	1	2
188	но это	6	2
189	в свою	3	2
190	за его	1	1
191	если и	1	1
192	его от	1	1
193	и находит	1	1
194	которые могут	1	1
195	к выводу	1	1
196	на ее	1	1
197	отсюда и	3	1
198	приводит к	1	1
199	всех сторон	1	1
200	в значительной	1	1
201	места в	4	1
202	наше время	1	1
203	конца и	1	1
204	единственного и	2	1
205	связь с	1	1
206	было показано	1	1
207	говорить о	2	1
208	ее от	1	1
209	они не	1	1
210	отказаться от	2	1
211	всю жизнь	1	1
212	исходит из	1	1
213	именно к	1	1
214	обоснование в	1	1
215	ее не	1	1
216	в литературе	1	1
217	жизни и	8	1
218	мы ничего	1	1
219	его с	2	1
220	было и	2	1
221	людей и	2	1
222	принципов и	1	1
223	не была	1	1
224	нет в	4	1
225	и для	9	1
226	может служить	1	1
227	никто не	1	1
228	но конечно	3	1
229	в этот	1	1
230	с целью	1	1
231	мы здесь	2	1
232	но при	1	1
233	впрочем в	1	1
234	политики и	1	1
235	все равно	1	1
236	и эстетической	1	1
237	большинстве случаев	1	1
238	он становится	1	1
239	и тот	1	1
240	в каком	4	1
241	для решения	1	1
242	мира как	2	1
243	гораздо более	1	1
244	в стороне	1	1
245	не по	4	1
246	в жизни	2	1
247	с ней	1	1
248	о его	1	1
249	число таких	1	1
250	в большинстве	1	1
251	мы уже	1	1
252	еще отчетливее	1	1
253	чтобы я	1	1
254	это в	1	1
255	хотя бы	4	1
256	если это	1	1
257	что это	3	1
