N	2gram	Vygotskiy__3	IolandNe
1	и с	1	3
2	и не	10	2
3	должен быть	3	2
4	в этом	13	2
5	он не	6	2
6	ничего не	2	2
7	оба они	1	2
8	что в	20	2
9	бы что	1	2
10	только что	2	1
11	нисколько не	1	1
12	что для	1	1
13	все эти	4	1
14	то и	3	1
15	с другой	7	1
16	человеке и	2	1
17	бы всю	1	1
18	для него	2	1
19	того чтобы	9	1
20	того что	4	1
21	слишком много	1	1
22	и о	3	1
23	не так	3	1
24	без этого	1	1
25	что при	1	1
26	так то	1	1
27	в целом	4	1
28	и та	2	1
29	это было	1	1
30	так и	1	1
31	и ничего	2	1
32	автора и	2	1
33	доказать что	1	1
34	кто иной	1	1
35	доказательство того	1	1
36	в основе	3	1
37	могло бы	2	1
38	жизни и	1	1
39	было не	1	1
40	как о	1	1
41	у всех	4	1
42	и очень	2	1
43	не кто	1	1
44	этим и	1	1
45	если бы	14	1
46	того же	3	1
47	не остается	1	1
48	от этого	1	1
49	а с	2	1
50	и еще	1	1
51	это был	2	1
52	наоборот не	1	1
53	только для	3	1
54	иной как	1	1
55	и тот	1	1
56	для того	8	1
57	есть только	2	1
58	бы в	3	1
59	нам в	2	1
60	а в	7	1
61	очевидно что	2	1
62	то она	1	1
63	при такой	2	1
64	по существу	2	1
65	и в	38	1
66	как только	3	1
67	теперь я	1	1
68	в эту	2	1
69	та и	1	1
70	все это	3	1
71	со всеми	2	1
72	тем что	3	1
73	ушел от	1	1
74	а если	1	1
75	он с	1	1
76	я не	5	1
77	другой стороны	5	1
78	никогда не	4	1
79	в них	3	1
