N	3gram	Savitsky_P_1	Istorich
1	с другой стороны	1	8
2	и т д	1	8
3	с одной стороны	3	7
4	в том что	4	5
5	не только в	4	4
6	вместе с тем	1	3
7	не может быть	1	3
8	том что в	1	2
9	в северной америке	2	2
10	мы не будем	1	2
11	но и в	2	2
12	во всяком случае	1	2
13	живых и мертвых	1	2
14	в этом мире	1	1
15	мы видим в	1	1
16	более или менее	1	1
17	никогда не осуществляется	1	1
18	в том числе	2	1
19	одной стороны и	2	1
20	в частности в	1	1
21	для тех кто	1	1
22	и не может	1	1
23	совершенно ясно что	1	1
24	том числе и	1	1
25	и то что	1	1
26	в жизни народа	1	1
27	так же как	1	1
28	в этом не	1	1
29	формы в которых	1	1
30	и пр есть	1	1
31	в борьбе с	1	1
32	и тем самым	1	1
33	и тем более	1	1
34	друг с другом	1	1
35	в сравнении с	3	1
36	для того чтобы	1	1
