N	3gram	Medvedev_U_1	Hudozhes
1	в том что	2	11
2	то же время	3	4
3	в то же	3	4
4	а между тем	2	3
5	в самом деле	2	3
6	не может быть	4	3
7	в конечном счете	4	3
8	с одной стороны	1	3
9	том что она	1	2
10	до сих пор	2	2
11	и в то	1	2
12	хотя бы и	2	2
13	то что было	1	2
14	в данном случае	1	2
15	же самое что	1	2
16	то же самое	2	2
17	не только в	1	2
18	что все они	1	2
19	все что угодно	1	1
20	как и всякого	1	1
21	и не случайно	1	1
22	это было бы	1	1
23	он будет не	1	1
24	бы то ни	3	1
25	в этом отношении	2	1
26	и то что	2	1
27	тем что он	1	1
28	между тем в	1	1
29	обе эти тенденции	1	1
30	так или иначе	1	1
31	все же не	1	1
32	как нам представляется	1	1
33	с другой стороны	3	1
34	достоевского и толстого	1	1
35	никогда и не	1	1
36	в этом случае	1	1
37	смысле можно сказать	1	1
38	можно сказать что	1	1
