N	2gram	Nazirov_Tv_2	NovoeSre
1	а не	6	17
2	и в	20	16
3	не может	7	16
4	во имя	1	15
5	и не	9	11
6	и есть	2	10
7	что в	7	9
8	в том	8	8
9	он не	3	8
10	культуры и	1	7
11	в этом	8	7
12	может быть	8	7
13	как и	6	7
14	высшей степени	1	6
15	с его	1	6
16	от бога	1	6
17	не в	4	6
18	ни в	1	6
19	в высшей	1	6
20	общественной жизни	1	6
21	никогда не	11	6
22	лишь в	1	6
23	но это	5	6
24	не знает	1	6
25	должен быть	1	5
26	истории в	1	5
27	и к	1	5
28	не только	13	5
29	в жизни	1	5
30	xix века	7	5
31	все это	6	5
32	в нем	3	5
33	со всех	1	4
34	большую роль	1	4
35	быть может	3	4
36	о том	5	4
37	всех сторон	1	4
38	и мы	3	4
39	наше время	2	4
40	в них	1	4
41	то что	3	4
42	это не	7	4
43	прежде всего	8	4
44	не было	2	4
45	должно быть	1	4
46	и потому	4	4
47	значит что	1	4
48	не менее	2	4
49	и для	1	4
50	не имеет	1	4
51	потому что	7	4
52	с другой	2	3
53	в ее	2	3
54	человека и	3	3
55	еще не	5	3
56	во всех	1	3
57	в истории	2	3
58	наряду с	7	3
59	как в	4	3
60	не значит	1	3
61	французской революции	1	3
62	в мире	5	3
63	но и	8	3
64	не есть	1	3
65	не означает	2	3
66	бога и	1	3
67	в своей	6	3
68	к жизни	2	3
69	в россии	2	3
70	она не	1	3
71	в наше	2	3
72	нашей эпохи	1	3
73	жизни не	1	3
74	в основе	2	3
75	жизни в	3	3
76	в духе	4	3
77	истории не	1	3
78	к тому	1	3
79	дня и	1	3
80	сказать что	1	3
81	и это	3	2
82	нем нет	1	2
83	же как	3	2
84	более не	2	2
85	связана с	1	2
86	это и	1	2
87	на путях	1	2
88	роль в	2	2
89	можно было	1	2
90	так и	6	2
91	к самой	1	2
92	мы не	4	2
93	общества и	1	2
94	и с	8	2
95	я не	2	2
96	жизни как	1	2
97	и должно	1	2
98	и что	2	2
99	они считают	1	2
100	и на	5	2
101	быть в	1	2
102	но не	5	2
103	к богу	1	2
104	которую она	1	2
105	сильнее и	2	2
106	века и	1	2
107	все время	2	2
108	с этим	1	2
109	xix век	1	2
110	ни к	2	2
111	хотя и	4	2
112	но в	4	2
113	который в	1	2
114	в обществе	1	2
115	все эти	4	2
116	с одной	1	2
117	себя в	2	2
118	думать что	1	2
119	с их	1	2
120	в себе	3	2
121	уже не	3	2
122	это связано	1	2
123	не к	1	2
124	том чтобы	1	2
125	у него	6	2
126	что она	4	2
127	что все	1	2
128	нет и	2	2
129	и даже	5	2
130	права на	2	2
131	зависит от	2	2
132	духовной жизни	1	2
133	том что	4	2
134	всемирной истории	1	2
135	вместе с	3	2
136	так же	5	2
137	я уже	1	2
138	мы говорим	1	2
139	место в	3	2
140	не знал	2	2
141	мысли и	1	2
142	такого рода	1	2
143	другой стороны	2	2
144	не могли	2	2
145	xviii века	2	2
146	как будто	1	2
147	возвращается к	1	2
148	как это	1	2
149	такой же	2	2
150	в то	10	2
151	одна из	3	2
152	и от	4	2
153	самой жизни	1	2
154	в русском	1	2
155	познания и	2	2
156	а в	4	2
157	и начинается	1	2
158	ли это	1	2
159	могут быть	2	2
160	сама жизнь	1	2
161	капитализм и	1	2
162	от этой	2	1
163	и через	3	1
164	не имел	1	1
165	бытия а	1	1
166	для себя	1	1
167	только потому	1	1
168	переход от	1	1
169	характер и	1	1
170	по старой	1	1
171	было то	1	1
172	перед лицом	1	1
173	что само	1	1
174	по преимуществу	2	1
175	приводит к	2	1
176	и до	1	1
177	на западе	3	1
178	миру а	1	1
179	в образе	3	1
180	с собой	1	1
181	мы уже	1	1
182	учит нас	1	1
183	не с	1	1
184	ней нет	1	1
185	во многом	2	1
186	вопрос этот	1	1
