N	3gram	Propp_Russ_2	Narrotol
1	в том что	18	8
2	с одной стороны	2	7
3	о том что	4	6
4	в отличие от	3	5
5	не может быть	3	5
6	в данном случае	6	4
7	с другой стороны	1	4
8	можно сказать что	1	4
9	состоит в том	13	3
10	на себя внимание	1	3
11	в этом отношении	1	3
12	тем не менее	2	3
13	в свою очередь	1	3
14	что иное как	2	2
15	не может не	1	2
16	более или менее	1	2
17	подобно тому как	3	2
18	можно было бы	1	2
19	так же как	4	2
20	не что иное	2	2
21	на первый взгляд	1	2
22	на другой день	2	2
23	братьев и сестер	1	1
24	том что в	1	1
25	а на другой	1	1
26	он приходится на	1	1
27	что каждый из	1	1
28	когда-то и в	1	1
29	дело в том	1	1
30	что один из	1	1
31	в том же	1	1
32	же как и	2	1
33	с таким же	1	1
34	но далеко не	1	1
35	не входит в	1	1
36	в первую очередь	1	1
37	по аналогии с	1	1
38	умирающего и воскресающего	2	1
39	но это не	1	1
40	а иногда и	1	1
41	может быть только	2	1
42	в западной европе	1	1
43	может быть и	1	1
44	мы не имеем	1	1
45	один из них	1	1
46	всякую связь с	1	1
47	что именно в	1	1
48	иметь в виду	1	1
49	и совершенно иной	1	1
50	а именно с	1	1
51	как мы увидим	1	1
52	все то что	1	1
53	быть не только	1	1
54	это пока еще	2	1
55	в том чтобы	2	1
56	в церкви и	1	1
57	далеко не все	1	1
58	в мировом фольклоре	1	1
59	тем более что	1	1
60	совершенно очевидно что	1	1
61	как мы уже	1	1
62	фаза в развитии	1	1
63	как символ бессмертия	1	1
64	у нас нет	1	1
65	как и в	1	1
66	пока еще не	2	1
67	как мы видели	1	1
