1	в то же	7	13
2	то же время	7	12
3	в том что	3	6
4	о том что	1	5
5	дело в том	2	3
6	с самого начала	1	3
7	и все же	1	3
8	не только в	1	2
9	и т п	5	2
10	тем не менее	2	2
11	и в то	2	2
12	на самом деле	12	2
13	место в творчестве	1	2
14	в одной из	1	2
15	можно сказать что	1	2
16	в данном случае	4	2
17	в этом романе	3	2
18	и тем не	1	1
19	может быть понята	1	1
20	к тому что	2	1
21	друг на друга	1	1
22	в своем творчестве	1	1
23	не может и	1	1
24	и того же	1	1
25	хотя бы и	1	1
26	то ни было	4	1
27	в отличие от	2	1
28	но при этом	1	1
29	в связи с	4	1
30	сами по себе	2	1
31	в процессе художественного	1	1
32	до сих пор	1	1
33	в отношении к	1	1
34	хотя и не	1	1
35	быть понята как	1	1
36	одного и того	1	1
37	объясняется тем что	1	1
38	имеем в виду	1	1
39	на самом же	2	1
40	самом же деле	2	1
41	и т д	6	1
42	вместе с тем	3	1
43	же именно в	1	1
44	ту или иную	1	1
45	по отношению к	3	1
46	я и не	1	1
47	нам кажется что	2	1
48	что же касается	1	1
49	то же самое	3	1
50	он говорит о	1	1
51	это объясняется тем	1	1
52	каких бы то	1	1
53	в том же	1	1
54	форму и содержание	1	1
55	равно как и	2	1
56	и в других	1	1
57	и в романе	1	1
58	так и от	2	1
59	может быть определен	1	1
60	это не значит	1	1
61	можно только в	2	1
62	с установкой на	2	1
63	с одной стороны	1	1
64	а вместе с	1	1
65	все более и	1	1
66	и в самом	1	1
67	более и более	1	1
68	бы то ни	4	1
69	в настоящее время	1	1
70	внешнего и внутреннего	2	1
71	так как и	1	1
72	дело не в	2	1
73	мы все время	1	1
74	в основе всех	1	1
75	только то что	2	1
76	в конце концов	2	1
77	как и в	1	1
78	и что в	1	1
79	с другой стороны	5	1
80	события но и	1	1
81	мы имеем в	1	1
