N	2gram	Tiupa_Narr_1	Russkaja
1	не может	10	22
2	и не	20	19
3	в том	18	17
4	в этом	17	17
5	и в	19	14
6	с другом	1	14
7	друг с	1	14
8	то что	11	13
9	то же	4	11
10	точки зрения	10	11
11	таким образом	1	11
12	в то	3	10
13	же время	4	10
14	но и	23	10
15	в себе	8	9
16	не только	32	9
17	том что	14	9
18	с точки	2	9
19	может быть	25	9
20	церкви и	1	9
21	прежде всего	4	8
22	самом деле	2	7
23	отнюдь не	5	7
24	и с	4	7
25	в данном	5	7
26	к тому	7	7
27	не будет	3	7
28	о том	6	7
29	если в	3	6
30	в своем	2	6
31	и к	1	6
32	в россии	1	6
33	и при	1	6
34	признать что	1	6
35	если бы	1	6
36	и для	2	6
37	что он	6	6
38	для него	2	6
39	на самом	1	6
40	и на	3	5
41	между собой	2	5
42	во всех	1	5
43	в нем	4	5
44	при этом	9	5
45	он не	3	5
46	было бы	4	5
47	никогда не	3	5
48	потому что	1	5
49	последние дни	1	5
50	между тем	3	5
51	и только	2	5
52	только в	4	5
53	хотя бы	4	5
54	в последние	2	5
55	или иной	5	5
56	до сих	1	5
57	себя и	2	5
58	из которых	4	5
59	по существу	2	5
60	сих пор	1	5
61	а в	11	5
62	жизни в	3	5
63	и то	1	4
64	бы то	3	4
65	но не	5	4
66	себя в	5	4
67	все же	7	4
68	более или	2	4
69	не в	14	4
70	в этой	5	4
71	на земле	1	4
72	тому чтобы	1	4
73	то ни	3	4
74	в совершенно	1	4
75	его в	2	4
76	как и	7	4
77	или менее	2	4
78	в их	1	4
79	точку зрения	4	4
80	а лишь	1	4
81	ли это	1	4
82	от того	1	4
83	не могут	1	4
84	приводит к	2	4
85	в мире	9	4
86	можно было	2	4
87	и т.д	7	4
88	в его	9	4
89	со стороны	9	4
90	как бы	4	4
91	в другое	1	4
92	возможно лишь	1	4
93	жизни и	3	4
94	что в	3	4
95	то в	6	3
96	говорить о	2	3
97	от церкви	1	3
98	в будущем	2	3
99	еще не	7	3
100	он сам	2	3
101	из этих	3	3
102	что они	3	3
103	в самом	1	3
104	что это	3	3
105	ни одна	1	3
106	на том	3	3
107	и по	1	3
108	в другом	1	3
109	лишь в	1	3
110	несмотря на	2	3
111	и сейчас	2	3
112	таким же	1	3
113	том чтобы	1	3
114	одна из	3	3
115	связи с	4	3
116	точке зрения	1	3
117	что оно	1	3
118	той или	4	3
119	приходит к	2	3
120	что все	1	3
121	данном случае	4	3
122	сводится к	3	3
123	может не	3	3
124	в вопросах	1	3
125	в значительной	2	3
126	и во	1	3
127	что и	1	3
128	того что	1	3
129	одной из	4	3
130	в качестве	21	3
131	с нею	1	3
132	из них	3	3
133	в конце	1	3
134	тем что	3	3
135	именно в	6	3
136	не было	2	3
137	и потому	2	3
138	да и	4	3
139	культуры в	1	3
140	она может	2	3
141	или в	2	3
142	о котором	1	3
143	и как	5	3
144	не есть	3	3
145	речь идет	4	2
146	и есть	1	2
147	должна быть	2	2
148	видеть в	1	2
149	приводят к	1	2
150	но она	1	2
151	на себя	3	2
152	в ней	3	2
153	в таком	2	2
154	время в	2	2
155	там и	1	2
156	по отношению	7	2
157	тогда как	12	2
158	друг от	1	2
159	и наконец	1	2
160	но в	6	2
161	а во-вторых	1	2
162	все эти	2	2
163	и тот	2	2
164	состоит в	13	2
165	мы уже	1	2
166	того или	2	2
167	в глазах	1	2
168	по себе	5	2
169	и тем	4	2
170	одному из	1	2
171	культуры с	1	2
172	и тогда	1	2
173	в котором	1	2
174	место в	1	2
175	в силу	4	2
176	другом и	2	2
177	и более	1	2
178	их в	1	2
179	том же	1	2
180	она не	2	2
181	культурной жизни	1	2
182	принадлежат к	1	2
183	для нас	1	2
184	у него	4	2
185	и является	1	2
186	как будто	3	2
187	в области	2	2
188	к себе	5	2
189	всю свою	1	2
190	отличается от	4	2
191	если же	1	2
192	для себя	1	2
193	от друга	1	2
194	или нескольких	1	2
195	даже не	3	2
196	от него	1	2
197	к нему	5	2
198	отметить что	1	2
199	быть и	1	2
200	совершенно не	2	2
201	даже если	1	2
202	в россию	1	2
203	уже не	5	2
204	в начале	1	2
205	его и	1	2
206	не так	1	2
207	вопросах веры	1	2
208	ни в	3	2
209	не о	3	2
210	мы можем	1	2
211	при отсутствии	1	2
212	и даже	3	2
213	а с	3	2
214	и направление	1	2
215	зависит от	2	2
216	а не	12	2
217	совершенно очевидно	2	2
218	в частности	14	2
219	так же	2	2
220	в меру	1	2
221	или иного	2	2
222	отношения к	2	2
223	благодаря этому	1	2
224	но это	1	2
225	этом и	1	2
226	от нас	1	2
227	если не	4	2
228	и от	1	2
229	не подлежит	1	2
230	в результате	2	2
231	не должен	1	2
232	с ним	1	2
233	тем самым	6	2
234	точно так	2	2
235	из церкви	1	1
236	того же	1	1
237	он может	1	1
238	это и	3	1
239	идет о	2	1
240	не признает	1	1
241	ему что	1	1
242	национальной и	1	1
243	далеко и	1	1
244	схемы и	1	1
245	с таким	1	1
246	и за	1	1
247	также и	1	1
248	есть не	1	1
249	надо было	1	1
250	мы не	1	1
251	же как	3	1
252	и ничего	1	1
253	изменений в	1	1
254	у себя	1	1
255	он как	1	1
256	в сущности	3	1
257	оно есть	1	1
258	которое в	1	1
259	формы в	1	1
260	изменение в	1	1
261	разумеется не	1	1
262	столько же	1	1
263	на них	1	1
264	столь же	3	1
265	ее к	1	1
266	в область	2	1
267	но как	2	1
268	точка зрения	6	1
269	в общем	1	1
270	очевидно что	1	1
271	судьбу в	1	1
272	первый взгляд	2	1
273	данный момент	1	1
274	внутри себя	1	1
275	что первое	1	1
276	лишь изредка	1	1
277	что касается	2	1
278	перед нами	4	1
279	кто не	1	1
280	в полном	2	1
281	когда он	3	1
282	что по	2	1
283	не являются	2	1
284	от этого	1	1
285	не быть	1	1
286	в смысл	1	1
287	за границей	4	1
288	ни один	1	1
289	свою родину	1	1
290	бы не	2	1
291	за освобождение	1	1
292	без ее	1	1
293	то и	1	1
294	тому же	5	1
295	но на	1	1
296	на его	1	1
297	не могла	1	1
298	силу и	1	1
299	тем не	3	1
300	они в	2	1
301	в принципе	4	1
302	к одному	1	1
303	надежда на	3	1
304	постольку поскольку	2	1
305	но все	4	1
306	значительной степени	2	1
307	подход к	2	1
308	таким каким	2	1
309	здесь мы	1	1
310	единое целое	1	1
311	об этом	1	1
312	а по	2	1
313	то есть	19	1
314	или даже	2	1
315	входит в	1	1
316	с другими	1	1
317	его личности	2	1
318	это не	2	1
319	за другой	1	1
320	впереди лишь	1	1
321	практически не	1	1
322	придает ему	1	1
323	с богом	1	1
324	из нее	1	1
325	этого слова	2	1
326	церковь и	1	1
327	все равно	1	1
328	в общей	2	1
329	не всегда	2	1
330	друга в	1	1
331	обозначить как	2	1
332	жизни но	2	1
333	как сказано	1	1
334	нет и	2	1
335	иначе говоря	6	1
336	в один	1	1
337	и того	1	1
338	одного и	1	1
339	что данный	1	1
340	на первый	2	1
341	и народ	1	1
342	не столько	4	1
343	на свою	1	1
344	в которых	1	1
345	собой не	2	1
346	было проведено	1	1
347	и другого	1	1
348	нельзя было	1	1
349	ней поэтому	1	1
350	теми же	1	1
351	по крайней	1	1
352	ни было	3	1
353	вовсе не	1	1
354	даже в	2	1
355	не менее	3	1
356	мы были	1	1
357	до известной	1	1
358	она могла	1	1
359	дело в	1	1
360	на него	3	1
361	не по	1	1
362	в основе	5	1
363	он еще	1	1
364	чтобы стать	2	1
365	иметь в	1	1
366	себе самом	2	1
367	это же	1	1
368	однако если	1	1
369	ними не	1	1
370	не всякий	1	1
371	что весьма	1	1
372	преимущественно в	1	1
373	это то	1	1
374	именно с	1	1
375	бы все	1	1
376	к ней	1	1
377	более что	1	1
378	связь и	1	1
379	если будет	1	1
380	свидетельствуют о	1	1
381	и сама	1	1
382	было не	1	1
383	этом отношении	3	1
384	что на	2	1
385	или иных	1	1
386	действительно является	1	1
387	могут быть	3	1
388	чтобы сделать	1	1
389	человека в	2	1
390	как только	1	1
391	однако для	1	1
392	же самое	1	1
393	всего в	1	1
394	от которой	1	1
395	для образования	1	1
396	оно может	2	1
397	как мы	3	1
398	но по	1	1
399	с ее	3	1
400	как не	1	1
401	свою очередь	3	1
402	однако ни	1	1
403	и физически	2	1
404	в ее	3	1
405	не могло	2	1
406	языка и	2	1
407	в собственном	2	1
408	мысль о	1	1
409	только то	1	1
410	в себя	6	1
411	идет не	1	1
412	роль в	2	1
413	и когда	2	1
414	что у	2	1
415	так и	9	1
416	те же	4	1
417	его жизни	2	1
418	мог бы	3	1
419	быть может	2	1
420	сомнению и	1	1
421	иное как	2	1
422	какой это	1	1
423	церкви в	1	1
424	возможна лишь	1	1
425	в состав	1	1
426	то они	2	1
427	одного из	4	1
428	и ставит	1	1
429	можно сказать	5	1
430	в различных	1	1
431	с другой	8	1
432	в какой-нибудь	1	1
433	подлежит сомнению	1	1
434	а во	3	1
435	может на	1	1
436	всех членов	1	1
437	могла стать	1	1
438	означала бы	1	1
439	крайней мере	1	1
440	чем и	1	1
441	у всех	1	1
442	может иметь	1	1
443	другого для	1	1
444	исторически сложившихся	1	1
445	на будущее	3	1
446	по своей	3	1
447	один из	3	1
448	оно и	1	1
449	а если	2	1
450	тому назад	1	1
451	с ними	1	1
452	в разные	1	1
453	может оказаться	2	1
454	тот или	1	1
455	человека с	1	1
456	это культурное	1	1
457	и у	1	1
458	а то	1	1
459	лишь постольку	1	1
460	расхождений между	1	1
461	если все	1	1
462	которая может	1	1
463	в прошлом	3	1
464	от тех	1	1
465	богу не	2	1
466	бытия и	1	1
467	то у	1	1
468	следует признать	2	1
469	сделать не	1	1
470	из двух	3	1
471	можно но	1	1
472	о своей	2	1
473	не поддается	1	1
474	хоть и	1	1
475	на ее	1	1
476	связаны с	1	1
477	говорить и	1	1
478	к которому	2	1
479	и прежде	1	1
480	как же	1	1
481	на чем	2	1
482	люди что	2	1
483	что не	4	1
484	а на	1	1
485	а за	1	1
486	ничем не	1	1
487	не на	2	1
488	однако и	1	1
489	человеческой жизни	1	1
490	с которым	1	1
491	то по	1	1
492	не об	1	1
493	в связи	2	1
494	связь с	1	1
495	о себе	1	1
496	в самой	1	1
497	как это	6	1
498	человека к	1	1
499	без помощи	1	1
500	по своему	1	1
501	культуры иначе	1	1
502	вступление в	1	1
503	также как	1	1
504	когда же	1	1
505	с собственным	1	1
506	человек с	1	1
507	в состоянии	1	1
508	быть не	1	1
509	в церкви	4	1
510	или хотя	1	1
511	с этой	1	1
512	зрения здесь	1	1
513	является для	1	1
514	своей жизни	1	1
515	числе и	4	1
516	нем самом	1	1
517	тех или	1	1
518	не является	8	1
519	известной степени	1	1
520	которых он	1	1
521	которая в	2	1
522	человек и	1	1
523	любви и	1	1
524	тем более	2	1
525	и все	2	1
526	отношению ко	1	1
527	себя если	1	1
528	хотя в	2	1
529	в обстановке	1	1
530	к ее	1	1
531	к самому	2	1
532	на роль	1	1
533	нами не	2	1
534	политического и	1	1
535	может и	1	1
536	а о	1	1
537	в свою	3	1
538	понимать как	1	1
539	к его	1	1
540	отношению к	6	1
541	что ни	1	1
542	для большинства	1	1
543	есть то	1	1
544	элементов из	1	1
545	также может	1	1
546	ни на	1	1
547	можно назвать	1	1
548	том числе	6	1
549	они не	2	1
