N	2gram	Bakhtin_sl_2	TeoriaLi
1	в мире	1	24
2	не только	24	18
3	в качестве	1	17
4	и не	22	16
5	а в	4	14
6	и в	39	13
7	в частности	1	13
8	то есть	26	12
9	так и	15	12
10	может быть	37	12
11	в этом	16	11
12	при этом	7	11
13	в том	5	11
14	но не	6	10
15	и его	33	10
16	а не	14	10
17	то же	4	9
18	в его	7	9
19	по отношению	4	8
20	но и	21	8
21	отношению к	4	8
22	что в	3	8
23	отличие от	13	7
24	в себе	2	7
25	том что	5	7
26	точки зрения	8	7
27	в отличие	12	7
28	в то	4	7
29	по своей	1	7
30	во второй	1	7
31	только в	5	7
32	себя в	8	7
33	как это	3	7
34	в данном	2	7
35	еще не	7	6
36	с его	7	6
37	но в	6	6
38	лишь в	3	6
39	место в	1	6
40	же время	4	6
41	как бы	7	6
42	в рамках	1	5
43	в своем	6	5
44	в самом	1	5
45	он не	2	5
46	того или	1	5
47	как и	6	5
48	не в	9	5
49	однако в	2	5
50	в нем	19	5
51	в пределах	13	5
52	или иной	5	5
53	а также	3	5
54	между тем	3	5
55	уже не	5	5
56	с другой	5	5
57	как в	13	5
58	или иного	1	5
59	героя и	5	5
60	по преимуществу	1	4
61	высказывания в	1	4
62	говорить о	3	4
63	отношение к	4	4
64	хотя и	2	4
65	то что	2	4
66	не предполагает	1	4
67	ни в	4	4
68	в слове	6	4
69	в своей	1	4
70	в их	2	4
71	или менее	2	4
72	не столько	3	4
73	не менее	4	4
74	приводит к	1	4
75	можно сказать	1	4
76	в форме	2	4
77	и ее	1	4
78	за пределами	1	4
79	но он	2	4
80	и т.п	2	4
81	мира и	5	4
82	в свою	3	4
83	не знает	2	4
84	сказать что	3	4
85	не может	20	4
86	более или	2	4
87	между двумя	1	3
88	например в	5	3
89	в сторону	1	3
90	не все	2	3
91	перед нами	3	3
92	и к	6	3
93	все эти	6	3
94	в нашем	2	3
95	в этой	1	3
96	и по	1	3
97	его в	4	3
98	мог бы	1	3
99	в единое	2	3
100	и сам	1	3
101	в этих	7	3
102	тем не	1	3
103	в отношении	4	3
104	никогда не	7	3
105	как раз	1	3
106	той или	5	3
107	свою очередь	2	3
108	другой стороны	1	3
109	так в	2	3
110	в другом	2	3
111	и что	1	3
112	входит в	4	3
113	того что	1	3
114	без остатка	1	3
115	для него	7	3
116	слова в	13	3
117	с ее	2	3
118	на почве	4	3
119	именно в	2	3
120	и др	4	3
121	прежде всего	8	3
122	и потому	7	3
123	этого слова	1	3
124	мира в	1	3
125	таким образом	8	3
126	или в	2	3
127	в основе	4	3
128	ни к	2	3
129	отношении к	4	3
130	речи и	3	3
131	отношения к	4	2
132	того же	1	2
133	и это	1	2
134	это и	2	2
135	тех или	1	2
