N	3gram	Losev_Dial_1	Hudozhes
1	о том что	2	9
2	и т п	2	8
3	то же время	4	8
4	в то же	4	8
5	в том что	7	6
6	в самом деле	1	4
7	можно было бы	4	4
8	к тому что	2	4
9	с точки зрения	12	3
10	и быть может	1	3
11	в этом отношении	2	3
12	но в то	1	3
13	в связи с	1	3
14	та или иная	3	3
15	тем не менее	1	3
16	и т д	19	3
17	только потому что	3	2
18	мы уже знаем	1	2
19	что же касается	1	2
20	только в том	1	2
21	что он не	2	2
22	в первую очередь	1	2
23	до сих пор	2	2
24	то и другое	2	2
25	в себе момент	1	2
26	так или иначе	1	2
27	не в том	1	2
28	связи с этим	1	2
29	не может быть	3	2
30	и о том	1	2
31	несет на себе	2	2
32	на то что	4	2
33	а между тем	1	1
34	потому что он	3	1
35	уже знаем что	1	1
36	в чем не	1	1
37	в чистом виде	1	1
38	то что я	2	1
39	я никогда не	2	1
40	та же самая	1	1
41	на самом деле	2	1
42	а не о	1	1
43	в этом смысле	3	1
44	то же самое	1	1
45	одной стороны и	2	1
46	и в этом	3	1
47	нас и т	1	1
48	самом деле не	1	1
49	и то и	2	1
50	и в то	2	1
51	с самого начала	1	1
52	до известной степени	1	1
53	сами по себе	1	1
54	в их живой	1	1
55	более или менее	3	1
56	он видел как	1	1
57	и та же	2	1
58	на самом же	1	1
59	того и другого	1	1
60	ни с какой	4	1
61	по преимуществу к	1	1
62	как она есть	3	1
63	несмотря на то	2	1
64	содержит в себе	3	1
65	не потому что	1	1
66	еще ничего не	1	1
67	в конце концов	3	1
68	имеет ничего общего	3	1
69	между тем в	1	1
70	было бы дать	1	1
71	во всяком случае	2	1
72	одна и та	2	1
73	самом же деле	1	1
74	не имеет ничего	3	1
75	а в том	1	1
76	ни в чем	2	1
77	по себе а	2	1
78	в общий контекст	1	1
79	ничего общего с	3	1
80	никогда не бывает	1	1
81	саму по себе	1	1
82	но все же	1	1
83	не было ни	1	1
84	друг от друга	1	1
85	если бы не	1	1
86	с одной стороны	2	1
87	друг с другом	1	1
88	она не может	1	1
89	на первый взгляд	1	1
90	быть может и	1	1
