N	3gram	Losev_Prob_2	UchenyiS
1	не может быть	3	4
2	по нашему мнению	1	3
3	с другой стороны	5	3
4	бы то ни	2	3
5	в то же	4	3
6	в этой области	3	3
7	то ни было	1	3
8	в самом деле	2	2
9	но даже и	1	2
10	в этом смысле	5	2
11	то же самое	5	2
12	до сих пор	4	2
13	хотя бы и	3	2
14	в этом отношении	1	2
15	в том что	4	2
16	по крайней мере	6	2
17	и то что	7	2
18	и в частности	3	2
19	в конце концов	7	2
20	содержания и формы	1	1
21	или по крайней	3	1
22	конце концов не	1	1
23	так или иначе	6	1
24	не для всех	1	1
25	она все же	1	1
26	это было бы	1	1
27	более или менее	4	1
28	имеем в виду	2	1
29	в точном смысле	1	1
30	он может быть	1	1
31	в значительной мере	3	1
32	была у нас	1	1
33	в этом случае	7	1
34	и не только	1	1
35	на первый план	3	1
36	и в то	1	1
37	и только как	1	1
38	само по себе	2	1
39	то что при	1	1
40	и независимо от	2	1
41	литературы и искусства	1	1
42	но это не	1	1
43	в данное время	2	1
44	но это же	1	1
45	и прежде всего	2	1
46	этом случае он	1	1
47	нам думается что	1	1
48	свое место и	1	1
49	не о чем	3	1
50	элементы из которых	1	1
51	можно сказать что	3	1
52	мы имеем в	1	1
53	на то что	4	1
54	не может обойтись	1	1
55	концов не может	1	1
56	ничего не значит	1	1
57	говорить не о	1	1
58	все элементы из	1	1
59	только в этом	1	1
60	имеются не только	1	1
61	из которых она	1	1
62	что мы можем	1	1
63	в буквальном смысле	1	1
64	в данном случае	5	1
65	и формы в	1	1
66	они относятся к	1	1
67	не только в	2	1
68	тем что он	1	1
69	с одной стороны	5	1
70	и с другой	1	1
71	в отдельности и	1	1
72	на первый взгляд	1	1
