N	3gram	Losev_Prob_5	formyVre
1	с точки зрения	8	8
2	в связи с	7	7
3	для того чтобы	2	7
4	не только в	1	5
5	то же время	1	4
6	в то же	1	4
7	в том числе	2	3
8	о том как	1	3
9	но и в	2	3
10	и в этом	1	3
11	в большинстве случаев	1	3
12	в том что	8	3
13	и т д	1	3
14	равно как и	2	2
15	до сих пор	2	2
16	друг на друга	1	2
17	том числе и	1	2
18	все же в	1	2
19	жизнь и смерть	1	2
20	потому что они	2	2
21	в этом отношении	1	2
22	похожи друг на	1	2
23	у него есть	1	2
24	связи с этим	1	2
25	в средневековой литературе	1	1
26	тем же названием	1	1
27	в чем не	1	1
28	то есть как	1	1
29	а вовсе не	1	1
30	на самом деле	1	1
31	под тем же	1	1
32	так что в	1	1
33	том что он	2	1
34	землю но в	1	1
35	как то что	1	1
36	в конце концов	6	1
37	как мы увидим	1	1
38	с ним в	1	1
39	между тем как	1	1
40	а так как	1	1
41	по аналогии с	1	1
42	и для всей	1	1
43	радости при виде	1	1
44	с тех пор	1	1
45	с этой точки	1	1
46	вместе с тем	3	1
47	точки зрения в	1	1
48	то время как	3	1
49	в данном случае	2	1
50	с одной стороны	3	1
51	на первый взгляд	1	1
52	в значительной мере	2	1
53	а также и	1	1
54	мира и жизни	1	1
55	и никак не	2	1
56	своей жизни в	1	1
57	до некоторой степени	4	1
58	мира и человека	1	1
59	на землю и	1	1
60	с другой стороны	5	1
61	себе самом и	1	1
62	было бы не	1	1
63	не может быть	2	1
64	но в смысле	1	1
65	но в то	1	1
66	этой точки зрения	1	1
67	в себе самом	1	1
68	у него и	1	1
69	ни в чем	1	1
70	таким образом у	2	1
71	человеческой жизни в	1	1
72	и как бы	1	1
73	то есть в	1	1
74	в то время	3	1
75	и вместе с	1	1
76	о том что	9	1
77	с самого начала	1	1
78	сказать что здесь	1	1
79	времени и пространстве	1	1
80	но все же	2	1
81	можно сказать что	3	1
82	также и в	2	1
83	это свидетельствует о	1	1
84	той или иной	1	1
85	то есть с	1	1
