N	2gram	Vinokur_Ku_1	Problema
1	то что	9	38
2	и не	12	37
3	вовсе не	10	37
4	и в	24	35
5	не есть	4	33
6	сказать что	1	24
7	не только	10	24
8	том что	21	19
9	что такое	6	18
10	у нас	10	18
11	о том	9	18
12	даже и	3	18
13	может быть	13	18
14	в этом	14	17
15	настоящее время	1	16
16	но и	6	16
17	в настоящее	1	16
18	в языке	8	15
19	только в	11	14
20	что мы	1	14
21	во всяком	5	13
22	не может	7	13
23	не менее	7	13
24	потому что	23	13
25	и что	5	13
26	хотя бы	10	12
27	того что	9	12
28	в том	30	12
29	также и	2	12
30	тем не	4	12
31	в таком	3	11
32	и даже	3	11
33	так что	4	11
34	прежде всего	9	11
35	значения и	1	11
36	не просто	5	11
37	что в	17	11
38	никак не	2	11
39	и с	5	10
40	еще не	5	10
41	говорить о	1	10
42	да и	1	10
43	всяком случае	5	10
44	ничего не	2	10
45	тем более	2	10
46	а не	8	10
47	и то	3	10
48	в данном	4	10
49	для нас	2	9
50	для себя	1	9
51	в этой	3	9
52	пока еще	1	9
53	что же	6	9
54	едва ли	1	9
55	если мы	2	9
56	только на	1	9
57	все же	12	8
58	значение и	2	8
59	только о	1	8
60	как раз	8	8
61	по себе	2	8
62	было бы	15	8
63	ясно что	3	8
64	уже не	8	8
65	в виду	5	8
66	этого термина	2	8
67	есть только	1	8
68	все эти	6	7
69	так и	7	7
70	те или	1	7
71	тем самым	4	7
72	в конце	1	7
73	бы и	2	7
74	казалось бы	3	7
75	совсем не	1	7
76	в его	12	7
77	этом случае	2	7
78	не имеет	2	7
79	смысле слова	1	7
80	не является	2	7
81	некоторого рода	1	7
82	того или	4	7
83	есть нечто	1	7
84	так как	9	7
85	что все	2	6
86	когда мы	2	6
87	а а	3	6
88	мы и	1	6
89	можно сказать	3	6
90	т д	14	6
91	крайней мере	5	6
92	был бы	2	6
93	на то	4	6
94	и вовсе	5	6
95	а только	8	6
96	есть не	1	6
97	а именно	2	6
98	и т	33	6
99	но как	1	6
100	в то	2	6
101	ни в	2	6
102	к сожалению	1	6
103	относится к	2	6
104	можно ли	2	6
105	о чем	2	6
106	или иначе	2	6
107	по крайней	5	6
108	и для	2	6
109	мы можем	1	6
110	с другой	7	6
111	но в	2	6
112	в области	7	6
113	так или	2	6
114	как будто	1	6
115	но это	1	6
116	в себе	3	5
117	в связи	3	5
118	же это	1	5
119	как и	2	5
120	так же	4	5
121	еще и	5	5
122	кроме того	1	5
123	и все	2	5
124	и без	1	5
125	этом смысле	3	5
126	содержания и	1	5
127	то же	8	5
128	языка и	8	5
129	как мы	1	5
130	что не	5	5
131	отнюдь не	1	5
132	с этим	4	5
133	тот или	1	5
134	по своему	1	5
135	одной стороны	1	5
136	другой стороны	6	5
137	будто бы	1	5
138	с одной	1	5
139	в самом	10	5
140	и на	4	5
141	связи с	7	5
142	представление о	3	5
143	в частности	4	5
144	или иного	3	5
145	раз и	1	5
146	но уже	5	5
147	и более	2	5
148	или иной	3	5
149	указывает на	1	5
150	можно было	6	5
151	без всякой	1	5
152	той или	1	5
153	человеческой речи	1	4
154	и здесь	3	4
155	это значит	1	4
156	не все	2	4
157	как таковой	2	4
158	мы говорим	2	4
159	не был	1	4
160	в область	1	4
161	есть в	4	4
162	гораздо более	3	4
163	таким образом	12	4
164	сих пор	4	4
165	говоря уже	1	4
166	до сих	4	4
167	то и	2	4
168	разного рода	1	4
169	а в	5	4
170	значение слова	3	4
171	если не	3	4
172	но не	5	4
173	и только	1	4
174	но только	1	4
175	что она	3	4
176	но если	2	4
177	на самом	2	4
178	в этих	4	4
179	и значение	2	4
180	или вообще	1	4
181	что если	2	4
182	не говоря	2	4
183	что на	1	4
184	тот же	2	4
185	именно как	1	4
186	и есть	2	4
187	тем что	8	4
188	без всякого	1	4
189	если бы	9	4
190	более или	3	4
191	между собою	2	4
192	на первый	1	4
193	и тем	2	4
194	предполагает что	1	4
195	всех этих	1	4
196	значение в	1	4
197	и следовательно	1	4
198	слова и	4	4
199	не могут	2	4
200	в результате	5	4
201	далеко не	1	4
202	в общем	3	4
203	в каком	2	4
204	все это	6	4
205	вообще не	1	4
206	самом деле	9	4
207	или менее	3	4
208	что он	6	4
209	заключается в	2	4
210	как же	1	4
211	но именно	1	4
212	и как	2	4
213	как бы	7	4
214	в своем	3	4
215	и этот	1	3
216	как угодно	1	3
217	не знает	1	3
218	бы в	7	3
219	вопрос о	2	3
220	только как	1	3
221	всем этим	1	3
222	на том	3	3
223	что они	4	3
224	а это	3	3
225	как именно	2	3
226	только тогда	3	3
227	для них	2	3
228	и их	1	3
229	не было	3	3
230	о языковых	1	3
231	быть только	1	3
232	и должны	1	3
233	иное как	2	3
234	бы не	1	3
235	и является	4	3
236	в случае	1	3
237	только то	1	3
238	ничего общего	1	3
239	в их	3	3
240	и того	2	3
241	язык как	9	3
242	в нашем	1	3
243	его в	1	3
244	или даже	1	3
245	оно не	3	3
246	в таких	4	3
247	и притом	1	3
248	что слово	3	3
249	в нашей	1	3
250	должны были	1	3
251	это только	3	3
252	пусть даже	1	3
253	к тому	5	3
254	хотя и	3	3
255	тех или	1	3
256	слишком уж	1	3
257	для того	16	3
258	из этих	4	3
259	это и	4	3
260	в целом	4	3
261	тогда когда	6	3
262	несмотря на	3	3
263	можно говорить	2	3
264	я могу	1	3
265	или иные	1	3
266	лишь в	2	3
267	то ни	1	3
268	о котором	2	3
269	и если	3	3
270	и от	1	3
271	оказывается что	1	3
272	мы в	1	3
273	один из	4	3
274	в истории	3	3
275	как только	1	3
276	в слове	2	3
277	что для	1	3
278	но ведь	2	3
279	то это	3	3
280	языка в	12	3
281	что иное	1	3
282	только и	3	3
283	даже не	1	3
284	только не	1	3
285	для этого	3	3
286	одна из	1	3
287	внимание на	4	3
288	но даже	1	3
289	иной раз	2	3
290	при этом	6	3
291	не нужно	1	3
292	тому что	3	3
293	с тем	5	3
294	не что	1	3
295	о языке	8	3
296	в науке	4	3
297	в своих	1	3
298	все равно	2	3
299	слова как	3	3
300	здесь только	2	3
301	нас в	1	3
302	имеется в	1	3
303	точно так	1	3
304	теории и	1	3
305	уже в	3	3
306	уже и	3	3
307	как о	2	3
308	говорим о	1	3
309	могли бы	2	3
310	все что	1	3
311	и по	1	3
312	каждый из	1	2
313	только одним	1	2
314	значении слова	1	2
315	языковедов и	1	2
316	и никакого	1	2
317	не значит	1	2
318	самого себя	1	2
319	от всякого	1	2
320	а главное	1	2
321	что их	2	2
322	в него	1	2
323	а ведь	1	2
324	в одно	1	2
325	и а	2	2
326	звук речи	1	2
327	или в	2	2
328	точки зрения	14	2
329	только мы	1	2
330	как на	3	2
331	себе в	3	2
332	и ничего	1	2
333	здесь не	3	2
334	вывод который	1	2
335	учение о	4	2
336	здесь как	2	2
337	как такового	1	2
338	том случае	1	2
339	с понятием	1	2
340	то во	1	2
341	бы что	1	2
342	на эту	2	2
343	отношение между	1	2
344	то чтобы	1	2
345	даже в	3	2
346	здесь идет	1	2
347	этим мы	1	2
348	в тех	4	2
349	если это	1	2
350	в условиях	1	2
351	друг от	1	2
352	можно только	1	2
353	или иная	1	2
354	в системе	3	2
355	того чтобы	17	2
356	во всех	1	2
357	на нем	1	2
358	от друга	1	2
359	понятий в	1	2
360	об этом	1	2
361	звук есть	1	2
362	из моментов	1	2
363	звука и	1	2
364	ли это	2	2
365	он является	1	2
366	не в	11	2
367	столько же	1	2
368	правда в	1	2
369	а может	1	2
370	спросим себя	1	2
371	были бы	2	2
372	но все	2	2
373	он тоже	1	2
374	случае если	1	2
375	сводится к	3	2
376	учению о	1	2
377	ничем не	1	2
378	ничего нового	1	2
379	вместе с	7	2
380	языка как	5	2
381	если угодно	1	2
382	совершенно не	1	2
383	но вот	2	2
384	на этой	1	2
385	свидетельствует о	2	2
386	необходимо для	1	2
387	и представить	1	2
388	или другого	1	2
389	в той	5	2
390	так уж	1	2
391	относиться к	1	2
392	не имел	1	2
393	еще более	1	2
394	часто бывает	1	2
395	человека но	1	2
396	мысли и	1	2
397	от другого	1	2
398	которые в	1	2
399	сами по	1	2
400	на тот	1	2
401	и при	2	2
402	более не	1	2
403	в качестве	7	2
404	русском языке	4	2
405	это необходимо	1	2
406	идет речь	2	2
407	общего с	1	2
408	с историей	2	2
409	и мы	2	2
410	уже то	1	2
411	не то	1	2
412	в н	1	2
413	а м	1	2
414	во многих	2	2
415	зависимости от	6	2
416	тотчас же	1	2
417	во все	2	2
418	до наших	1	2
419	как они	2	2
420	должно быть	3	2
421	же и	2	2
422	в состоянии	2	2
423	той же	3	2
424	не годится	1	2
425	это было	2	2
426	может иметь	2	2
427	из самых	1	2
428	является не	1	2
429	в них	7	2
430	предметы и	1	2
431	в зависимости	5	2
432	просто на	1	2
433	по преимуществу	2	2
434	мере в	6	2
435	языкознания и	1	2
436	виде так	1	2
437	что и	4	2
438	является для	1	2
439	она и	1	2
440	не так	1	2
441	он не	2	2
442	под ред	1	2
443	на некоторые	1	2
444	само по	1	2
445	роль в	4	2
446	язык и	1	2
447	в действительности	1	2
448	совершенно правильно	1	2
449	нет ничего	1	2
450	большую роль	1	2
451	ли в	2	2
452	ведь и	1	2
453	и сам	1	2
454	та или	1	2
455	в такой	1	2
456	не столь	1	2
457	а также	1	2
458	общем смысле	1	2
459	которые не	1	2
460	все другие	1	2
461	в ней	6	2
462	нас на	1	2
463	что оно	3	2
464	что с	2	2
465	конечно не	2	2
466	однако это	1	2
467	собственно говоря	1	2
468	перед нами	1	2
469	слово в	1	2
470	имеем в	1	2
471	себе и	2	2
472	о нем	2	2
473	речь идет	2	2
474	не имеющих	1	2
475	такие же	1	1
476	тут уже	1	1
477	то мы	3	1
478	одним из	2	1
479	из таких	1	1
480	слов о	2	1
481	каждом из	2	1
482	здесь совершенно	1	1
483	их значение	1	1
484	значение языка	1	1
485	но с	2	1
486	всегда в	1	1
487	и далее	1	1
488	ее только	1	1
489	свой предмет	2	1
490	на себе	6	1
491	а понятие	1	1
492	процессы в	1	1
493	в свое	2	1
494	чтобы можно	1	1
495	к их	1	1
496	все те	2	1
497	невозможна в	1	1
498	все время	1	1
499	из области	4	1
500	в собственном	2	1
501	должны быть	2	1
502	именно к	1	1
503	что эти	4	1
504	сейчас мы	1	1
505	обозначением и	1	1
506	бы на	2	1
507	но что	1	1
508	связи между	1	1
509	в литературе	1	1
510	видно что	2	1
511	говорит о	1	1
512	большое значение	2	1
513	от этого	2	1
514	более широкое	1	1
515	нового времени	1	1
516	имел бы	1	1
517	устной речи	2	1
518	для своего	1	1
519	нужно будет	1	1
520	в более	2	1
521	значения в	2	1
522	смысл в	2	1
523	значение или	2	1
524	как акт	1	1
525	это есть	2	1
526	учения о	1	1
527	это слово	3	1
528	не относится	1	1
529	к старой	1	1
530	то оно	2	1
531	бы здесь	1	1
532	как факт	1	1
533	лишь как	2	1
534	вероятно не	1	1
535	и со	1	1
536	в обычном	1	1
537	думать что	1	1
538	в каких	1	1
539	и законченных	1	1
540	должна быть	3	1
541	а то	2	1
542	речь о	1	1
543	к другим	1	1
544	ведь каждый	1	1
545	область в	1	1
546	есть акт	1	1
547	языке вообще	1	1
548	на те	2	1
549	язык в	5	1
550	бы он	1	1
551	к языку	5	1
552	мы сказали	1	1
553	которого мы	1	1
554	то он	1	1
555	из нас	1	1
556	говоря о	1	1
557	науки о	3	1
558	и больше	1	1
559	и когда	1	1
560	поскольку они	1	1
561	из предыдущего	2	1
562	смысловой структуре	1	1
563	т е	38	1
564	то обстоятельство	8	1
565	нужно было	2	1
566	это просто	1	1
567	и строго	1	1
568	что это	5	1
569	свое время	2	1
570	с ним	5	1
571	его значением	1	1
572	конечно и	1	1
573	язык вообще	1	1
574	действительно ли	1	1
575	в какой	6	1
576	в нем	4	1
577	и так	1	1
578	языке как	3	1
579	и теперь	1	1
580	и во	1	1
581	всегда останется	1	1
582	это всегда	1	1
583	обстоит дело	1	1
584	в теории	1	1
585	пришлось бы	2	1
586	так совершенно	1	1
587	только из	1	1
588	меньше всего	2	1
589	этой последней	1	1
590	слово не	1	1
591	как форма	1	1
592	вовсе нет	1	1
593	рассматриваться как	1	1
594	уже на	2	1
595	отношение к	1	1
596	если в	2	1
597	материи и	1	1
598	идет у	1	1
599	а на	2	1
600	с большим	3	1
601	случае как	1	1
602	в лингвистике	3	1
603	например не	2	1
604	и те	1	1
605	но тем	1	1
606	здесь в	1	1
607	сейчас в	1	1
608	между прочим	2	1
609	слой мы	1	1
610	для человека	1	1
611	которые можно	2	1
612	на язык	4	1
613	совсем другое	1	1
614	тем как	1	1
615	речи как	1	1
616	в одном	3	1
617	и н	1	1
618	несомненно не	2	1
619	язык для	2	1
620	придают большое	2	1
621	известно и	1	1
622	здесь это	1	1
623	и необходима	1	1
624	равно не	1	1
625	например сказать	1	1
626	ни то	1	1
627	к нам	1	1
628	не мог	2	1
629	сознания а	1	1
630	и самое	1	1
631	же не	1	1
632	но для	1	1
633	языка есть	2	1
634	к этому	1	1
635	время в	1	1
636	но слишком	1	1
