N	2gram	Tiupa_Narr_1	Mirosoze
1	может быть	15	30
2	не только	31	29
3	и в	11	28
4	не может	8	28
5	но и	27	25
6	а не	13	25
7	он не	3	24
8	о человеке	1	23
9	в этом	12	20
10	не было	3	18
11	у него	7	17
12	не в	6	16
13	потому что	5	16
14	в ней	4	15
15	в своей	5	15
16	и есть	1	14
17	он был	1	14
18	никогда не	4	14
19	до конца	2	14
20	человека в	2	13
21	в нем	4	13
22	и он	6	12
23	в самом	6	11
24	для него	4	11
25	и не	23	11
26	в своем	3	10
27	в творчестве	1	10
28	человек не	1	10
29	что в	3	10
30	в мире	4	10
31	прежде всего	4	10
32	что он	3	10
33	и потому	1	10
34	и все	3	10
35	с тем	1	9
36	и его	10	9
37	в его	6	9
38	в котором	1	8
39	но не	4	8
40	в человеке	1	8
41	но в	7	7
42	в себе	6	7
43	в конце	2	7
44	к нему	4	7
45	того что	4	7
46	и на	5	6
47	он сам	3	6
48	в которой	1	6
49	лишь в	3	6
50	в этой	6	6
51	ведет к	1	6
52	только в	12	6
53	он уже	2	6
54	вместе с	2	6
55	все это	1	6
56	человек и	1	6
57	в том	8	6
58	христа в	1	5
59	это не	3	5
60	явление духа	1	5
61	как и	13	5
62	у нас	3	5
63	то что	9	5
64	и я	1	5
65	русской литературы	1	5
66	это и	1	4
67	отношение к	1	4
68	привести к	1	4
69	чем его	1	4
70	чем у	1	4
71	не как	1	4
72	в человеческой	1	4
73	и по	1	4
74	в этих	2	4
75	точки зрения	5	4
76	в их	1	4
77	в которых	1	4
78	к ней	1	4
79	она не	2	4
80	мог бы	1	4
81	что и	1	4
82	один из	6	4
83	уже не	8	4
84	уже в	1	4
85	а в	13	4
86	тем что	1	4
87	которых он	1	4
88	не знает	1	4
89	с его	4	3
90	с этим	1	3
91	когда он	1	3
92	и еще	2	3
93	на том	1	3
94	и вот	2	3
95	заключает в	2	3
96	и с	3	3
97	то есть	9	3
98	его в	1	3
99	его личности	1	3
100	в жизни	3	3
101	только одно	1	3
102	для них	2	3
103	не мог	6	3
104	том что	7	3
105	не имеет	2	3
106	ничего не	2	3
107	в момент	1	3
108	к тому	6	3
109	в ее	1	3
110	особенно в	2	3
111	с собой	1	3
112	в него	1	3
113	себя в	2	3
114	так как	1	3
115	о себе	1	3
116	для нас	1	3
117	интерес к	1	3
118	в динамике	1	3
119	хотя бы	2	3
120	будто бы	1	3
121	мы увидим	1	3
122	одним из	1	2
123	также и	3	2
124	чтобы не	1	2
125	не остается	1	2
126	к чему	3	2
127	мир не	1	2
128	в виду	1	2
129	и много	1	2
130	истории в	4	2
131	не все	1	2
132	по отношению	3	2
133	в центре	3	2
134	как в	4	2
135	почувствовал что	1	2
136	все же	4	2
137	истории он	2	2
138	и как	3	2
139	и к	1	2
140	за собой	1	2
141	и у	1	2
142	бы не	1	2
143	приводит к	1	2
144	как он	1	2
145	если бы	7	2
146	людей и	1	2
147	входит в	2	2
148	на протяжении	7	2
149	бытия но	1	2
150	и мы	1	2
151	к исчезновению	1	2
152	оказывается что	1	2
153	от его	1	2
154	сих пор	2	2
155	он живет	1	2
156	был не	1	2
157	любовь к	1	2
158	на земле	1	2
159	в то	4	2
160	того чтобы	4	2
161	по своей	1	2
162	и сама	2	2
163	не принадлежит	1	2
164	могут быть	1	2
165	отличается от	1	2
166	как для	1	2
167	должен быть	1	2
168	и уж	1	2
169	ко второй	1	2
170	и от	2	2
171	человеческого сознания	2	2
172	различие между	1	2
173	и когда	1	2
174	живет в	1	2
175	еще в	3	2
176	с ним	2	2
177	о нем	3	2
178	о своей	2	2
179	о том	4	2
180	самому себе	1	2
181	человека как	1	2
182	же можно	1	2
183	нем не	1	2
184	жизни и	6	2
185	так называемый	1	2
186	отношению к	3	2
187	как будто	3	2
188	для того	3	2
189	момент в	1	2
190	до сих	2	2
191	мы еще	1	2
192	на людей	1	2
193	связано с	1	2
194	на этот	1	2
195	человеческой жизни	2	2
196	его как	1	2
197	о чем	4	2
198	он и	2	2
199	по своему	2	2
