N	2gram	Medvedev_F_1	IolandNe
1	и с	8	3
2	должен быть	5	2
3	и не	20	2
4	в этом	15	2
5	он не	3	2
6	что в	4	2
7	ничего не	2	2
8	себя в	1	1
9	все это	9	1
10	с литературными	1	1
11	нисколько не	2	1
12	и др	5	1
13	каждый исследователь	1	1
14	а для	1	1
15	и в	24	1
16	только что	1	1
17	и о	1	1
18	в эту	2	1
19	с а	1	1
20	то она	1	1
21	бы в	3	1
22	и со	2	1
23	было не	1	1
24	с другой	5	1
25	а отсюда	1	1
26	научные работы	1	1
27	а в	6	1
28	художественного творчества	1	1
29	того что	5	1
30	в художественном	3	1
31	не дает	2	1
32	произведения это	2	1
33	и без	1	1
34	в руки	1	1
35	цель и	1	1
36	как о	4	1
37	на котором	1	1
38	а с	1	1
39	другой стороны	1	1
40	и чрезвычайно	1	1
41	не так	2	1
42	нее и	1	1
43	для него	3	1
44	а также	1	1
45	нам в	1	1
46	в основе	3	1
47	что для	1	1
48	что при	1	1
49	говорить о	1	1
50	понятий и	1	1
51	могло бы	2	1
52	есть только	1	1
53	отношению к	4	1
54	так и	18	1
55	от этого	2	1
56	произведения и	8	1
57	того чтобы	1	1
58	во многом	1	1
59	никогда не	4	1
60	когда его	1	1
61	о ней	1	1
62	жизни и	7	1
63	бы утвердиться	1	1
64	и очень	1	1
65	тех же	2	1
66	для других	2	1
67	в целом	6	1
68	по поводу	1	1
69	по отношению	4	1
70	в них	3	1
71	все эти	6	1
72	по существу	2	1
73	очерк и	1	1
74	от нее	2	1
75	со всеми	3	1
76	если бы	4	1
