N	3gram	Bakhtin_Fr_2	KFilosof
1	по отношению к	1	21
2	не может быть	4	11
3	с точки зрения	5	10
4	в его целом	3	9
5	не проникает в	1	4
6	на самом деле	1	3
7	того или иного	1	3
8	имеем в виду	2	2
9	на первом плане	3	2
10	не может дать	1	2
11	один и тот	1	2
12	во всех своих	1	2
13	то же время	6	2
14	в то же	6	2
15	в том что	1	2
16	и тот же	1	2
17	но прежде всего	3	1
18	на то что	1	1
19	но ни в	1	1
20	до конца в	1	1
21	время от времени	1	1
22	потому что в	1	1
23	ровно ничего не	1	1
24	связанных с ними	1	1
25	в настоящее время	1	1
26	в средние века	8	1
27	в том же	1	1
28	как если бы	1	1
29	как необходимый момент	1	1
30	и рядом с	1	1
31	но все это	1	1
32	не подлежит сомнению	1	1
33	и во всех	3	1
34	и ценности все	1	1
35	и та же	1	1
36	но не было	1	1
37	но здесь мы	1	1
38	и в то	2	1
39	существенную связь с	1	1
40	свой смысл и	1	1
41	все это в	1	1
42	для него самого	1	1
43	отношению к ней	1	1
44	но в то	3	1
45	рождение и смерть	1	1
46	мы будем говорить	1	1
47	дело в том	1	1
48	во всяком случае	2	1
49	одна и та	1	1
50	его никогда не	1	1
51	для того чтобы	1	1
52	всех своих моментах	1	1
53	но никто не	1	1
54	в значительной степени	2	1
55	жизни и смерти	5	1
56	готовое и завершенное	1	1
57	включает в себя	2	1
58	будем говорить в	1	1
59	не было конечно	1	1
60	и все остальные	1	1
61	но здесь этот	1	1
62	во второй половине	1	1
63	в большинстве случаев	1	1
64	в этом последнем	1	1
65	него самого и	1	1
66	и этот момент	1	1
67	не только от	1	1
68	в себе в	1	1
69	во всех его	1	1
70	и в ее	1	1
71	только тогда когда	1	1
