N	2gram	Nazirov_Vr_1	Dialekti
1	т е	3	46
2	не есть	1	40
3	и не	5	30
4	и есть	1	19
5	ничего не	1	17
6	может быть	4	17
7	то что	7	16
8	и в	8	15
9	как бы	4	14
10	точки зрения	2	14
11	не имеет	1	14
12	что это	1	13
13	того что	1	13
14	это не	4	12
15	в этом	8	11
16	говорить о	1	11
17	ясно что	1	11
18	в том	3	11
19	прежде всего	1	11
20	не может	2	11
21	и все	7	11
22	том что	3	10
23	потому что	1	10
24	с ее	1	10
25	это и	1	9
26	то же	5	9
27	было бы	1	9
28	с точки	2	9
29	в виду	4	9
30	и что	8	9
31	уже не	2	9
32	все это	4	9
33	в чем	3	8
34	в себе	2	8
35	не только	9	8
36	и это	2	8
37	и о	3	8
38	и ее	2	8
39	не просто	1	7
40	как и	6	7
41	по крайней	1	7
42	и вообще	1	7
43	и его	3	7
44	крайней мере	1	7
45	что он	4	7
46	что в	7	7
47	хотя и	1	6
48	в то	5	6
49	же время	5	6
50	и даже	6	6
51	нет ничего	1	6
52	тем более	2	6
53	той же	1	5
54	утверждаю что	1	5
55	с его	3	5
56	в своем	3	5
57	то в	1	5
58	на то	3	5
59	в нем	6	5
60	в жизни	1	5
61	же это	1	5
62	что я	2	5
63	в ней	4	5
64	я не	3	5
65	в каком	1	5
66	таким образом	2	5
67	о том	4	5
68	так и	1	5
69	и можно	1	5
70	именно в	1	5
71	в свете	1	5
72	как же	2	5
73	– не	1	5
74	– это	6	5
75	также и	1	4
76	или по	1	4
77	что они	1	4
78	в этой	2	4
79	и как	3	4
80	в силу	1	4
81	и с	6	4
82	этом смысле	1	4
83	и уже	3	4
84	ничего общего	1	4
85	еще не	2	4
86	в его	3	4
87	ни с	1	4
88	в одном	1	4
89	как раз	2	4
90	отнюдь не	2	4
91	так же	4	4
92	в особенности	1	4
93	но это	2	4
94	один из	1	4
95	бы в	1	4
96	жизни и	1	4
97	но и	7	4
98	себя как	1	3
99	отношения к	2	3
100	и то	2	3
101	едва ли	1	3
102	в истории	4	3
103	как в	1	3
104	с этим	1	3
105	и наконец	1	3
106	но в	6	3
107	в одну	2	3
108	об этом	5	3
109	не всегда	1	3
110	в своей	2	3
111	в их	1	3
112	могут быть	1	3
113	вы не	1	3
114	имеется в	1	3
115	этот момент	2	3
116	быть и	1	3
117	тотчас же	1	3
118	для всех	1	3
119	при помощи	2	3
120	это будет	1	3
121	знали что	1	3
122	говорит о	1	3
123	из которых	1	3
124	или вообще	1	3
125	с ним	4	3
126	личность и	2	3
127	в свою	2	3
128	только о	1	3
129	только не	1	3
130	тем самым	1	3
131	к этому	3	3
132	можно говорить	1	2
133	человека и	1	2
134	он всегда	1	2
135	что уже	1	2
136	совпадает с	1	2
137	во всех	1	2
138	но как	2	2
139	есть по	1	2
140	все же	6	2
141	себе не	1	2
142	в этот	3	2
143	в самом	1	2
144	мы получаем	1	2
145	при этом	4	2
146	тем не	1	2
147	а это	1	2
148	не будет	1	2
149	есть все	1	2
150	об этой	2	2
151	в глубине	1	2
152	это было	1	2
153	заключается в	1	2
154	время и	2	2
155	где-нибудь на	1	2
156	в них	2	2
157	все равно	1	2
158	во внимание	1	2
159	том как	1	2
160	в котором	6	2
161	представление о	1	2
162	далее в	1	2
163	есть еще	1	2
164	не могли	1	2
165	однако в	1	2
166	что есть	3	2
167	не менее	2	2
168	но они	1	2
169	что эта	1	2
170	как о	1	2
171	того как	1	2
172	никогда не	2	2
173	во всем	1	2
174	– так	1	2
175	по характеру	1	2
176	свою очередь	1	2
177	в ее	1	2
178	именно этот	1	2
179	жизнь и	1	2
180	о нем	6	2
181	но мы	1	2
182	и во	3	2
183	говорить об	1	2
184	я думаю	1	2
185	во всей	1	2
186	я вижу	1	2
187	хорошо знает	1	2
188	в качестве	1	2
189	себя в	1	2
190	своим собственным	1	2
191	в нашей	2	2
192	из них	2	2
193	и их	1	2
194	никто не	1	2
195	мы находим	1	2
196	тем что	3	2
197	от того	1	2
198	не было	5	2
199	и из	1	2
200	другой стороны	1	2
201	в частности	1	2
202	вместе с	2	2
203	что же	1	2
204	да и	1	2
205	но для	1	2
206	не мог	2	2
207	такое понимание	1	2
208	это как	1	2
209	тот кто	1	2
210	у достоевского	4	2
211	только что	1	2
212	отношении к	1	2
213	не мешало	1	2
214	что этот	1	2
215	равно как	1	2
216	в свое	1	2
217	точно так	1	2
218	во всяком	1	2
219	все что	1	2
220	а между	1	1
221	речь идет	3	1
222	же как	2	1
223	свете этой	1	1
224	д в	1	1
225	идет о	1	1
226	и этот	1	1
227	их и	1	1
228	он как	1	1
229	и он	2	1
230	это время	1	1
231	имя и	1	1
232	собой в	1	1
233	на них	1	1
234	он сам	2	1
235	первый план	1	1
