N	2gram	Losev_Vlad_1	ViktorSh
1	конце концов	3	2
2	и в	31	2
3	том что	14	2
4	в том	11	2
5	в конце	9	2
6	и только	1	1
7	тем более	2	1
8	и почти	2	1
9	здесь достаточно	1	1
10	все дело	1	1
11	под влиянием	3	1
12	формализма в	1	1
13	ни к	1	1
14	хотя бы	2	1
15	и не	17	1
16	и его	7	1
17	потому что	11	1
18	я не	4	1
19	даже не	2	1
20	году о	1	1
21	сводится к	1	1
22	и то	10	1
23	же с	11	1
24	впрочем не	2	1
25	самом деле	1	1
26	другом месте	1	1
27	все это	5	1
28	от других	1	1
29	по поводу	12	1
30	значит и	1	1
31	именно в	1	1
32	главным образом	4	1
33	этом и	2	1
34	по своим	3	1
35	статей в	1	1
36	чего не	1	1
37	в их	1	1
38	а значит	1	1
39	то чего	1	1
40	их как	1	1
41	дело в	4	1
42	с большой	1	1
43	в частности	2	1
44	так в	1	1
45	одно и	1	1
46	все то	1	1
47	не одно	1	1
48	столь же	1	1
49	в значительной	1	1
50	в самом	2	1
51	для них	1	1
52	только в	9	1
53	то же	6	1
54	ясно что	2	1
55	так как	8	1
56	и мало	1	1
57	далеко не	1	1
58	то немногое	1	1
59	не будем	2	1
60	но это	3	1
61	в этом	14	1
62	и самым	1	1
63	да и	4	1
64	по существу	2	1
65	то я	1	1
66	к этому	6	1
67	собр соч	1	1
68	не хотел	1	1
69	том же	1	1
