N	3gram	Potebnia_M_2	Dialekti
1	и т д	3	23
2	в таком случае	2	10
3	тем не менее	5	10
4	т д и	1	6
5	не может быть	2	6
6	сам по себе	4	5
7	по крайней мере	5	5
8	само по себе	2	5
9	о том что	1	5
10	подобно тому как	4	4
11	не отличается от	1	4
12	будет значить что	1	4
13	то время как	3	4
14	это будет значить	1	4
15	в то время	4	4
16	сама по себе	2	4
17	сами по себе	7	3
18	для того кто	2	3
19	с одной стороны	3	3
20	в том что	7	3
21	не есть нечто	1	3
22	то что мы	2	3
23	как и в	1	3
24	на то что	3	3
25	в сравнении с	2	3
26	только тогда когда	2	3
27	потому что его	2	2
28	это было бы	1	2
29	не только о	1	2
30	но даже и	1	2
31	выйти за пределы	1	2
32	из того что	1	2
33	с этой точки	1	2
34	и тем не	1	2
35	одно и то	2	2
36	и то же	2	2
37	и в этом	1	2
38	не могут быть	3	2
39	того что она	1	2
40	с другой стороны	2	2
41	что это не	1	2
42	мы не видим	1	2
43	во всяком случае	7	2
44	есть не только	1	2
45	мы не можем	3	2
46	уже перестает быть	1	1
47	собственно говоря и	1	1
48	а потому что	1	1
49	в подобных случаях	1	1
50	мы говорим что	1	1
51	тому что она	1	1
52	потому что в	1	1
53	и всякого рода	1	1
54	тела и души	1	1
55	и той же	1	1
56	показывает самое слово	1	1
57	имеет место в	1	1
58	но и о	1	1
59	на самом деле	2	1
60	в таком виде	1	1
61	в чем сущность	1	1
62	одной стороны и	1	1
63	у нас есть	1	1
64	до сих пор	4	1
65	и не может	1	1
66	друг на друга	1	1
67	по себе и	1	1
68	как это часто	1	1
69	и во всех	2	1
70	одно из другого	1	1
71	и тогда не	1	1
72	есть одна из	1	1
73	никто никогда не	1	1
74	может быть только	1	1
75	и дает возможность	1	1
76	в себе никакого	1	1
77	его не вижу	1	1
78	только потому что	2	1
79	в применении к	1	1
80	что мы не	1	1
81	убедить в том	1	1
82	так что если	3	1
83	не о том	1	1
84	что для нас	1	1
85	ничего кроме этого	1	1
86	то тем самым	1	1
87	или по крайней	2	1
88	и как бы	1	1
89	но только не	1	1
90	не в том	2	1
91	в одинаковых отношениях	1	1
92	именно тогда когда	1	1
93	как показывает самое	1	1
94	только в обществе	1	1
95	но так как	1	1
96	тем самым не	1	1
97	быть только очень	1	1
98	одно из них	1	1
99	нет никакой возможности	1	1
100	оно не имеет	1	1
101	быть не только	1	1
102	более или менее	8	1
103	не имеем и	1	1
104	то же время	2	1
105	от того что	4	1
106	том смысле что	1	1
107	потому он не	1	1
108	во всем этом	2	1
109	и в таком	1	1
110	в одном из	1	1
111	что у него	1	1
112	в чем именно	1	1
113	но все эти	1	1
114	бы то ни	1	1
115	что все в	1	1
116	не менее в	1	1
117	то ни было	1	1
118	связанных между собою	1	1
119	в то же	2	1
120	в связи с	1	1
121	в том смысле	4	1
122	одной и той	1	1
123	кто утверждает что	1	1
124	мы до сих	1	1
125	не может находиться	1	1
126	то это опять	1	1
127	существуют для него	1	1
128	что и в	1	1
