N	3gram	Propp_Isto_5	Poddanst
1	в то же	1	7
2	то же время	1	7
3	не только в	2	4
4	в том что	2	4
5	с точки зрения	1	3
6	с одной стороны	7	3
7	в том числе	1	2
8	одной стороны и	1	2
9	и не только	1	2
10	в северной америке	1	2
11	но и в	2	2
12	в ней не	1	2
13	сводится к следующему	1	1
14	мы видим в	1	1
15	есть как бы	1	1
16	и вслед за	1	1
17	мы не будем	2	1
18	в отличие от	1	1
19	прежде всего мы	1	1
20	вместе с тем	6	1
21	так же как	3	1
22	если бы мы	2	1
23	только в виде	1	1
24	именно на этой	1	1
25	не в том	1	1
26	во всяком случае	1	1
27	с другой стороны	8	1
28	не может быть	3	1
29	само по себе	1	1
30	и тем самым	1	1
31	мы знаем что	4	1
32	друг с другом	2	1
33	ни на какие	1	1
34	для того чтобы	3	1
35	он живет в	2	1
36	том числе и	1	1
37	и т д	18	1
