N	2gram	Savitsky_P_1	Morfolog
1	может быть	5	52
2	и т	3	49
3	т д	1	47
4	и пр	5	40
5	представляет собой	1	17
6	не может	4	17
7	в этих	1	16
8	т е	3	16
9	могут быть	3	15
10	с этим	2	14
11	и в	14	13
12	в этом	10	13
13	мы видим	1	11
14	представляют собой	1	10
15	то же	9	9
16	прежде всего	3	9
17	а не	2	9
18	и не	12	9
19	а затем	1	8
20	что и	1	8
21	с другой	5	8
22	в результате	1	8
23	вопрос о	1	7
24	и этим	1	7
25	в качестве	9	7
26	все же	1	7
27	но не	3	6
28	это не	3	6
29	и здесь	1	6
30	а также	4	6
31	в том	9	6
32	а в	4	6
33	в поиски	1	6
34	мы не	3	5
35	во всех	2	5
36	не все	1	5
37	то что	4	5
38	в ходе	1	5
39	далеко не	1	5
40	не менее	2	5
41	потому что	3	5
42	вслед за	3	5
43	если мы	1	5
44	наряду с	3	5
45	как бы	4	5
46	и другие	1	5
47	также и	1	4
48	к началу	2	4
49	что его	1	4
50	если в	2	4
51	хотя и	3	4
52	и как	3	4
53	не только	17	4
54	его в	1	4
55	было бы	6	4
56	как и	1	4
57	точки зрения	3	4
58	с точки	3	4
59	в других	1	4
60	другой стороны	1	4
61	там где	1	4
62	так же	1	4
63	в иных	1	4
64	на пути	4	4
65	что в	4	4
66	связана с	1	3
67	момент когда	1	3
68	как таковые	1	3
69	но в	9	3
70	к чему	2	3
71	в пределах	8	3
72	и по	1	3
73	прежде чем	1	3
74	из них	2	3
75	том что	4	3
76	в то	7	3
77	того чтобы	1	3
78	и другим	1	3
79	с собой	1	3
80	если бы	4	3
81	с того	1	3
82	но и	6	3
83	в какой	1	3
84	и ее	1	3
85	в начале	2	3
86	связывается с	1	3
87	друг друга	1	3
88	мы можем	1	3
89	мы должны	4	3
90	только что	1	3
91	же в	4	3
92	ее по	1	3
93	тем же	1	2
94	собственном смысле	1	2
95	есть нечто	2	2
96	а с	1	2
97	и к	4	2
98	более или	1	2
99	многих других	1	2
100	большинстве случаев	1	2
101	и иных	1	2
102	в ином	1	2
103	с тем	3	2
104	представляют собою	1	2
105	или менее	1	2
106	и при	1	2
107	настоящее время	1	2
