N	3gram	Vinokur_St_2	Literetu
1	в том что	16	11
2	так или иначе	1	8
3	в отличие от	2	5
4	то же время	1	5
5	в то же	1	5
6	в данном случае	1	4
7	в связи с	1	4
8	в том же	2	3
9	дело в том	4	2
10	по отношению к	1	2
11	не говоря уже	1	2
12	с точки зрения	2	2
13	в этом отношении	9	2
14	одним из наиболее	1	2
15	не могло быть	1	2
16	для своего времени	1	2
17	во всяком случае	3	2
18	с легкой руки	1	2
19	о том что	11	2
20	тем не менее	2	2
21	в другом месте	2	1
22	ему кажется что	1	1
23	только потому что	2	1
24	иметь в виду	3	1
25	а прежде всего	1	1
26	одним и тем	1	1
27	у кого из	1	1
28	между прочим и	1	1
29	на самом деле	1	1
30	на то что	2	1
31	в ответ на	1	1
32	том что он	5	1
33	начале xix века	1	1
34	в одной из	2	1
35	не могли быть	1	1
36	в зависимости от	1	1
37	бы то ни	2	1
38	в той мере	2	1
39	по этому поводу	2	1
40	не столько в	2	1
41	в это время	2	1
42	в значительной степени	2	1
43	а как бы	1	1
44	горя от ума	1	1
45	и тем же	1	1
46	в самом деле	2	1
47	в отношении к	1	1
48	говоря уже о	1	1
49	в начале xix	1	1
50	и в этом	2	1
51	по большей части	1	1
52	что он сам	1	1
53	борисе годунове и	2	1
54	с другой стороны	3	1
55	тем что в	1	1
56	каждого из них	1	1
57	ничего общего с	1	1
58	в борисе годунове	28	1
59	имел в виду	1	1
60	в свою очередь	1	1
61	до сих пор	5	1
62	с самого начала	3	1
63	но все же	2	1
64	то ни было	2	1
65	во второй половине	1	1
66	я нашел в	1	1
67	в том числе	1	1
68	это еще не	1	1
69	к тому же	2	1
