N	2gram	Losev_Vlad_3	Otkroven
1	у него	24	22
2	и в	40	19
3	но и	18	13
4	и не	25	13
5	в этом	16	12
6	не в	3	11
7	не только	25	11
8	может быть	8	11
9	а не	8	11
10	человека и	3	10
11	вопрос о	4	10
12	в нем	3	10
13	и все	4	10
14	в самой	1	9
15	прежде всего	10	9
16	к человеку	1	9
17	не было	5	9
18	в человеке	1	9
19	никогда не	11	9
20	потому что	11	9
21	он был	2	8
22	и он	1	8
23	он всегда	2	7
24	в его	14	7
25	человек не	1	7
26	он не	8	7
27	лишь в	1	7
28	до конца	4	7
29	ни с	3	7
30	нет ничего	2	7
31	но он	1	7
32	человеческой души	1	6
33	человеческой личности	1	6
34	как и	7	6
35	все это	1	6
36	в том	18	5
37	в самом	4	5
38	в этой	8	5
39	для него	8	5
40	в россии	3	5
41	в творчестве	1	5
42	него в	4	5
43	а в	7	5
44	то что	28	5
45	о боге	4	4
46	он сам	2	4
47	с его	2	4
48	все в	1	4
49	все эти	5	4
50	него и	1	4
51	на земле	1	4
52	не может	14	4
53	того чтобы	3	4
54	и его	10	4
55	всегда есть	3	4
56	что в	17	4
57	только и	5	4
58	и есть	1	3
59	различие между	1	3
60	о том	11	3
61	еще не	4	3
62	к нему	3	3
63	человек был	1	3
64	было бы	4	3
65	того что	7	3
66	когда он	1	3
67	что он	5	3
68	в себе	9	3
69	и вот	1	3
70	не могут	2	3
71	для того	2	3
72	это было	3	3
73	что человек	1	3
74	это не	3	3
75	природы но	1	3
76	как бы	3	3
77	и от	6	3
78	в этих	2	3
79	хотя бы	6	3
80	в своих	7	3
81	все что	1	3
82	и с	9	2
83	и то	9	2
84	в ее	1	2
85	так и	6	2
86	его не	1	2
87	и о	4	2
88	движение в	1	2
89	с чего	2	2
90	по себе	6	2
91	раз уже	1	2
92	никогда и	2	2
93	был еще	1	2
94	их не	1	2
95	и на	6	2
96	совсем не	5	2
97	не все	3	2
98	что и	7	2
99	что они	1	2
100	в истории	5	2
101	же можно	1	2
102	в своем	8	2
103	и нет	1	2
104	все же	4	2
105	и к	2	2
106	в этот	2	2
107	не очень	2	2
108	и потому	10	2
109	должен был	2	2
110	в которой	2	2
111	он в	1	2
112	учение о	24	2
113	так что	14	2
114	уже в	3	2
115	в душе	1	2
116	о которой	1	2
117	что для	1	2
118	всякий кто	1	2
119	же это	2	2
120	которую он	1	2
121	так как	7	2
122	и никогда	1	2
123	тем что	5	2
