N	3gram	Tiupa_Vved_1	Komedia
1	к тому же	4	10
2	едва ли не	2	5
3	в том что	3	5
4	на этот раз	1	4
5	о том что	4	4
6	по отношению к	7	3
7	в том числе	1	3
8	тому же в	1	3
9	в связи с	1	3
10	то же время	3	3
11	в то же	4	3
12	в этом смысле	1	2
13	в ответ на	1	2
14	в частности в	2	2
15	в отличие от	2	2
16	с одной стороны	5	2
17	в нем не	1	2
18	то что он	1	2
19	во всяком случае	1	2
20	судя по всему	1	2
21	к этому времени	1	2
22	можно было бы	2	2
23	в поле зрения	1	2
24	речь идет о	1	2
25	иначе обстоит дело	1	1
26	мы имеем дело	3	1
27	что у нее	1	1
28	в соответствии с	6	1
29	в том же	1	1
30	так и не	1	1
31	одна из них	1	1
32	и еще более	1	1
33	и в то	1	1
34	мира в соответствии	1	1
35	но и в	2	1
36	и та же	1	1
37	том числе и	1	1
38	а то и	2	1
39	как будто он	1	1
40	за три года	1	1
41	между детьми и	4	1
42	семейной жизни и	1	1
43	той или иной	2	1
44	в первом случае	1	1
45	утра до вечера	1	1
46	если говорить о	1	1
47	как будто бы	3	1
48	имеем дело с	2	1
49	благодаря тому что	1	1
50	не следует забывать	1	1
51	на второй план	1	1
52	детьми и родителями	2	1
53	само по себе	1	1
54	одна и та	1	1
55	с другой стороны	1	1
56	мере в какой	2	1
57	в полной мере	1	1
58	с которой не	1	1
59	вместо того чтобы	1	1
60	не может быть	3	1
61	три года до	1	1
62	жизни так что	1	1
63	не было бы	1	1
64	и стало быть	1	1
65	более или менее	2	1
66	в свою очередь	4	1
67	и в самом	1	1
68	по своему происхождению	1	1
69	не только в	2	1
70	но в этом	1	1
71	что это не	1	1
72	друг от друга	1	1
73	в очередной раз	1	1
74	тем не менее	3	1
75	с утра до	1	1
76	в пределах одного	1	1
77	следует забывать что	1	1
78	как мы видели	2	1
