N	2gram	Tiupa_Teor_1	Literetu
1	уединенного сознания	1	50
2	не только	16	24
3	при этом	12	19
4	в качестве	24	17
5	но и	9	17
6	в том	16	16
7	а не	9	16
8	в частности	16	15
9	том что	9	14
10	в году	1	13
11	тогда как	15	13
12	может быть	17	13
13	сознания в	1	12
14	и не	13	12
15	в этом	8	12
16	в своем	4	11
17	состоит в	17	11
18	своего рода	7	11
19	прежде всего	2	11
20	в русской	6	10
21	такого рода	8	10
22	то что	3	10
23	или иначе	5	9
24	эстетического субъекта	1	9
25	в целом	3	8
26	так или	4	8
27	не в	7	8
28	в тексте	14	8
29	и в	18	8
30	художественной деятельности	1	8
31	произведение искусства	5	8
32	только в	6	8
33	как это	8	8
34	я и	2	7
35	я не	2	7
36	как бы	5	7
37	в себе	9	7
38	не менее	4	7
39	коммуникативного события	1	7
40	в его	6	7
41	уже не	4	7
42	и я	1	6
43	в рамках	7	6
44	то есть	12	6
45	как и	4	6
46	точки зрения	9	6
47	эстетического объекта	2	6
48	и сам	1	6
49	того что	4	6
50	связи с	1	6
51	в жизни	2	6
52	себя в	6	6
53	в хх	1	6
54	на смену	4	6
55	одним из	2	5
56	то же	7	5
57	хх веке	1	5
58	отличие от	6	5
59	как в	5	5
60	не столько	1	5
61	в отличие	6	5
62	в то	6	5
63	для себя	1	5
64	казалось бы	2	5
65	искусства и	1	5
66	а также	6	5
67	же время	5	5
68	в конечном	6	5
69	русской литературе	2	5
70	что он	1	5
71	русской поэзии	2	5
72	не может	4	5
73	в данном	8	5
74	я в	16	5
75	с его	5	5
76	тем самым	4	5
77	в своей	6	4
78	еще не	4	4
79	столь же	2	4
80	но не	9	4
81	конечном счете	6	4
82	в этой	3	4
83	в художественном	3	4
84	всего лишь	6	4
85	представляет собой	9	4
86	по преимуществу	4	4
87	в случае	1	4
88	в силу	1	4
89	с собой	1	4
90	лишь в	6	4
91	литературного произведения	7	4
92	духовной жизни	1	4
93	для этого	1	4
94	в уме	1	4
95	и его	8	4
96	ведет к	1	4
97	деятельности в	2	4
98	данном случае	5	4
99	никогда не	4	4
100	так и	10	4
101	в формах	2	4
102	и тем	3	4
103	из них	1	4
104	в конце	2	4
105	как раз	2	4
106	лирический герой	2	4
107	и т.п	4	4
108	читателя зрителя	1	4
109	о себе	2	4
110	в стихотворении	4	4
111	в связи	1	4
112	со стороны	2	4
113	эстетической деятельности	1	4
114	это не	2	4
115	рефлективного традиционализма	1	4
116	в своих	1	4
117	например в	1	3
118	как совокупность	1	3
119	тем же	1	3
120	исходит из	1	3
121	также и	1	3
122	художественности как	1	3
123	что его	1	3
124	по отношению	4	3
125	более чем	1	3
126	субъекта и	2	3
127	в самом	4	3
128	с их	2	3
129	в лирике	2	3
130	в принципе	4	3
131	силу своей	1	3
132	зрителя слушателя	1	3
133	таким образом	3	3
134	той же	1	3
135	его в	2	3
136	в душе	8	3
137	далеко не	2	3
138	художественного творчества	1	3
139	в их	2	3
140	этого текста	2	3
141	но в	9	3
142	том же	1	3
143	дело в	2	3
144	в основе	3	3
145	в области	4	3
146	эстетический объект	3	3
147	художественную реальность	1	3
148	говоря словами	3	3
149	в виду	5	3
150	в пределах	5	3
151	приводит к	5	3
152	одного из	1	3
153	сводится к	5	3
154	нуждается в	1	3
155	не сводится	4	3
156	по своей	3	3
157	один из	2	3
158	своего другого	1	3
159	потому что	3	3
160	этом в	1	3
161	при всей	1	3
162	человеческого я	3	3
163	у него	1	3
164	и даже	2	3
165	с другой	7	3
166	еще и	1	3
167	и др	1	3
168	не было	1	3
169	произведения искусства	2	3
170	мира в	1	3
171	по характеристике	1	3
172	пен пан	2	3
173	быть это	1	3
174	мыслится как	1	3
175	в культуре	2	3
176	литературе в	1	3
177	что в	9	3
178	а в	13	3
179	чтобы не	1	2
180	человека и	1	2
181	и весьма	1	2
182	того же	3	2
183	и то	2	2
184	из его	1	2
185	свое одиночество	1	2
186	факторов художественного	3	2
187	в сущности	1	2
188	на себя	2	2
189	из того	1	2
190	во мне	2	2
191	как правило	4	2
192	могло быть	2	2
193	а только	3	2
194	отнюдь не	3	2
195	его я	1	2
196	адресата в	1	2
197	дамы с	1	2
198	или иную	1	2
199	только то	1	2
200	с собачкой	1	2
201	личностного я	1	2
202	все эти	2	2
203	из этих	3	2
204	во многих	1	2
205	с чем	1	2
206	в нем	4	2
207	окружающей его	1	2
208	подобно тому	1	2
209	на этом	1	2
210	художественного впечатления	5	2
211	различие между	1	2
212	самим собой	3	2
213	здесь как	1	2
214	было бы	1	2
215	на почве	4	2
216	по мысли	1	2
217	художественности состоит	2	2
218	на второй	1	2
219	в слове	3	2
220	и того	3	2
221	несет в	2	2
222	от своего	2	2
223	в любом	1	2
224	с точки	3	2
225	мы в	2	2
226	это точка	1	2
227	от себя	3	2
228	я есть	5	2
229	войне и	2	2
230	тем не	3	2
231	однако в	7	2
232	даже в	3	2
233	нас самих	1	2
234	дело не	2	2
235	виду не	3	2
236	мышления и	2	2
237	жизни не	1	2
238	и является	2	2
239	с читателем	1	2
240	как будто	2	2
241	искусства это	2	2
242	знаковом материале	1	2
243	могут быть	4	2
244	к тому	2	2
245	в поле	1	2
246	искусства как	2	2
247	должен быть	1	2
248	от литературной	1	2
249	в себя	3	2
250	направленной на	1	2
251	своем составе	3	2
252	самим собою	2	2
253	для читателя	2	2
254	классического реализма	1	2
255	художественной практики	1	2
256	роль в	2	2
257	читателя в	1	2
258	в мире	19	2
259	освобождения от	1	2
260	ту же	1	2
261	различного рода	1	2
262	или иной	4	2
263	в другом	3	2
264	о том	1	2
265	с одной	2	2
266	обращается к	2	2
267	не могло	2	2
268	между тем	5	2
269	во втором	3	2
270	и только	1	2
271	велимира хлебникова	1	2
272	и татьяна	1	2
273	текст как	1	2
274	их не	1	2
275	по этому	1	2
276	от автора	1	2
277	только на	1	2
278	человеческого духа	1	2
279	что не	1	2
280	ту или	1	2
281	что для	1	2
282	для него	2	2
283	не случайно	5	2
284	тем что	1	2
285	совокупность факторов	1	2
286	одной стороны	2	2
287	внутреннего я	4	2
288	за пределы	2	2
289	нового времени	3	2
290	превращается в	2	2
291	из наиболее	1	2
292	не на	2	2
293	одну из	1	2
294	не тот	1	2
295	художественного целого	4	2
296	ты в	1	2
297	тому как	1	2
298	для понимания	2	2
299	как эстетической	4	2
300	текста как	4	2
301	точка безумия	1	2
302	эстетическое переживание	1	2
303	художественное произведение	1	2
304	можно было	1	2
305	это уже	1	2
306	не является	4	2
307	объекта и	1	2
308	которая в	1	2
309	особого рода	2	2
310	воспринимающее сознание	1	2
311	тем более	1	2
312	все они	1	2
313	своей внутренней	2	2
314	в равной	3	2
315	полагал что	1	2
316	о своем	2	2
317	героя как	1	2
318	отношению к	4	2
319	на это	1	2
320	в искусстве	6	2
321	в знаковом	1	2
322	по поводу	1	2
323	жизни подобно	1	1
324	автор относится	1	1
325	кто бы	1	1
326	же как	1	1
327	с жизнью	1	1
328	идет о	1	1
329	перед лицом	2	1
330	между двумя	3	1
331	я кризис	1	1
332	текст для	1	1
333	для иного	1	1
334	к другому	1	1
335	на две	3	1
336	свое место	1	1
337	можно лишь	1	1
338	ни были	1	1
339	оторванности от	1	1
340	несколько иной	1	1
341	который в	2	1
342	есть не	1	1
343	по собственному	1	1
344	предельную меру	1	1
345	героя оказывается	1	1
346	я как	2	1
347	можно проиллюстрировать	1	1
348	так я	1	1
349	превратилась в	1	1
350	был начат	1	1
351	говоря и	2	1
352	вопрос о	1	1
353	сидя над	1	1
354	этом не	1	1
355	не была	1	1
356	его мира	1	1
357	художественного произведения	4	1
358	в полной	1	1
359	жизни как	4	1
360	счете к	1	1
361	личности с	1	1
362	которое в	1	1
363	ним и	1	1
364	радикально меняется	1	1
365	как говорится	1	1
366	я избывал	1	1
367	как субъекта	1	1
368	нечто в	1	1
369	бы то	1	1
370	жизни однако	2	1
371	в чем	1	1
372	тем как	1	1
373	во внешнем	1	1
374	признаков атрибутов	1	1
375	стихотворения в	1	1
376	но как	1	1
377	в сторону	1	1
378	личного самоопределения	2	1
379	писавшего в	1	1
380	отношение к	5	1
381	имя в	1	1
382	художественные тексты	1	1
383	ту сторону	1	1
384	переживание переживания	1	1
385	что они	1	1
386	писателя в	1	1
387	в центре	1	1
388	первый взгляд	1	1
389	в одной	1	1
390	для всех	1	1
391	внутри себя	1	1
392	как к	2	1
393	о жизни	1	1
394	авторская позиция	1	1
395	сам же	1	1
396	деятельность по	1	1
397	перед нами	2	1
398	могли бы	2	1
399	как уже	1	1
400	художественного языка	7	1
401	и как	2	1
402	реальной действительности	1	1
403	новой реальностью	1	1
404	скрывайся и	1	1
405	я другого	1	1
406	неизмеримо более	1	1
407	духа и	1	1
408	имеет в	2	1
409	не мне	1	1
410	сочинения не	1	1
411	сдвиге в	1	1
412	в противоположность	2	1
413	говорит а	1	1
414	что произведение	1	1
415	то в	2	1
416	художественного мира	2	1
417	со своей	3	1
418	еще на	1	1
419	в которой	2	1
420	одноименном стихотворении	1	1
421	состоит как	1	1
422	он в	1	1
423	в нашем	4	1
424	если мы	2	1
425	большей части	1	1
426	право на	1	1
427	манифестирована в	1	1
428	а напротив	2	1
429	для настоящей	1	1
430	говорят о	1	1
431	мира представляет	1	1
432	продолжением и	1	1
433	не приводит	1	1
434	на то	1	1
435	иных модусов	1	1
436	вследствие этого	1	1
437	роли в	5	1
438	в статье	1	1
439	и последовательное	1	1
440	он не	3	1
441	игра с	1	1
442	характеризуется тем	1	1
443	каком говорится	1	1
444	ключ к	2	1
445	все перечисленные	1	1
446	в диалоге	2	1
447	фактор художественного	1	1
448	свою собственную	1	1
449	господином пены	1	1
450	к одному	1	1
451	и вот	3	1
452	уже говорилось	1	1
453	художественном языке	2	1
454	и более	1	1
455	остается лишь	1	1
456	я представил	1	1
457	и по	2	1
458	но дело	1	1
459	или иных	3	1
460	не бывает	1	1
461	эпоха классического	1	1
462	нуждающейся в	1	1
463	ни был	2	1
464	не должно	1	1
465	создать то	1	1
466	значительной степени	1	1
467	бы они	1	1
468	в каждом	1	1
469	творческого воображения	1	1
470	оно и	1	1
471	то ни	1	1
472	а затем	1	1
473	что скрыто	1	1
474	бы быть	1	1
475	полной мере	1	1
476	большинстве случаев	1	1
477	это было	2	1
478	его личности	1	1
479	искусства в	2	1
480	способа присутствия	1	1
481	чаще всего	1	1
482	согласно характеристике	1	1
483	в итоге	2	1
484	в них	2	1
485	не остаться	1	1
486	традиции однако	1	1
487	его организации	2	1
488	текста а	1	1
489	соответствии с	2	1
490	в ее	5	1
491	мы имеем	7	1
492	с тем	1	1
493	всю жизнь	1	1
494	данного строя	1	1
495	духовного я	1	1
496	должно быть	1	1
497	иначе говоря	4	1
498	и некоторые	2	1
499	автора и	1	1
500	одного и	3	1
501	перед собой	1	1
502	на первый	1	1
503	в этих	3	1
504	человеческой субъективности	1	1
505	о ком	1	1
506	места в	1	1
507	м.м бахтин	2	1
508	во второй	7	1
509	лирическое я	2	1
510	от ролевых	1	1
511	представить себе	1	1
512	поэтической традиции	1	1
513	это делает	1	1
514	в отношении	3	1
515	что от	1	1
