N	3gram	Tiupa_Hudo_2	Komedia
1	к тому же	2	10
2	едва ли не	1	5
3	в том что	11	5
4	о том что	7	4
5	для того чтобы	3	4
6	по отношению к	7	3
7	в том числе	1	3
8	тому же в	1	3
9	так или иначе	1	3
10	то же время	4	3
11	в то время	1	3
12	в то же	4	3
13	одних и тех	1	2
14	в ответ на	1	2
15	до сих пор	2	2
16	бы то ни	1	2
17	и тех же	1	2
18	не более чем	2	2
19	в это время	1	2
20	то время как	1	2
21	с одной стороны	3	2
22	в самом начале	1	2
23	и т п	2	2
24	берет на себя	1	2
25	после того как	1	2
26	к тому что	4	2
27	можно было бы	2	2
28	что и в	1	2
29	не в состоянии	1	1
30	как например в	1	1
31	все время пока	1	1
32	сводится к тому	1	1
33	это не означает	1	1
34	не принимает участия	1	1
35	один ряд с	1	1
36	мы имеем дело	1	1
37	что у нее	2	1
38	в самом деле	3	1
39	в молодые годы	1	1
40	в соответствии с	3	1
41	так и не	4	1
42	с точки зрения	2	1
43	только в том	2	1
44	том случае если	1	1
45	и в то	2	1
46	с самого начала	1	1
47	о том чтобы	1	1
48	том числе и	1	1
49	точно так же	1	1
50	как будто он	1	1
51	отношения между ними	1	1
52	только тем что	2	1
53	в отношениях с	1	1
54	в том случае	1	1
55	сообщения о том	1	1
56	в этой связи	2	1
57	все эти люди	1	1
58	нечто такое что	1	1
59	той или иной	1	1
60	в первом случае	1	1
61	утра до вечера	1	1
62	в котором по	1	1
63	в один ряд	1	1
64	как будто бы	2	1
65	имеем дело с	1	1
66	всю свою жизнь	1	1
67	они и в	2	1
68	с другой стороны	1	1
69	и в том	1	1
70	в собственный дом	1	1
71	не может быть	3	1
72	памятуя о том	1	1
73	внешней и внутренней	1	1
74	она могла бы	1	1
75	того или иного	2	1
76	у него в	1	1
77	во внешнем облике	1	1
78	что он не	1	1
79	угол зрения на	1	1
80	в соединении с	1	1
81	женщин и детей	1	1
82	и в самом	1	1
83	не только в	2	1
84	но все же	1	1
85	ни о чем	3	1
86	как мы знаем	1	1
87	друг от друга	1	1
88	тем не менее	3	1
89	едва ли в	1	1
90	с утра до	1	1
91	в пределах одного	1	1
92	вслед за этим	1	1
93	в дом и	1	1
