N	4gram	Medvedev_V_1	Myshleni
1	в то время как	1	4
2	так же как и	1	4
3	ответ на этот вопрос	1	2
4	одно и то же	1	2
5	с одной стороны и	2	1
6	с другой стороны в	1	1
7	главным образом потому что	1	1
8	вот что говорит он	1	1
9	не удивительно поэтому что	1	1
10	в какой мере не	1	1
11	и в то же	3	1
12	в чем же заключается	1	1
13	ни в какой мере	1	1
14	сама по себе в	1	1
15	в одном и том	1	1
16	в том числе и	2	1
17	с этой точки зрения	1	1
18	в то же время	5	1
19	могло бы и не	1	1
20	как если бы он	1	1
21	приводит к тому что	1	1
22	бы и не быть	1	1
23	одном и том же	2	1
