N	3gram	Bakhtin_Pr_3	Myshleni
1	в том что	1	17
2	вместе с тем	2	10
3	мы могли бы	1	7
4	для того чтобы	1	7
5	в отличие от	2	6
6	в высшей степени	3	6
7	с самого начала	8	6
8	мы уже говорили	3	5
9	тем не менее	2	5
10	друг с другом	2	5
11	что и в	1	5
12	и того же	1	4
13	смысле этого слова	2	4
14	во всяком случае	5	4
15	одного и того	1	4
16	о том что	2	3
17	в этом отношении	1	3
18	с другой стороны	3	3
19	мы видели что	1	3
20	на то что	1	3
21	могли бы сказать	1	3
22	как мы видели	2	3
23	по отношению к	5	2
24	и в отношении	1	2
25	в этом смысле	4	2
26	и в этом	2	2
27	то что в	1	2
28	того и другого	1	2
29	заключает в себе	1	2
30	и то что	1	2
31	уже говорили что	2	2
32	не может быть	6	2
33	и во всяком	1	2
34	из которых каждый	1	2
35	так и в	2	2
36	и вместе с	1	2
37	в свою очередь	1	2
38	точки зрения на	1	2
39	той или иной	2	2
40	как мы уже	1	2
41	как и в	1	2
42	самого начала все	1	1
43	и слово с	1	1
44	даже там где	1	1
45	на котором мы	1	1
46	подобно тому как	2	1
47	какого бы то	1	1
48	самого начала в	1	1
49	в этом случае	2	1
50	с точки зрения	4	1
51	до сих пор	1	1
52	как и все	2	1
53	хотя бы и	2	1
54	отношении друг к	1	1
55	бы то ни	4	1
56	это мы и	1	1
57	с внутренней речью	1	1
58	к тому чтобы	2	1
59	за то что	1	1
60	что дело идет	1	1
61	он не мог	1	1
62	были бы невозможны	1	1
63	благодаря этому его	1	1
64	как если бы	1	1
65	и другого в	1	1
66	в данном случае	1	1
67	то ни было	4	1
68	слова и его	3	1
69	с которым он	5	1
70	на этот раз	1	1
71	и все его	1	1
72	всяком случае в	1	1
73	в значительной степени	1	1
74	но и по	1	1
75	всяком случае не	1	1
76	его к тому	1	1
77	все более и	1	1
78	общения с ним	1	1
79	друг к другу	1	1
80	но только в	1	1
81	к той же	1	1
82	и в том	1	1
83	этого слова и	2	1
84	не в плане	1	1
85	а вместе с	1	1
86	по себе как	1	1
87	и как бы	1	1
88	раз и навсегда	1	1
89	но тем не	1	1
90	и в самом	3	1
91	более и более	1	1
92	и у человека	1	1
93	выходит за пределы	2	1
94	и остается в	1	1
95	но все эти	1	1
96	к тому что	1	1
97	но ни один	1	1
98	сама по себе	2	1
99	по сравнению со	1	1
100	то что они	1	1
101	того же слова	1	1
102	определения и все	1	1
103	мы увидим что	2	1
104	в конце концов	3	1
105	которого никогда не	2	1
106	и к другому	3	1
107	что он в	2	1
108	с первого же	1	1
