N	2gram	Medvedev_S_1	Problemy
1	и не	1	31
2	и в	3	29
3	в его	3	24
4	может быть	2	24
5	в этом	5	22
6	как бы	2	19
7	не только	3	15
8	то что	2	15
9	то же	2	14
10	и его	1	14
11	но и	2	14
12	таким образом	2	12
13	как и	1	12
14	не может	1	12
15	в то	1	10
16	только в	2	10
17	все эти	1	9
18	все же	1	9
19	это не	1	9
20	же время	1	9
21	но не	1	9
22	по отношению	2	8
23	что в	2	8
24	по себе	1	8
25	в каждом	1	8
26	в том	5	8
27	что он	1	8
28	в своей	1	8
29	отношению к	2	8
30	за пределы	2	7
31	и как	1	7
32	том что	2	7
33	не в	3	7
34	вовсе не	1	7
35	так и	1	7
36	прежде всего	1	7
37	а в	1	7
38	в целом	1	6
39	что она	1	6
40	в мире	1	6
41	его в	1	6
42	в конце	2	6
43	и потому	1	6
44	все это	7	6
45	это и	2	5
46	должна быть	2	5
47	у него	1	5
48	перед нами	1	5
49	было бы	2	5
50	в сущности	1	5
51	и о	1	5
52	еще не	2	5
53	с ним	1	5
54	ничего не	1	5
55	между тем	1	5
56	именно в	1	5
57	конце концов	2	5
58	во всяком	1	5
59	и наконец	1	4
60	в этой	1	4
61	даже в	1	4
62	в процессе	1	4
63	все то	1	4
64	тем что	1	4
65	как же	3	4
66	не было	1	4
67	в результате	2	4
68	они не	1	4
69	но именно	1	3
70	далеко не	2	3
71	тому что	1	3
72	никогда не	1	3
73	как будто	2	3
74	точке зрения	1	3
75	только то	1	3
76	с другой	1	3
77	в них	1	3
78	литературе о	1	3
79	мы должны	1	3
80	но как	1	3
81	не из	1	3
82	всяком случае	1	3
83	по существу	2	3
84	бы в	1	3
85	не дает	1	3
86	и есть	1	2
87	он ни	1	2
88	ни были	1	2
89	же не	1	2
90	со своими	1	2
91	именно и	1	2
92	в котором	1	2
93	и благодаря	1	2
94	мысли в	1	2
95	связи с	1	2
96	они ни	1	2
97	и что	2	2
98	те же	1	2
99	никак не	1	2
100	наконец в	1	2
101	в лучшем	1	2
102	один из	1	2
103	хотя бы	1	2
104	именно на	1	2
105	конечно не	1	2
106	или даже	2	2
107	ведь это	2	2
108	на этот	1	2
109	представляется нам	1	2
110	только как	2	2
111	в данном	1	2
112	благодаря этому	1	2
113	и разрешить	1	2
114	лучшем случае	1	2
115	в смысле	2	2
116	из тех	1	2
117	слова но	1	2
118	бы он	1	2
119	между ними	1	2
120	художественных произведений	1	1
121	же по	1	1
122	тем же	1	1
123	противном случае	1	1
124	на тех	1	1
125	мы не	1	1
126	этом не	1	1
127	не способен	1	1
128	первый план	1	1
129	он говорит	1	1
130	в свои	1	1
131	сама по	1	1
132	в противном	1	1
133	они или	1	1
134	почти сплошь	1	1
135	что это	1	1
136	иначе и	1	1
137	идей и	2	1
138	же это	1	1
139	и по	1	1
140	героя который	1	1
141	что все	1	1
142	и мы	2	1
143	быть не	1	1
144	между собою	1	1
145	остается в	1	1
146	на первый	1	1
147	место в	1	1
148	как совокупность	1	1
149	по крайней	1	1
150	том и	1	1
151	автор не	1	1
152	в области	1	1
153	вот в	1	1
154	же самое	1	1
155	но только	1	1
156	ни одно	1	1
157	мы думаем	1	1
158	художественных функциях	1	1
159	по природе	2	1
160	он по	1	1
161	для этого	1	1
162	в настоящее	1	1
163	даже не	1	1
164	образом в	1	1
165	его построения	1	1
166	тех кто	1	1
167	о том	1	1
168	настоящее время	1	1
169	поставить и	1	1
170	и только	3	1
171	крайней мере	1	1
172	она может	2	1
173	к которому	2	1
174	а с	1	1
175	и ценное	1	1
176	него и	1	1
177	может служить	1	1
178	перейти к	1	1
179	коренная ошибка	1	1
180	выходит за	1	1
181	тотчас же	1	1
182	зависит от	1	1
183	переходим к	1	1
184	с помощью	1	1
185	вступает в	1	1
186	в частности	2	1
187	ни на	1	1
188	нет а	1	1
189	единство не	1	1
190	новые и	1	1
191	построение не	1	1
192	своих мыслей	1	1
193	все построение	1	1
194	на ней	1	1
