N	3gram	Propp_Russ_1	VrazhdaK
1	он считал что	1	3
2	в связи с	4	3
3	с точки зрения	3	2
4	в том что	15	2
5	можно говорить об	1	1
6	а следовательно и	1	1
7	в е годы	2	1
8	в этом отношении	1	1
9	независимо от того	1	1
10	но это не	2	1
11	точно так же	1	1
12	подтверждается тем что	1	1
13	но и как	1	1
14	может быть и	2	1
15	в это время	2	1
16	так же как	1	1
17	о том же	1	1
18	и в этом	1	1
19	не только как	1	1
20	все же не	2	1
21	во всяком случае	1	1
22	тем не менее	3	1
23	в то время	1	1
24	в свою очередь	2	1
25	о том что	4	1
26	между тем это	1	1
27	на то что	1	1
28	в своем дневнике	1	1
29	на первое место	1	1
30	у себя на	1	1
