N	2gram	Vinokur_Vv_1	StatiiOP
1	и в	27	29
2	в том	31	27
3	том что	26	27
4	в этом	34	21
5	но и	5	19
6	что в	11	19
7	не только	21	19
8	о том	15	17
9	в его	10	13
10	в и	4	13
11	что он	4	13
12	то что	17	11
13	в которой	1	11
14	все это	6	11
15	таким образом	19	10
16	т е	38	10
17	к тому	4	10
18	как на	11	9
19	так и	1	9
20	потому что	14	9
21	и т	43	9
22	и не	13	9
23	этом отношении	3	9
24	в своем	3	9
25	как раз	4	8
26	по поводу	1	8
27	но в	10	8
28	на немецкий	1	7
29	в своей	4	7
30	с тем	6	7
31	вместе с	6	7
32	для того	21	7
33	не столько	2	7
34	в котором	4	7
35	того как	3	7
36	тому что	2	7
37	в самом	12	7
38	в ней	3	7
39	в г	5	7
40	так например	6	7
41	в виду	4	7
42	но все	3	7
43	одним из	5	6
44	все же	8	6
45	вопрос о	8	6
46	т д	37	6
47	вовсе не	6	6
48	до сих	5	6
49	об этом	5	6
50	в одном	4	6
51	и его	5	6
52	в течение	5	6
53	факт что	1	6
54	и на	3	6
55	и что	4	6
56	того чтобы	21	6
57	прежде всего	8	5
58	точки зрения	7	5
59	сих пор	5	5
60	того что	12	5
61	в той	7	5
62	между тем	8	5
63	в свет	1	5
64	в качестве	7	5
65	своего рода	3	5
66	в языке	1	5
67	о чем	4	5
68	обратить внимание	2	5
69	а не	3	5
70	было бы	5	5
71	как бы	5	5
72	но с	4	4
73	и с	2	4
74	в частности	3	4
75	в другом	3	4
76	по словам	1	4
77	связи с	3	4
78	после того	2	4
79	кроме того	1	4
80	то обстоятельство	1	4
81	в нем	13	4
82	не в	8	4
83	раньше чем	3	4
84	тот факт	1	4
85	для него	1	4
86	хотя и	3	4
87	времени и	4	4
88	и к	1	4
89	в значении	1	4
90	до того	2	4
91	что у	1	4
92	дело в	3	4
93	и о	1	4
94	в печати	2	4
95	еще более	1	4
96	ничего не	2	4
97	внимание на	4	4
98	именно в	8	4
99	должен был	4	4
100	своего времени	1	4
101	при помощи	2	4
102	работы над	6	4
103	к этому	3	4
104	с другой	8	4
105	а как	3	4
106	обстоятельство что	1	4
107	того времени	1	4
108	но также	14	4
109	речь идет	2	4
110	не мог	2	3
111	т п	5	3
112	что на	1	3
113	отношении к	2	3
114	но он	1	3
115	в предисловии	1	3
116	материал для	3	3
117	и сейчас	2	3
118	могло быть	1	3
119	на нее	2	3
120	так же	3	3
121	у меня	1	3
122	еще и	3	3
123	не было	1	3
124	не менее	8	3
125	наконец в	1	3
126	хотя бы	5	3
127	что это	3	3
128	по себе	9	3
129	в их	11	3
130	по его	2	3
131	но не	7	3
132	оно не	1	3
133	одной из	3	3
134	например в	2	3
135	во всяком	3	3
136	должно было	1	3
137	в начале	3	3
138	на самом	1	3
139	отношений между	3	3
140	никогда не	3	3
141	и даже	5	3
142	в этих	3	3
143	в россии	1	3
144	на вопрос	6	3
145	так что	5	3
146	как в	1	3
147	у нас	2	3
148	неудивительно что	1	3
149	другое дело	3	3
150	не то	1	3
151	с этим	2	3
152	тому же	1	3
153	в обоих	2	3
154	всяком случае	3	3
155	русского языка	1	3
156	тем что	6	3
157	нельзя не	4	3
158	не могло	1	3
159	другой стороны	5	3
160	вряд ли	2	3
161	же как	3	3
162	и именно	12	3
163	русской истории	1	3
164	на рубеже	2	3
165	до конца	3	3
166	в известном	3	3
167	в общем	12	3
168	с самого	1	3
169	самом деле	6	3
170	давно уже	1	3
171	которые не	1	3
172	в эту	1	3
173	из них	3	3
174	вообще не	3	3
175	самого начала	1	3
176	но это	1	3
177	все эти	3	2
178	но далее	1	2
179	о которых	2	2
180	из таких	1	2
181	в значительной	2	2
182	на его	1	2
183	тогда как	2	2
184	ко времени	2	2
185	как и	5	2
186	на всем	1	2
187	которой в	2	2
188	говорит о	3	2
189	бы то	1	2
190	того же	3	2
191	не может	13	2
192	как например	5	2
193	начала xix	1	2
194	не по	1	2
195	в духе	1	2
196	не к	2	2
197	действительно не	1	2
198	искусства и	1	2
199	этому поводу	2	2
200	чтобы сделать	1	2
201	в себе	4	2
202	на то	1	2
203	только по	3	2
204	к истории	6	2
205	не до	2	2
206	только о	2	2
207	в какой	4	2
208	той мере	4	2
209	опору в	1	2
210	это еще	2	2
211	и вообще	3	2
212	в тех	2	2
213	и другие	1	2
214	в конце	3	2
215	в области	4	2
216	дело не	3	2
217	как это	5	2
218	если принять	1	2
219	не дает	1	2
220	и те	2	2
221	в то	5	2
222	если не	1	2
223	нет никакого	1	2
224	к изданию	1	2
225	его в	6	2
226	и я	1	2
227	литературного языка	1	2
228	и была	1	2
229	как он	6	2
230	говорит об	1	2
231	с той	1	2
232	уже после	3	2
233	в ее	11	2
234	ближайшим образом	1	2
235	далее в	1	2
236	с этой	4	2
237	например что	2	2
238	совершенно не	1	2
239	письма к	1	2
240	по этому	2	2
241	раз в	1	2
242	как произведение	1	2
243	в чисто	4	2
244	это были	1	2
245	сомнений в	1	2
246	а затем	1	2
247	разумеется в	1	2
248	он по	1	2
249	то ни	1	2
250	значительной степени	1	2
251	то же	8	2
252	из его	2	2
253	в числе	1	2
254	что этот	1	2
255	они говорят	1	2
256	с точки	2	2
257	и сам	2	2
258	и всегда	1	2
259	не имеет	4	2
260	и дело	1	2
261	во внимание	2	2
262	в статье	1	2
263	они не	1	2
264	больше всего	1	2
265	утверждать что	1	2
266	отличие от	3	2
267	ее в	1	2
268	на почве	5	2
269	выражение в	1	2
270	что такое	10	2
271	не на	1	2
272	в одной	1	2
273	сравнении с	1	2
274	в отношении	2	2
275	только с	3	2
276	предисловии к	1	2
277	и это	6	2
278	примеров такого	1	2
279	другом месте	2	2
280	свое выражение	3	2
281	принять во	2	2
282	в истории	9	2
283	такого рода	2	2
284	нет и	1	2
285	он был	1	2
286	тем не	8	2
287	только в	13	2
288	языка которая	1	2
289	это было	1	2
290	со стороны	12	2
291	очевидно что	1	2
292	если бы	2	2
293	только что	4	2
294	во время	1	2
295	по своему	5	2
296	в них	4	2
297	в особенности	4	2
298	не должен	1	2
299	только потому	1	2
300	ни было	1	2
301	в этой	3	2
302	для которых	3	2
303	а к	1	2
304	мере в	4	2
305	том же	2	2
306	что именно	2	2
307	или с	1	2
308	при этом	3	2
309	в каком	1	2
310	не потому	1	2
311	ни с	2	2
312	как своего	1	2
313	что и	3	2
314	большое впечатление	1	2
315	в полной	1	2
316	в отличие	3	2
317	есть еще	2	2
318	что собственно	3	2
319	в результате	3	2
320	языка в	4	2
321	несмотря на	2	2
322	не раз	1	2
323	истории и	4	2
324	народа в	1	2
325	также и	16	2
326	образцом для	1	2
327	по адресу	1	2
328	до него	1	2
329	по их	2	2
330	ему не	1	2
331	а также	3	2
332	на этот	4	2
333	меня в	1	2
334	по существу	2	2
335	может быть	24	2
336	свободен от	1	2
337	сказать что	5	2
338	в рукописи	1	2
339	и др	2	2
340	должна была	2	2
341	никак не	1	2
342	и речи	1	2
343	что с	3	2
344	в содержании	1	2
345	так как	13	2
346	этот вопрос	4	2
347	от его	1	2
348	и как	9	2
349	не могли	2	2
350	еще в	1	2
351	и более	1	2
352	в данном	11	2
353	прямом смысле	2	1
354	с традициями	1	1
355	его от	1	1
356	для такого	1	1
357	понимать что	1	1
358	одну из	1	1
359	сделать его	1	1
360	и совершенно	2	1
361	всякого исторического	1	1
362	правом можно	1	1
