N	3gram	Medvedev_F_1	Russkaja
1	то же время	8	10
2	в то же	8	10
3	с точки зрения	13	9
4	в том что	1	7
5	на самом деле	6	6
6	во всяком случае	4	6
7	до сих пор	6	5
8	более или менее	6	4
9	бы то ни	3	4
10	к тому чтобы	1	4
11	не может быть	5	4
12	не может не	1	3
13	то ни стало	2	3
14	во что бы	2	3
15	в лучшем случае	3	3
16	вместе с тем	1	3
17	и не может	2	3
18	что бы то	2	3
19	в данном случае	1	3
20	и если в	1	3
21	в настоящее время	10	2
22	точки зрения этой	1	2
23	в том и	1	2
24	чтобы понять что	1	2
25	и в том	1	2
26	того или иного	2	2
27	и тем самым	1	2
28	друг от друга	2	2
29	в большинстве случаев	2	2
30	к тому что	1	2
31	сама по себе	2	2
32	уже знаем что	1	1
33	или хотя бы	1	1
34	состоит в том	1	1
35	прежде всего в	3	1
36	в свою очередь	6	1
37	между прочим и	1	1
38	по отношению к	4	1
39	в этой роли	1	1
40	но даже и	1	1
41	в том числе	1	1
42	бы либо к	1	1
43	таким образом оказывается	1	1
44	мы уже знаем	1	1
45	отнюдь не следует	1	1
46	и те кто	1	1
47	конечно не может	1	1
48	в этом отношении	1	1
49	но для этого	1	1
50	том числе и	1	1
51	тот или иной	1	1
52	в противном случае	1	1
53	отнюдь не является	1	1
54	и в частности	2	1
55	роль в истории	1	1
56	сводится к тому	2	1
57	в применении к	2	1
58	в том чтобы	2	1
59	но в то	2	1
60	то ни было	1	1
61	и с точки	1	1
62	в своем целом	2	1
63	ни к какому	1	1
64	смысле этого слова	3	1
65	еще не было	1	1
66	и в этом	2	1
67	этого прежде всего	1	1
68	и как бы	1	1
69	в связи с	2	1
70	эта точка зрения	1	1
71	только с точки	1	1
72	это конечно не	1	1
73	что касается до	1	1
74	в его целом	8	1
75	так же как	1	1
76	приводит к отрицанию	1	1
77	от того что	1	1
78	по их мнению	1	1
79	заключается в том	1	1
80	тех или иных	1	1
81	но из этого	1	1
82	с самого начала	1	1
83	как бы ни	3	1
84	для этого прежде	1	1
85	целый ряд общих	1	1
86	но все же	1	1
87	лучшем случае лишь	1	1
88	свою очередь является	2	1
89	тем не менее	1	1
90	точки зрения этих	1	1
91	этого слова но	1	1
92	различны в зависимости	1	1
