N	3gram	Vinokur_St_3	Sovremen
1	с точки зрения	4	5
2	каждом отдельном случае	1	5
3	в каждом отдельном	1	5
4	не может быть	5	4
5	не может не	1	3
6	с самого начала	2	3
7	тем не менее	2	2
8	во всяком случае	4	2
9	в свою очередь	1	2
10	то же самое	1	2
11	каждая из этих	1	1
12	и может быть	1	1
13	в известном смысле	1	1
14	и в этом	2	1
15	по крайней мере	4	1
16	в такой же	1	1
17	не в том	3	1
18	в связи с	3	1
19	все более и	2	1
20	в этом направлении	1	1
21	и пр но	1	1
22	сказать несколько слов	1	1
23	это означало бы	1	1
24	на самом деле	1	1
25	он может быть	1	1
26	в этом смысле	4	1
27	и той же	1	1
28	в свое время	1	1
29	до наших дней	1	1
30	под углом зрения	1	1
31	и ни в	1	1
32	до сих пор	2	1
33	вместе с ним	1	1
34	то же время	3	1
35	тот или иной	1	1
36	что в ней	1	1
37	прежде всего необходимо	1	1
38	более и более	2	1
39	можно было бы	1	1
40	в самом деле	1	1
41	той или иной	1	1
42	но все же	2	1
43	но уже в	1	1
44	в то же	3	1
45	из этих двух	1	1
46	одной и той	1	1
47	что все они	1	1
48	в такого рода	1	1
49	в том что	11	1
50	в этой области	2	1
51	с одной стороны	2	1
