N	2gram	Medvedev_V_1	Sotsiolo
1	все это	1	7
2	в том	2	5
3	в этом	1	5
4	и только	1	3
5	более чем	1	3
6	как же	1	3
7	и в	2	3
8	конце концов	2	2
9	только в	1	2
10	далеко не	1	2
11	тем более	1	2
12	том что	2	2
13	в частности	1	2
14	главным образом	1	2
15	ведь это	1	2
16	заключается что	1	2
17	в конце	2	2
18	и заключается	1	2
19	по существу	1	2
20	то же	1	2
21	крайней мере	1	1
22	полемизируя с	1	1
23	даже не	1	1
24	именно в	1	1
25	и не	1	1
26	и самым	1	1
27	сколь и	1	1
28	стр и	1	1
29	ценное что	1	1
30	и его	1	1
31	хотя бы	1	1
32	говоря иначе	1	1
33	все то	1	1
34	столь же	1	1
35	время в	1	1
36	павел медведев	1	1
37	по крайней	1	1
