N	4gram	Vinokur_Vv_1	VerxiiNi
1	с этой точки зрения	1	2
2	бы то ни было	1	2
3	но вместе с тем	1	2
4	в том виде в	1	2
5	в то же время	5	2
6	и для того чтобы	1	2
7	точно так же как	1	2
8	котором здесь идет речь	1	1
9	мы имеем в виду	1	1
10	одного и того же	2	1
11	невозможно но все же	1	1
12	в одном и том	1	1
13	виде в каком он	1	1
14	в широком смысле этого	2	1
15	в том или ином	1	1
16	можно сказать что в	1	1
17	с течением времени в	1	1
18	с тем что в	1	1
19	состоит в том что	2	1
20	но в то же	3	1
21	том виде в каком	1	1
22	одном и том же	1	1
23	тем не менее совершенно	1	1
24	о котором здесь идет	1	1
