N	2gram	Berdyaev_N_1	DiskursI
1	в себе	2	19
2	в этом	7	16
3	как и	7	16
4	и в	16	16
5	может быть	7	16
6	и не	11	15
7	а не	17	14
8	отличие от	1	12
9	в отличие	1	12
10	и т.п	2	12
11	но в	2	11
12	в мире	3	11
13	но и	3	11
14	не только	5	10
15	том что	2	10
16	своего рода	1	10
17	так и	2	9
18	не может	16	9
19	такого рода	2	9
20	как в	3	8
21	в том	8	8
22	а также	1	8
23	но не	2	7
24	в нем	5	7
25	ни в	6	7
26	не менее	4	7
27	прежде всего	4	7
28	еще не	3	6
29	с его	6	6
30	себя в	2	6
31	в своей	3	6
32	по своей	1	6
33	и на	2	5
34	в своем	1	5
35	в то	2	5
36	нового времени	12	5
37	с другой	3	5
38	что в	9	5
39	то что	4	5
40	ни к	2	5
41	в этой	1	4
42	роль в	2	4
43	человека в	1	4
44	в основе	3	4
45	потому что	4	4
46	о том	4	4
47	времени в	2	4
48	с одной	2	4
49	одной стороны	2	4
50	мира и	2	4
51	в период	1	4
52	можно назвать	2	4
53	к жизни	3	3
54	все эти	2	3
55	из этих	1	3
56	он не	8	3
57	это не	4	3
58	одного и	1	3
59	в этих	1	3
60	в котором	1	3
61	не столько	1	3
62	не в	6	3
63	могут быть	2	3
64	приводит к	1	3
65	еще в	1	3
66	в его	1	3
67	но она	2	3
68	только в	1	3
69	и его	1	3
70	уже не	2	3
71	из них	1	3
72	в них	4	3
73	не было	4	3
74	не знает	6	3
75	как будто	2	3
76	можно сказать	1	3
77	но это	6	3
78	и того	1	3
79	и все	4	3
80	жизни в	3	3
81	жизни а	1	3
82	жизни и	8	3
83	как на	1	3
84	которых не	2	2
85	же как	2	2
86	того же	1	2
87	и это	2	2
88	перед лицом	1	2
89	по преимуществу	1	2
90	место в	2	2
91	говорить о	1	2
92	жизни как	2	2
93	в ней	5	2
94	должна быть	3	2
95	не к	2	2
96	подобно тому	3	2
97	заключает в	1	2
98	и с	2	2
99	должно быть	4	2
100	такой же	2	2
101	все это	5	2
102	переходе от	2	2
103	обращение к	2	2
104	их в	1	2
105	никогда не	6	2
106	того и	1	2
107	жизни не	3	2
108	в области	1	2
109	жизнью и	1	2
110	с их	2	2
111	для себя	1	2
112	с ее	5	2
113	ни одно	1	2
114	природе своей	1	2
115	времени и	2	2
116	не с	1	2
117	которая в	1	2
118	который не	1	2
119	есть в	2	2
120	в большинстве	1	2
121	к своим	1	2
122	наше время	4	2
123	бытия и	1	2
124	что будет	1	2
125	стремится к	3	2
126	не на	1	2
127	человеческой жизни	1	2
128	может иметь	1	2
129	вместе с	2	2
130	в той	1	2
131	тому как	3	2
132	мира с	1	2
133	в формах	1	2
134	в наше	3	2
135	и для	4	2
136	а к	1	2
137	по природе	1	2
138	а в	2	2
139	образ человека	1	2
140	другой стороны	2	2
141	что он	1	2
142	бытия а	1	1
143	переход от	1	1
144	это и	2	1
145	и есть	10	1
146	но если	1	1
147	к созданию	2	1
148	к чему	1	1
149	мы не	2	1
150	христианской культуры	1	1
151	вопрос о	3	1
152	в сущности	1	1
153	я не	2	1
154	жизни мир	1	1
155	жизни это	1	1
156	из ее	2	1
157	это время	1	1
158	же мере	1	1
159	людей в	1	1
160	чего оно	1	1
161	на их	1	1
162	в чем	1	1
163	характер и	1	1
164	истории в	5	1
165	во всех	3	1
166	в ее	3	1
167	раскрытие тайны	1	1
168	к богу	2	1
169	есть по	1	1
170	есть нарушение	1	1
171	за пределы	3	1
172	в истории	3	1
173	хотя и	2	1
174	в этот	1	1
175	в самом	1	1
176	в которой	1	1
177	ни одна	2	1
178	человеке и	1	1
179	человек не	1	1
180	не имеют	2	1
181	и только	1	1
182	одному из	1	1
183	и еще	1	1
184	к одному	1	1
185	в силу	1	1
186	нашего времени	2	1
187	значительной степени	1	1
188	о русском	1	1
189	лишь в	6	1
190	лишь на	1	1
191	сам этот	1	1
192	своей основе	1	1
193	в жизни	5	1
194	этого она	1	1
195	античной культуры	1	1
196	этого не	1	1
197	и разложения	1	1
198	духовной жизни	2	1
199	и было	2	1
200	рода в	1	1
201	в такой	1	1
202	на иной	1	1
203	дальнейшее развитие	1	1
204	жизни с	1	1
205	в обнаружении	1	1
206	как другие	1	1
207	к реальному	3	1
208	героя но	1	1
209	и более	1	1
210	не должно	1	1
211	что этот	1	1
212	с миром	1	1
213	она не	3	1
