N	3gram	Medvedev_V_1	EvropaiC
1	в том что	5	16
2	до сих пор	1	12
3	по отношению к	7	10
4	а между тем	1	7
5	более или менее	6	7
6	мы знаем что	2	7
7	для того чтобы	3	6
8	в самом деле	1	5
9	по сравнению с	1	5
10	сих пор не	1	4
11	том случае если	1	4
12	в том случае	1	4
13	может быть и	1	4
14	в этой области	3	4
15	и без того	1	4
16	к тому же	1	4
17	с другой стороны	8	4
18	не может быть	8	4
19	о том что	3	4
20	в конце концов	2	4
21	не может не	2	3
22	в том же	1	3
23	не подлежит сомнению	1	3
24	так же как	1	3
25	в данном случае	1	3
26	так или иначе	1	3
27	все же не	1	3
28	в связи с	3	3
29	таким образом в	2	3
30	подлежит сомнению что	1	3
31	и может быть	1	2
32	в начале этой	1	2
33	они должны быть	2	2
34	как и все	1	2
35	только то что	2	2
36	заключает в себе	1	2
37	то же время	5	2
38	вместе с тем	3	2
39	с одной стороны	2	2
40	во всяком случае	1	2
41	во всех этих	1	2
42	между этими двумя	1	2
43	в свою очередь	1	2
44	ничего общего с	1	2
45	в то же	5	2
46	нет и не	1	1
47	хотя и не	1	1
48	если все эти	1	1
49	по этому вопросу	1	1
50	и то же	1	1
51	иметь в виду	2	1
52	а потому и	1	1
53	то время как	1	1
54	не говоря уже	1	1
55	то же самое	1	1
56	только в том	2	1
57	не отличается от	1	1
58	и не может	2	1
59	говоря уже о	1	1
60	в зависимости от	5	1
61	те черты которые	1	1
62	между собою в	1	1
63	и так или	1	1
64	у него в	1	1
65	что все эти	1	1
66	том числе и	2	1
67	всех других видов	1	1
68	том или ином	1	1
69	начале этой главы	1	1
70	и в ту	1	1
71	точки зрения на	1	1
72	по крайней мере	2	1
73	эти примеры показывают	1	1
74	одно и то	1	1
75	их отношение к	1	1
76	она к тому	1	1
77	что во всех	1	1
78	а как бы	1	1
79	в том или	1	1
80	уже о том	1	1
81	что все они	1	1
82	в ту же	1	1
83	значит и в	2	1
84	таким образом и	1	1
85	чтобы ответить на	1	1
86	том же духе	1	1
87	то непосредственное впечатление	1	1
88	но по существу	1	1
89	из приведенных выше	3	1
90	каждый из них	1	1
91	что ни одна	1	1
92	хотя бы с	1	1
93	приводит к тому	1	1
94	не в том	2	1
95	что они не	1	1
96	на основании этих	1	1
97	так и от	2	1
98	в этом и	2	1
99	между всеми этими	1	1
100	все то что	1	1
101	образом по отношению	2	1
102	именно в том	1	1
103	а в том	1	1
104	большею частью в	1	1
105	данного произведения в	1	1
106	но с другой	1	1
107	в то время	1	1
108	том же направлении	1	1
109	та или иная	1	1
110	хотя бы в	3	1
111	и художественное произведение	1	1
112	между ними нет	1	1
113	может быть признана	1	1
114	не только не	2	1
115	но даже в	1	1
116	ни одна из	1	1
117	по его мнению	1	1
118	из этих элементов	1	1
119	мы видели что	3	1
120	этой области не	1	1
121	в том числе	2	1
122	к тому что	3	1
123	мы видим что	1	1
124	если бы все	1	1
125	таким образом даже	2	1
126	таким образом для	1	1
127	таким образом по	2	1
128	только тогда когда	1	1
129	как мы знаем	1	1
130	мы только что	1	1
131	тот или иной	1	1
132	том что оно	1	1
133	и в другом	2	1
