N	2gram	Losev_Prob_5	Sotsiolo
1	все это	1	7
2	в том	12	5
3	в этом	17	5
4	и только	2	3
5	для нас	10	3
6	не только	18	3
7	и в	30	3
8	не в	7	3
9	в его	12	3
10	как только	1	2
11	но и	13	2
12	конце концов	6	2
13	было бы	4	2
14	в смысле	4	2
15	только в	9	2
16	по природе	1	2
17	далеко не	4	2
18	нужно было	1	2
19	в результате	7	2
20	тем более	1	2
21	том что	17	2
22	в частности	4	2
23	как будто	3	2
24	то что	18	2
25	главным образом	1	2
26	и что	6	2
27	еще не	3	2
28	только как	1	2
29	таким образом	13	2
30	это и	1	2
31	отношению к	2	2
32	в конце	8	2
33	что в	5	2
34	может быть	7	2
35	как бы	6	2
36	по отношению	2	2
37	по существу	2	2
38	то же	2	2
39	крайней мере	4	1
40	в свои	1	1
41	я и	1	1
42	право на	1	1
43	же не	4	1
44	нашей работы	1	1
45	по себе	2	1
46	даже в	1	1
47	сама по	1	1
48	поэтической формы	1	1
49	в этой	10	1
50	тому что	1	1
51	отнюдь не	4	1
52	даже не	1	1
53	результате его	1	1
54	с другой	6	1
55	его в	6	1
56	только для	2	1
57	с ним	3	1
58	это не	2	1
59	науки о	1	1
60	именно в	3	1
61	в чем	2	1
62	все же	9	1
63	один из	2	1
64	и есть	1	1
65	перед нами	1	1
66	в то	4	1
67	хотелось бы	1	1
68	мысли в	1	1
69	тем же	3	1
70	и наконец	1	1
71	еще и	4	1
72	случае только	1	1
73	а с	4	1
74	том как	1	1
75	тем что	2	1
76	в наше	1	1
77	и как	6	1
78	что он	7	1
79	прежде всего	6	1
80	слова но	1	1
81	в них	2	1
82	так и	7	1
83	не было	1	1
84	одной стороны	3	1
85	те же	1	1
86	но только	3	1
87	и не	12	1
88	из себя	1	1
89	никогда не	7	1
90	наше время	1	1
91	зависит от	1	1
92	не место	1	1
93	мы не	2	1
94	же время	1	1
95	ничего не	2	1
96	как то	1	1
97	между собою	1	1
98	и ценное	1	1
99	и о	5	1
100	все эти	2	1
101	чуть ли	1	1
102	именно на	2	1
103	как и	7	1
104	или нет	1	1
105	бы в	1	1
106	с помощью	2	1
107	в настоящее	3	1
108	мы должны	1	1
109	развитие по	1	1
110	в таких	2	1
111	их на	1	1
112	конечно не	2	1
113	в связи	7	1
114	в те	2	1
115	на первый	1	1
116	и его	6	1
117	связи с	7	1
118	хотя бы	2	1
119	не может	5	1
120	в своей	22	1
121	только тогда	3	1
122	и должно	1	1
123	не от	1	1
124	а в	6	1
125	него и	1	1
126	что она	1	1
127	о том	12	1
128	в области	2	1
129	и потому	1	1
130	же это	1	1
131	настоящее время	3	1
132	он ни	1	1
133	в него	1	1
134	мы думаем	1	1
135	в котором	2	1
136	никак не	8	1
137	точке зрения	2	1
138	из тех	2	1
139	представляется нам	1	1
140	литературе мы	1	1
141	время в	1	1
142	всяком случае	2	1
143	на точке	1	1
144	когда мы	1	1
145	в силу	5	1
146	мы понимаем	1	1
147	он говорит	2	1
148	должно было	1	1
149	не без	1	1
150	что это	1	1
151	вовсе не	8	1
152	ни были	1	1
153	ли не	2	1
154	голова его	1	1
155	с одной	3	1
156	в заключение	2	1
157	но не	7	1
158	у него	11	1
159	в виде	10	1
160	в данном	2	1
161	между тем	2	1
162	и по	1	1
163	по крайней	4	1
164	и никак	2	1
165	и более	2	1
166	в цельном	1	1
167	во всяком	2	1
168	перейти к	3	1
169	они не	2	1
