N	3gram	Tiupa_Narr_1	VelikijI
1	в первый раз	1	3
2	том что он	1	2
3	и над ними	1	2
4	которым можно было	2	2
5	в том что	8	2
6	но все же	4	1
7	никогда не было	1	1
8	как это случилось	1	1
9	есть прежде всего	1	1
10	и должна быть	1	1
11	бы то ни	3	1
12	свободного выбора в	1	1
13	но от этого	1	1
14	по крайней мере	1	1
15	не могли бы	1	1
16	в известном смысле	2	1
17	и не было	1	1
18	в мире и	1	1
19	с другой стороны	4	1
20	так и в	1	1
21	на том свете	2	1
22	что нет у	2	1
23	и в форме	2	1
24	как и в	1	1
