N	2gram	Propp_Morf_1	Narrotol
1	не только	4	26
2	а не	11	17
3	представляет собой	17	16
4	тогда как	2	15
5	но и	4	15
6	при этом	1	14
7	в том	6	14
8	в качестве	5	14
9	и не	12	14
10	в этом	14	13
11	и в	13	13
12	том что	4	13
13	состоит в	2	12
14	только в	2	11
15	в частности	2	11
16	может быть	52	10
17	в данном	1	10
18	так и	6	9
19	к тому	4	9
20	а в	7	9
21	в себе	1	8
22	то что	8	8
23	не в	3	8
24	не может	14	8
25	у него	1	6
26	в рамках	1	6
27	все же	7	6
28	и к	4	6
29	но в	2	6
30	ничего не	4	6
31	данном случае	1	6
32	можно сказать	2	6
33	а также	4	6
34	в его	1	6
35	вслед за	5	6
36	того что	3	6
37	со стороны	3	6
38	прежде всего	9	6
39	как бы	3	6
40	героя в	4	6
41	ответ на	1	5
42	отличие от	1	5
43	что он	4	5
44	как в	3	5
45	хотя и	3	5
46	тем не	5	5
47	он не	3	5
48	таким образом	21	5
49	и тем	2	5
50	далеко не	5	5
51	точки зрения	2	5
52	не столько	1	5
53	в то	3	5
54	на него	3	5
55	о том	2	5
56	в форме	6	5
57	с одной	1	5
58	по отношению	4	5
59	с другой	8	5
60	одной стороны	1	5
61	в той	1	5
62	отношению к	4	5
63	то же	7	4
64	в этой	2	4
65	о жизни	1	4
66	перед нами	10	4
67	что это	1	4
68	в силу	1	4
69	уже не	2	4
70	об этом	4	4
71	исходной ситуации	1	4
72	в своей	1	4
73	не менее	5	4
74	читателя в	1	4
75	если бы	2	4
76	в другом	2	4
77	в какой	3	4
78	для него	1	4
79	у нее	1	4
80	в рассказе	1	4
81	как и	3	4
82	как это	3	4
83	не является	3	4
84	и все	1	4
85	же в	2	4
86	и у	1	4
87	что в	8	4
88	самом деле	4	3
89	говорилось выше	1	3
90	мы имеем	9	3
91	с его	2	3
92	но не	4	3
93	что они	2	3
94	в целом	3	3
95	все эти	2	3
96	и его	1	3
97	и по	2	3
98	того или	1	3
99	в итоге	2	3
100	о герое	3	3
101	точку зрения	1	3
102	тому что	4	3
103	одна из	4	3
104	того чтобы	3	3
105	мальчик и	1	3
106	этом отношении	1	3
107	как по	1	3
108	и когда	1	3
109	действующих лиц	11	3
110	между собой	4	3
111	о котором	1	3
112	это не	6	3
113	к ней	1	3
114	один из	5	3
115	с ними	1	3
116	между тем	5	3
117	как раз	1	3
118	и даже	1	3
119	с этой	1	3
120	и для	2	3
121	сказать что	2	3
122	в таком	1	3
123	и т	41	2
124	он может	2	2
125	должна быть	1	2
126	по его	1	2
127	мы не	8	2
128	своих героев	1	2
129	ему в	1	2
130	еще не	3	2
131	он сам	1	2
132	в чем	1	2
133	на самом	4	2
134	же она	2	2
