N	3gram	Nazirov_Vr_1	Vvedenie
1	о том что	1	12
2	в том что	2	12
3	в этом смысле	1	8
4	тем не менее	1	8
5	не может быть	2	8
6	в то же	4	6
7	то же время	4	6
8	до сих пор	1	6
9	с другой стороны	1	5
10	и в этом	1	4
11	во всяком случае	1	4
12	в этом отношении	1	4
13	не только как	1	4
14	по крайней мере	1	4
15	заключается в том	1	3
16	но в то	2	3
17	в известном смысле	1	3
18	и в самом	1	3
19	что в нем	1	2
20	в конце концов	1	2
21	может быть и	1	2
22	всего то что	1	2
23	в связи с	3	2
24	точно так же	1	2
25	это сказалось в	1	2
26	с точки зрения	2	2
27	в соответствии с	1	2
28	в том же	1	1
29	связи с этим	1	1
30	так же как	1	1
31	быть и речи	1	1
32	и то что	1	1
33	одно и то	1	1
34	но и как	1	1
35	а между тем	1	1
36	и никогда не	1	1
37	что в ней	1	1
38	именно в связи	1	1
39	и то же	1	1
40	это не просто	1	1
41	как он сам	1	1
42	но в этом	1	1
43	все же в	1	1
44	может быть применено	1	1
45	в свою очередь	1	1
46	не было бы	1	1
47	и о которой	1	1
48	у него в	1	1
49	но в известном	1	1
50	имел в виду	3	1
51	уже в начале	1	1
52	важнее всего то	1	1
53	о котором уже	1	1
54	его отношение к	1	1
55	как раз в	2	1
56	целого ряда других	1	1
