N	2gram	Medvedev_U_1	DiskursI
1	в качестве	1	34
2	не только	10	28
3	в том	2	23
4	а не	10	22
5	то есть	1	20
6	том что	2	19
7	может быть	6	17
8	как и	3	16
9	и в	14	16
10	в этом	7	15
11	но и	4	14
12	но не	2	11
13	прежде всего	8	11
14	и не	8	11
15	далеко не	1	10
16	с другой	4	10
17	в нем	1	9
18	не может	7	9
19	с одной	1	9
20	одной стороны	1	9
21	в частности	3	9
22	отнюдь не	1	8
23	но в	3	8
24	о том	1	8
25	так и	1	8
26	не было	1	7
27	в себе	2	7
28	то же	5	7
29	не в	2	7
30	в его	2	7
31	только в	2	7
32	в своем	1	6
33	в котором	1	5
34	в их	4	5
35	в процессе	1	5
36	сводится к	2	5
37	можно сказать	1	5
38	в данном	1	5
39	по композиции	2	5
40	то что	7	5
41	в своей	3	5
42	в которых	1	4
43	с его	2	4
44	в сторону	2	4
45	уже не	1	4
46	претендует на	1	4
47	на его	1	4
48	не как	3	4
49	могут быть	2	4
50	для себя	1	4
51	жанра в	1	4
52	и т.д	3	4
53	же время	3	4
54	между тем	2	4
55	что он	2	4
56	для него	3	4
57	что в	1	4
58	и потому	1	3
59	имеет свою	1	3
60	во мне	1	3
61	в самом	2	3
62	это не	3	3
63	по себе	2	3
64	в то	3	3
65	таким образом	2	3
66	в произведении	1	3
67	и даже	1	3
68	что и	2	3
69	научного мышления	1	3
70	хотя бы	5	3
71	тем что	2	3
72	того что	1	3
73	все же	3	3
74	литературного произведения	1	3
75	сказать что	1	3
76	другой стороны	3	3
77	одним из	2	2
78	мы имеем	1	2
79	этого термина	2	2
80	в виду	1	2
81	в различных	1	2
82	за пределы	1	2
83	определяется не	1	2
84	литературного жанра	1	2
85	более или	1	2
86	не приходится	2	2
87	в этой	4	2
88	не следует	3	2
89	об этом	1	2
90	к области	2	2
91	иначе говоря	1	2
92	или менее	1	2
93	в г	1	2
94	о литературе	1	2
95	а.н веселовского	1	2
96	по крайней	2	2
97	что с	1	2
98	а о	2	2
99	крайней мере	2	2
100	же самое	2	2
101	не есть	2	2
102	данном случае	1	2
103	в пределах	1	2
104	приводит к	1	2
105	строго говоря	1	2
106	о нем	1	2
107	и что	1	2
108	в значительной	1	2
109	это было	2	2
110	большей или	1	2
111	литературы в	1	2
112	или даже	1	2
113	в современном	1	2
114	никогда не	1	2
115	бы это	1	2
116	и др	1	2
117	его как	1	2
118	о чем	2	2
119	более чем	2	2
120	что же	1	2
121	о котором	1	2
122	и все	1	2
123	или меньшей	1	2
124	это в	1	2
125	к этому	1	2
126	сам по	1	1
127	и то	3	1
128	самом деле	2	1
129	той же	1	1
130	смысле можно	1	1
131	мы и	2	1
132	меньшей степени	2	1
133	как таковая	1	1
134	ее к	1	1
135	не то	1	1
136	в противовес	2	1
137	конечном счете	4	1
138	нет и	1	1
139	независимо от	1	1
140	его на	1	1
141	в противном	2	1
142	всего лишь	1	1
143	в которой	1	1
144	бы и	2	1
145	он в	1	1
146	на то	1	1
147	этот процесс	1	1
148	что она	2	1
149	противном случае	2	1
150	он не	1	1
151	эстетики словесного	1	1
152	они в	1	1
153	всех этих	2	1
154	в первую	1	1
155	в понятии	1	1
156	или иных	2	1
157	говорить не	1	1
158	первую очередь	1	1
159	искусства в	1	1
160	этом смысле	2	1
161	с тем	1	1
162	со своими	1	1
163	и вне	1	1
164	мы не	2	1
165	как таковой	2	1
166	сводятся к	1	1
167	или точнее	3	1
168	что такое	4	1
169	художественного творчества	5	1
170	а как	2	1
171	не столько	2	1
172	искусства не	1	1
173	в россии	4	1
174	что было	1	1
175	и вся	1	1
176	до конца	1	1
177	литературы как	1	1
178	даже не	1	1
179	она сводится	1	1
180	не вполне	1	1
181	для всех	2	1
182	из материала	2	1
183	не все	2	1
184	впрочем в	1	1
185	и является	2	1
186	этом отношении	2	1
187	и делает	1	1
188	лирических стихотворений	1	1
189	эстетический объект	1	1
190	не могут	2	1
191	но также	1	1
192	объекта и	1	1
193	анализа в	1	1
194	отказаться от	1	1
195	т.е в	2	1
196	и это	1	1
197	не делает	1	1
198	но по	1	1
199	в буквальном	2	1
200	вообще по	1	1
201	авторской индивидуальности	1	1
202	если бы	2	1
203	в словах	1	1
204	истории литературы	3	1
205	быть в	1	1
206	героя не	1	1
207	нас в	2	1
208	в конечном	4	1
209	а его	2	1
210	вообще в	1	1
211	которых она	1	1
212	и действительно	1	1
213	которое мы	1	1
214	он уже	1	1
215	по мнению	1	1
216	от самых	1	1
217	только при	1	1
218	вопроса о	2	1
219	то и	1	1
220	в виде	1	1
221	в известном	1	1
222	его и	2	1
223	но для	1	1
224	очевидно что	3	1
225	в конце	2	1
226	очевидно не	2	1
227	жанра но	1	1
228	не о	3	1
229	может служить	1	1
230	мы можем	1	1
231	не случайно	2	1
232	как раз	2	1
233	не обладает	1	1
234	в исторической	1	1
235	в области	3	1
236	до сих	2	1
237	сюда же	1	1
238	и прежде	1	1
239	было бы	3	1
240	было и	1	1
241	заданность и	1	1
242	при более	1	1
243	этом случае	1	1
244	на слово	1	1
245	к лицу	1	1
246	исходить из	1	1
247	их специфической	1	1
248	словесного творчества	2	1
249	чем то	1	1
250	в той	1	1
251	стихотворений и	1	1
252	исторической поэтики	1	1
253	в эстетический	1	1
254	впрочем не	1	1
255	сих пор	2	1
256	тех или	2	1
257	это уже	2	1
258	при таком	2	1
259	не существует	1	1
260	тем более	1	1
261	в большей	1	1
262	но это	2	1
263	в системе	2	1
264	в период	1	1
265	в отдельности	1	1
266	в свое	1	1
267	на своем	1	1
268	в таком	1	1
