N	2gram	Tiupa_Lite_1	SlovoVZh
1	не может	5	16
2	может быть	13	14
3	точки зрения	6	14
4	как бы	7	13
5	и его	4	13
6	таким образом	3	12
7	и в	8	12
8	по отношению	3	11
9	в нашем	1	11
10	отношению к	2	11
11	и не	12	10
12	если бы	1	9
13	так как	1	9
14	прежде всего	11	8
15	художественного произведения	1	7
16	сказать что	1	7
17	для нас	1	7
18	в том	16	6
19	только в	8	6
20	при этом	19	6
21	в нем	2	6
22	должна быть	2	5
23	то же	5	5
24	в виду	3	5
25	можно сказать	1	5
26	отнюдь не	2	5
27	как в	5	5
28	но в	3	5
29	и др	3	5
30	в жизни	6	5
31	героя и	1	5
32	а не	16	5
33	как и	6	5
34	том что	14	5
35	к предмету	1	5
36	никогда не	4	5
37	хотя бы	2	5
38	то что	10	5
39	на самом	1	4
40	зависимости от	1	4
41	художественного события	1	4
42	к нему	1	4
43	за пределы	2	4
44	в литературе	1	4
45	в этом	12	4
46	все же	4	4
47	в самом	3	4
48	уже не	7	4
49	не только	24	4
50	ни было	1	4
51	отношение к	1	4
52	так и	4	4
53	материала и	1	4
54	с другой	3	4
55	что не	2	4
56	не в	8	4
57	его в	3	4
58	дело в	3	4
59	и является	2	4
60	жизни и	3	4
61	и на	1	4
62	самом деле	2	3
63	в котором	1	3
64	в пределах	3	3
65	еще не	4	3
66	мы не	1	3
67	о том	2	3
68	бы то	1	3
69	но и	17	3
70	между тем	2	3
71	нуждается в	3	3
72	того что	6	3
73	в художественном	4	3
74	имеет в	1	3
75	все эти	2	3
76	только на	2	3
77	в себе	7	3
78	в поэзии	1	3
79	да и	3	3
80	в творчестве	1	3
81	для него	2	3
82	не к	2	3
83	и по	1	3
84	то ни	1	3
85	и с	1	3
86	до сих	1	3
87	в некоторых	1	3
88	в них	1	3
89	и уже	1	3
90	в своей	4	3
91	художественного творчества	3	3
92	тем не	2	3
93	этой точки	3	3
94	как к	1	3
95	и более	1	3
96	из этого	1	3
97	произведения и	1	3
98	художественное произведение	2	3
99	сих пор	1	3
100	не менее	7	3
101	но для	1	3
102	с автором	1	3
103	это как	2	3
104	находит свое	1	3
105	или не	1	3
106	отношении к	1	3
107	в каком	1	3
108	и то	2	2
109	как это	8	2
110	в себя	2	2
111	едва ли	1	2
112	каком отношении	1	2
113	мы имеем	1	2
114	в словесном	1	2
115	в материале	1	2
116	мы в	2	2
117	почти исключительно	1	2
118	и здесь	1	2
119	искусства и	5	2
120	возможна только	1	2
121	не остается	2	2
122	с его	5	2
123	и что	1	2
124	произведение и	1	2
125	как форма	1	2
126	в чем	1	2
127	тем как	1	2
128	данном случае	4	2
129	в данном	5	2
130	в его	7	2
131	что и	1	2
132	относится к	2	2
133	в своем	11	2
134	в формах	4	2
135	как уже	1	2
136	в какой	1	2
137	бы не	3	2
138	с одной	2	2
139	уже в	5	2
140	тому же	2	2
141	эти и	1	2
142	в душе	3	2
143	он не	1	2
144	перестает быть	4	2
145	не так	1	2
146	в зависимости	1	2
147	мы можем	1	2
148	общей для	2	2
149	общения и	1	2
150	но все	1	2
151	любит и	1	2
152	в особенности	1	2
153	это не	4	2
154	может стать	1	2
155	мы никогда	1	2
156	себя и	1	2
157	более того	1	2
158	одной стороны	2	2
159	до конца	1	2
160	другой стороны	1	2
161	была бы	1	2
162	автора и	1	2
163	имеет место	1	2
164	в момент	1	2
165	о ком	1	2
166	нет ничего	2	2
167	ни на	1	2
168	вместе с	1	2
169	в отношении	1	2
170	но не	4	2
171	и подобные	1	2
172	общего с	2	2
173	с этой	5	2
174	она не	1	2
175	на один	2	2
176	с точки	2	2
177	в условиях	1	2
178	такой же	1	2
179	тогда когда	1	2
180	в то	5	2
181	на него	1	2
182	а к	1	2
183	и все	1	2
184	но зато	1	2
185	подобные им	1	2
186	все они	2	2
187	в этих	1	2
188	между ними	1	2
189	от всех	1	2
190	могут быть	2	2
191	и вполне	2	2
192	на это	2	2
193	что в	3	2
194	не есть	2	2
195	к этому	1	2
196	стороны к	1	1
197	ту же	2	1
198	например в	3	1
199	же как	1	1
200	как мы	1	1
201	и о	1	1
202	чтобы не	2	1
203	с жизнью	1	1
204	с ее	1	1
205	свою очередь	1	1
206	на основе	1	1
207	показать что	1	1
208	другой все	1	1
209	тем же	3	1
210	только то	2	1
211	в произведении	1	1
212	с самого	1	1
213	по преимуществу	4	1
214	не те	1	1
215	из его	2	1
216	проникает в	1	1
217	определяется в	1	1
218	становится лишь	1	1
219	художественное творчество	1	1
220	по аналогии	3	1
221	из двух	1	1
222	можно было	2	1
223	себе как	1	1
224	та же	2	1
225	три существенных	1	1
226	для этого	4	1
227	на себя	2	1
228	сводится к	3	1
229	ценности и	1	1
230	и он	1	1
231	к общему	2	1
232	но при	2	1
233	издательского дела	1	1
234	и который	1	1
235	столь же	4	1
236	аналогии с	3	1
237	в значительной	1	1
238	во всех	1	1
239	и во	1	1
240	в конечном	5	1
241	все в	1	1
242	автора на	1	1
243	то в	1	1
244	русской литературе	5	1
245	к которой	1	1
246	сознания не	1	1
247	конечном счете	4	1
248	в общем	1	1
249	искусства в	1	1
250	крайней мере	1	1
251	непосредственно в	1	1
252	что они	1	1
253	именно в	1	1
254	он или	1	1
255	природы это	1	1
256	в лучшем	1	1
257	в одной	1	1
258	и закрепленные	1	1
259	второй план	1	1
260	как например	1	1
261	предметы и	1	1
262	перед нами	1	1
263	автора героя	1	1
264	лишь отраженные	1	1
265	тот же	1	1
266	людьми лишь	1	1
267	и художественного	1	1
268	следующим образом	2	1
269	ты или	1	1
270	положение в	1	1
271	нашего времени	2	1
272	специфической социальной	1	1
273	не поддающегося	1	1
274	тому как	2	1
275	отношения между	2	1
276	однако остается	1	1
277	в целом	8	1
278	литературе и	1	1
279	если мы	1	1
280	себя в	6	1
281	это ни	1	1
282	что осталось	1	1
283	не можем	1	1
284	во многих	2	1
285	в большинстве	1	1
286	героя с	2	1
287	в виде	1	1
288	исходит из	3	1
289	в поэтике	1	1
290	и последовательное	1	1
291	сказано в	2	1
292	одно из	3	1
293	себе в	2	1
294	всяком случае	2	1
295	не как	4	1
296	события со	1	1
297	в одном	1	1
298	и вот	1	1
299	теории искусства	1	1
300	вовсе не	1	1
301	ни были	1	1
302	ничего общего	1	1
303	каковы бы	1	1
304	друг друга	4	1
305	у него	3	1
