N	3gram	Nazirov_Tv_2	VLabPisa
1	и т д	11	15
2	и т п	2	9
3	в письме к	1	9
4	с другой стороны	2	8
5	не может быть	3	8
6	по отношению к	3	7
7	то же время	7	5
8	в конечном счете	1	5
9	в то же	7	5
10	не могут быть	1	4
11	в связи с	1	4
12	в том что	2	4
13	от января года	1	3
14	о том как	1	3
15	и в то	2	3
16	это и есть	1	3
17	о том что	2	3
18	в одном из	2	3
19	в другом месте	1	2
20	в чем же	1	2
21	в том числе	1	2
22	до сих пор	3	2
23	только то что	1	2
24	можно было бы	1	2
25	и не может	2	2
26	по крайней мере	2	2
27	по словам м	1	2
28	одном из писем	1	2
29	всего произведения в	1	2
30	во всяком случае	2	2
31	в частности в	1	2
32	от апреля года	1	2
33	том числе и	1	2
34	мы знаем что	1	2
35	и в другом	1	2
36	то все же	1	1
37	том смысле что	1	1
38	на этот вопрос	2	1
39	нет и не	1	1
40	хотя и не	1	1
41	каждого из действующих	1	1
42	в которой он	1	1
43	и ту же	1	1
44	в творческом процессе	4	1
45	если можно так	1	1
46	в самом деле	2	1
47	в соответствии с	4	1
48	в классической литературе	1	1
49	если он не	1	1
50	в том же	2	1
51	же как и	1	1
52	именно в этом	2	1
53	в таком случае	2	1
54	самсонов в братьях	1	1
55	другом месте в	1	1
56	сами по себе	1	1
57	как видим у	1	1
58	в духе чистого	1	1
59	от декабря года	1	1
60	что в них	1	1
61	от октября года	1	1
62	купец самсонов в	1	1
63	со всех сторон	1	1
64	то или иное	1	1
65	тому что автор	1	1
66	в целом и	2	1
67	в применении к	1	1
68	по поводу отцов	1	1
69	все произведение с	1	1
70	но в то	1	1
71	поводу отцов и	1	1
72	характер этого воздействия	1	1
73	и в процессе	1	1
74	так же как	2	1
75	как будто бы	1	1
76	в году и	1	1
77	этапом творческого процесса	1	1
78	это одна из	1	1
79	все же не	2	1
80	и поэтому в	1	1
81	ответ на этот	1	1
82	в этом плане	1	1
83	отцов и детей	1	1
84	того или иного	1	1
85	января года и	1	1
86	в то время	1	1
87	со своими героями	1	1
88	в свою очередь	1	1
89	и никогда не	1	1
90	ничего общего с	1	1
91	не является общим	1	1
92	героев это не	1	1
93	идеи в их	1	1
94	той или иной	1	1
95	мы говорим о	1	1
96	запись от октября	1	1
97	можно так выразиться	1	1
98	братьев карамазовых он	1	1
99	в братьях карамазовых	6	1
100	в том смысле	1	1
101	одну и ту	1	1
102	может быть в	1	1
103	из действующих лиц	1	1
104	к тому же	1	1
105	не значит что	1	1
106	не только для	1	1
