N	3gram	Trubetskoy_1	FransuaR
1	в то же	2	6
2	то же время	2	6
3	с точки зрения	8	5
4	мы уже говорили	1	5
5	до сих пор	8	4
6	не может быть	3	4
7	с одной стороны	2	3
8	о том что	4	3
9	с другой стороны	4	3
10	только то что	2	2
11	в себе и	1	2
12	то что для	1	2
13	по сравнению с	5	2
14	во всяком случае	2	2
15	но все же	2	2
16	как мы видели	1	2
17	мы знаем что	7	1
18	еще далеко не	1	1
19	культуры и в	1	1
20	время от времени	2	1
21	дело в том	1	1
22	а затем и	1	1
23	по отношению к	9	1
24	мы уже сказали	1	1
25	в этом последнем	1	1
26	в настоящее время	2	1
27	не раньше чем	1	1
28	в том же	3	1
29	но и сам	1	1
30	оружием в руках	1	1
31	тех случаях когда	1	1
32	целом ряде других	1	1
33	и не может	1	1
34	то я не	1	1
35	при этом что	2	1
36	далеко не во	1	1
37	они вступают в	1	1
38	таким образом в	3	1
39	начало и конец	4	1
40	уже говорили что	1	1
41	и той же	1	1
42	не подлежит сомнению	3	1
43	и без того	4	1
44	для борьбы с	1	1
45	жизнь и все	1	1
46	подлежит сомнению что	3	1
47	таким образом и	1	1
48	в конце концов	4	1
49	в один из	1	1
50	и в целом	1	1
51	друг с другом	9	1
52	до некоторой степени	1	1
53	меньше чем в	1	1
54	мы говорили выше	5	1
55	с ним общее	1	1
56	что касается до	6	1
57	в целом ряде	3	1
58	мы видели что	1	1
59	именно в том	1	1
60	в тех случаях	1	1
61	а и в	7	1
62	на точку зрения	1	1
63	в этом случае	4	1
64	весь свой смысл	1	1
65	на самом деле	7	1
66	не только с	1	1
67	не только не	1	1
68	на то что	7	1
69	нами в начале	1	1
70	одной и той	1	1
71	мы сказали что	2	1
72	для того чтобы	7	1
73	в том что	15	1
74	и все это	1	1
75	как и в	2	1
76	то есть в	1	1
77	несмотря на эту	1	1
78	только тогда когда	1	1
79	том что только	1	1
80	гораздо меньше чем	1	1
