N	3gram	Propp_Russ_1	Analitik
1	о том что	4	6
2	в том что	15	6
3	в данном случае	1	5
4	состоит в том	8	4
5	по отношению к	1	4
6	и в этом	1	4
7	в этом случае	5	4
8	на себя внимание	1	3
9	подобно тому как	1	3
10	в этом отношении	1	3
11	обращает на себя	1	3
12	тем не менее	3	3
13	как и в	1	3
14	и он же	1	2
15	с точки зрения	3	2
16	в таком случае	1	2
17	можно было бы	1	2
18	тогда как в	1	2
19	не только в	1	2
20	в отличие от	1	2
21	на то что	1	2
22	рассказывает об этом	1	1
23	что иное как	2	1
24	можно сказать что	1	1
25	сказать что в	1	1
26	приводит к тому	1	1
27	в тех случаях	1	1
28	никак не может	1	1
29	одно из значений	1	1
30	виду что в	1	1
31	но и на	2	1
32	как это ни	1	1
33	во всех этих	1	1
34	на этот вопрос	1	1
35	в противном случае	1	1
36	значении этого слова	1	1
37	о том же	1	1
38	из них в	1	1
39	это имеет место	2	1
40	в свою очередь	2	1
41	одни и те	1	1
42	в связи с	4	1
43	в целом ряде	1	1
44	на две части	1	1
45	в своего рода	1	1
46	в этом ряду	1	1
47	ни одна из	1	1
48	не только на	2	1
49	не что иное	2	1
50	место в текстах	1	1
51	во второй половине	1	1
52	в этих случаях	1	1
53	и те же	1	1
54	тех случаях когда	1	1
55	к тому что	4	1
56	друг с другом	1	1
57	как это имеет	2	1
58	точно так же	1	1
59	не только для	1	1
