N	2gram	Medvedev_F_3	DiskursI
1	в качестве	1	34
2	не только	9	28
3	в том	7	23
4	а не	17	22
5	том что	4	19
6	может быть	25	17
7	как и	14	16
8	и в	27	16
9	в этом	18	15
10	еще не	6	14
11	но и	10	14
12	при этом	8	13
13	но не	5	11
14	прежде всего	4	11
15	и не	30	11
16	как в	4	10
17	с другой	6	10
18	по отношению	3	9
19	в нем	15	9
20	не может	24	9
21	с одной	1	9
22	одной стороны	1	9
23	в частности	1	9
24	отношению к	3	9
25	отнюдь не	8	8
26	но в	6	8
27	о том	4	8
28	так и	21	8
29	не было	1	7
30	в себе	3	7
31	то же	15	7
32	не в	12	7
33	в основе	3	7
34	роль в	4	7
35	со стороны	4	7
36	в его	7	7
37	только в	8	7
38	высказывания в	1	6
39	в своем	2	6
40	и как	4	6
41	ни к	1	6
42	и на	3	5
43	во всех	3	5
44	отличие от	2	5
45	в котором	2	5
46	в их	1	5
47	в отличие	2	5
48	в процессе	15	5
49	в себя	1	5
50	сводится к	5	5
51	в эпоху	3	5
52	или иной	2	5
53	можно сказать	3	5
54	в данном	6	5
55	как бы	8	5
56	к тому	4	5
57	а в	1	5
58	то что	8	5
59	в своей	6	5
60	и о	1	4
61	в которых	3	4
62	с его	2	4
63	в сторону	2	4
64	в истории	5	4
65	уже не	3	4
66	в целом	4	4
67	не как	2	4
68	лишь в	9	4
69	в них	3	4
70	потому что	7	4
71	могут быть	4	4
72	жанра в	2	4
73	же время	7	4
74	между тем	7	4
75	одной из	2	4
76	что он	6	4
77	для него	1	4
78	связи с	5	4
79	не является	5	4
80	что в	8	4
81	того же	3	3
82	и потому	5	3
83	в первом	1	3
84	жанров в	2	3
85	в каждой	1	3
86	столь же	3	3
87	той или	1	3
88	в одной	5	3
89	с этим	1	3
90	в самом	11	3
91	из жизни	1	3
92	вследствие этого	3	3
93	зрения на	1	3
94	это не	3	3
95	и того	1	3
96	точки зрения	16	3
97	самого рассказывания	1	3
98	в своих	6	3
99	однако в	2	3
100	жанр и	2	3
101	бы быть	2	3
102	по себе	4	3
103	в то	7	3
104	принадлежат к	2	3
105	таким образом	18	3
106	они и	3	3
107	как не	2	3
108	но при	2	3
109	в ее	4	3
110	в произведении	3	3
111	не с	1	3
112	еще в	3	3
113	и даже	2	3
114	или на	2	3
115	значении термина	1	3
116	что и	2	3
117	существенную роль	1	3
118	не сводится	1	3
119	хотя бы	6	3
120	в жанре	1	3
121	в данной	2	3
122	из них	2	3
123	автор и	2	3
124	тем что	5	3
125	именно в	1	3
126	имеет место	3	3
127	и составляет	1	3
128	понятие о	1	3
129	мира в	1	3
130	целого высказывания	3	3
131	неотделимо от	2	3
132	тому как	5	3
133	того что	3	3
134	один из	1	3
135	все же	6	3
136	литературного произведения	4	3
137	сказать что	3	3
138	другой стороны	5	3
139	в действительности	9	3
140	это понятие	2	3
141	отношения к	2	2
142	одним из	3	2
143	языка с	1	2
144	к данному	1	2
145	к сыну	1	2
146	определить как	1	2
147	к другому	2	2
148	мы имеем	1	2
149	в сущности	2	2
150	совпадает с	2	2
151	ему в	1	2
152	этого термина	1	2
153	в виду	3	2
154	первого и	1	2
155	общения в	1	2
156	между собой	4	2
157	события в	1	2
158	служит для	1	2
159	рассказываемое событие	1	2
160	и второго	1	2
161	высказывания с	1	2
162	за пределы	2	2
163	себя в	1	2
164	определяется не	1	2
165	стороны и	2	2
166	хотя и	1	2
167	сознания в	1	2
168	жанра и	3	2
169	в этой	2	2
170	эпохи и	1	2
171	высказывания не	1	2
172	всей его	1	2
173	так сказать	5	2
174	к искусству	1	2
175	не следует	3	2
176	становления и	2	2
177	в принципе	1	2
178	подобно тому	4	2
179	и по	1	2
180	на этом	2	2
181	так например	1	2
182	человека в	2	2
183	исходя из	1	2
184	в каждом	5	2
185	об этом	1	2
186	того или	1	2
187	формы целого	1	2
188	и тем	3	2
189	на сцене	1	2
190	цель всех	1	2
191	одного и	1	2
192	о литературе	1	2
193	не от	2	2
194	направлен на	1	2
195	возможно только	2	2
196	то с	1	2
197	по мере	1	2
198	не менее	7	2
199	дело не	2	2
200	внутренней речи	2	2
201	не могло	2	2
202	а о	1	2
203	х годов	1	2
204	и его	19	2
205	жанры в	1	2
206	и литературой	1	2
207	однако это	1	2
208	в момент	1	2
209	отличается от	2	2
210	же самое	3	2
211	числе и	1	2
212	значительной степени	1	2
213	не есть	4	2
214	оно не	3	2
215	как мы	8	2
216	с ее	2	2
217	данном случае	4	2
218	языка и	1	2
219	в пределах	8	2
220	же касается	1	2
221	строго говоря	1	2
222	и вообще	1	2
223	но отнюдь	1	2
224	в построении	1	2
225	о нем	3	2
226	во всяком	6	2
227	и что	3	2
228	одного из	1	2
229	в значительной	1	2
230	на протяжении	2	2
231	и во	2	2
232	в форме	1	2
233	в литературе	6	2
234	типическая форма	1	2
235	дело с	3	2
236	в какой	3	2
237	в литературу	5	2
238	и ее	6	2
239	в литературоведении	1	2
240	тот или	1	2
241	есть в	1	2
242	литературы в	1	2
243	уже в	4	2
244	или даже	1	2
245	и понимание	5	2
246	слова в	1	2
247	как их	2	2
248	в одном	1	2
249	сами по	2	2
250	как его	9	2
251	общения и	2	2
252	никогда не	5	2
253	для художественного	2	2
254	из двух	1	2
255	на ее	4	2
256	здесь в	1	2
257	к которому	2	2
258	и др	2	2
259	героя и	2	2
260	более того	6	2
261	событие самого	1	2
262	зависит от	1	2
263	одну из	2	2
264	о чем	1	2
265	произведение в	4	2
266	к его	3	2
267	одновременно с	1	2
268	что же	5	2
269	для понимания	1	2
270	жизни в	3	2
271	смысл в	1	2
272	жанр с	1	2
273	высказывания и	5	2
274	в начале	1	2
275	за его	1	2
276	известной степени	2	2
277	частности в	1	2
278	о котором	1	2
279	и все	8	2
280	может и	3	2
281	героя в	3	2
282	это в	1	2
283	они не	4	2
284	к этому	2	2
285	том числе	1	2
286	как известно	1	1
287	слова является	1	1
288	нем нет	1	1
289	можно говорить	4	1
290	для построения	1	1
291	таком случае	1	1
292	чтобы не	2	1
293	сам по	1	1
294	и то	1	1
295	самом деле	16	1
296	на самом	14	1
297	теории жанров	1	1
298	переход от	1	1
299	это и	2	1
300	этом рассуждении	1	1
301	от своей	1	1
302	жанровая концепция	1	1
303	конструктивного целого	1	1
304	взаимодействия людей	1	1
305	и до	1	1
306	видеть в	1	1
