N	2gram	Ircho_Kome_1	Mirosoze
1	может быть	9	30
2	не только	10	29
3	не может	2	28
4	и в	22	28
5	но и	11	25
6	он не	3	24
7	в этом	3	20
8	у него	3	17
9	не в	6	16
10	потому что	5	16
11	в ней	1	15
12	он был	2	14
13	до конца	2	14
14	в нем	4	13
15	человека в	1	13
16	и он	1	12
17	и это	1	12
18	и не	8	11
19	в самом	2	11
20	прежде всего	5	10
21	и все	3	10
22	что в	6	10
23	и потому	1	10
24	в мире	1	10
25	что он	6	10
26	было бы	2	10
27	в своем	1	10
28	но он	2	9
29	с тем	1	9
30	в его	5	9
31	и его	8	9
32	к человеку	1	9
33	но не	2	8
34	из самых	1	8
35	в котором	4	8
36	в себе	2	7
37	к нему	2	7
38	в конце	6	7
39	того что	1	7
40	но в	4	7
41	в которой	6	6
42	вместе с	2	6
43	в том	11	6
44	только в	3	6
45	в этой	7	6
46	и на	3	6
47	все это	5	6
48	как и	9	5
49	в самую	1	5
50	у нас	3	5
51	мира и	1	5
52	не могут	1	5
53	то что	2	5
54	в судьбе	1	5
55	человек есть	1	4
56	не знает	1	4
57	всю жизнь	1	4
58	нет в	1	4
59	не к	2	4
60	до самой	1	4
61	точки зрения	4	4
62	к концу	1	4
63	от него	1	4
64	в их	4	4
65	чем его	1	4
66	а в	6	4
67	с этой	1	4
68	в середине	1	4
69	в этих	1	4
70	за пределы	2	4
71	мог бы	2	4
72	к ней	2	4
73	один из	5	4
74	человеческой личности	1	4
75	или к	1	4
76	в них	3	4
77	тем что	4	4
78	что и	4	4
79	уже в	5	4
80	в которых	1	4
81	должен был	1	4
82	отношение к	3	4
83	и по	6	4
84	доступ к	1	3
85	и с	3	3
86	и вот	4	3
87	в братьях	1	3
88	для них	2	3
89	в жизни	1	3
90	хотя бы	1	3
91	то есть	1	3
92	не так	1	3
93	его в	3	3
94	не мог	3	3
95	все его	1	3
96	мир в	1	3
97	особенно в	1	3
98	к тому	6	3
99	но если	1	3
100	на том	1	3
101	ко всем	1	3
102	с этим	1	3
103	людьми и	1	3
104	и еще	3	3
105	ничего не	3	3
106	идей и	1	3
107	не была	1	3
108	на этом	2	3
109	будто бы	2	3
110	когда он	1	3
111	с собой	1	3
112	себя в	1	3
113	так как	4	3
114	природы в	1	3
115	том что	12	3
116	по своей	2	2
117	одним из	1	2
118	любовь к	1	2
119	это особенно	1	2
120	все же	3	2
121	отношении к	1	2
122	бы в	1	2
123	вопрос о	3	2
124	конце концов	4	2
125	вокруг которого	1	2
126	его как	1	2
127	жизни и	1	2
128	его с	1	2
129	людей и	1	2
130	в более	3	2
131	и для	1	2
132	никто не	1	2
133	нет никаких	1	2
134	к этим	3	2
135	отношению к	3	2
136	в этот	1	2
137	время как	4	2
138	на этот	1	2
139	был очень	1	2
140	очень существенное	1	2
141	всего в	3	2
142	т е	13	2
143	сих пор	2	2
144	с ним	1	2
145	и во	2	2
146	бы не	1	2
147	до сих	2	2
148	того чтобы	1	2
149	в истории	5	2
150	и те	1	2
151	творческого пути	1	2
152	эти слова	1	2
153	на протяжении	4	2
154	в начале	3	2
155	который был	1	2
156	только один	2	2
157	и сама	1	2
158	приводит к	1	2
159	есть что-то	1	2
160	в той	1	2
161	высшей степени	1	2
162	и мир	2	2
163	тем он	1	2
164	по отношению	3	2
165	не остается	1	2
166	а как	1	2
167	в пути	1	2
168	как в	5	2
169	которую он	2	2
170	достигает вершины	1	2
171	сам не	1	2
172	за собой	1	2
173	в высшей	1	2
174	в то	10	2
175	как он	1	2
176	не все	1	2
177	к этой	1	2
178	для того	1	2
179	сказать что	1	2
180	даже и	1	2
181	о чем	1	2
182	его творчества	3	2
183	по своему	3	2
184	с ней	1	2
185	человек может	1	2
186	человека к	1	2
187	он в	1	2
188	могут быть	3	2
189	его творчество	2	2
190	чтобы не	1	2
191	место в	3	2
192	и что	1	2
193	или от	1	2
194	также и	1	2
195	и когда	1	2
196	и она	1	2
197	начало в	1	2
198	и к	1	2
199	было достаточно	1	2
200	о том	8	2
201	то время	5	2
202	в каком	1	2
203	и у	3	2
