N	2gram	Vygotskiy__2	PoTuStor
1	может быть	9	17
2	и в	15	16
3	в этом	19	9
4	таким образом	14	9
5	и только	3	9
6	мы можем	10	9
7	прежде всего	4	9
8	и с	4	8
9	точки зрения	26	8
10	и его	4	8
11	не может	9	8
12	с его	4	7
13	не только	15	7
14	сказать что	6	7
15	я и	1	6
16	самом деле	6	6
17	конечно не	1	6
18	при этом	3	6
19	с точки	18	6
20	и это	3	6
21	для него	3	6
22	и к	6	6
23	в чем	1	5
24	все эти	3	5
25	что такое	1	5
26	только для	3	5
27	ни в	2	5
28	ту сторону	2	5
29	как бы	7	5
30	на самом	3	4
31	и ее	3	4
32	и на	1	4
33	отнюдь не	2	4
34	и наконец	1	4
35	но в	6	4
36	в этой	6	4
37	в нем	1	4
38	и может	1	4
39	его в	1	4
40	жизни человека	2	4
41	в один	2	4
42	мысли и	1	4
43	все это	4	4
44	по ту	2	4
45	самого начала	1	4
46	как мы	6	4
47	с ее	2	4
48	с самого	1	4
49	так и	8	4
50	но мы	3	4
51	и желаний	1	4
52	можно сказать	2	4
53	в его	2	4
54	а потому	1	4
55	только в	4	4
56	для всех	4	4
57	и их	5	4
58	так как	4	4
59	и даже	5	4
60	но и	10	4
61	и не	7	4
62	и все	3	4
63	хотя бы	4	4
64	все что	5	4
65	тех же	1	3
66	едва ли	7	3
67	и значение	1	3
68	во всех	2	3
69	в общем	3	3
70	и есть	2	3
71	и как	2	3
72	учение о	1	3
73	с их	2	3
74	и теперь	2	3
75	мы полагаем	1	3
76	и вот	1	3
77	их в	4	3
78	на этом	1	3
79	на этой	2	3
80	этом смысле	2	3
81	том что	27	3
82	во время	3	3
83	сих пор	1	3
84	в одном	2	3
85	и притом	1	3
86	в основе	3	3
87	до сих	1	3
88	к себе	2	3
89	у фрейда	1	3
90	те же	3	3
91	мира и	2	3
92	по сравнению	5	3
93	на язык	2	3
94	в конечном	4	3
95	с другими	3	3
96	в том	33	3
97	только на	1	3
98	мы знаем	7	3
99	всяком случае	6	3
100	полагаем что	1	3
101	в области	1	3
