N	3gram	Medvedev_U_1	VrazhdaK
1	то же время	3	4
2	в то же	3	4
3	но в то	1	2
4	не может быть	4	2
5	в том что	2	2
6	а между тем	2	1
7	равно как и	1	1
8	в этом смысле	2	1
9	на первый план	1	1
10	до сих пор	2	1
11	в той же	1	1
12	не было бы	1	1
13	в этом отношении	2	1
14	но это не	1	1
15	в известном письме	1	1
16	по крайней мере	2	1
17	и то что	2	1
18	и в то	1	1
19	тем что он	1	1
20	на первый взгляд	1	1
21	в конце концов	2	1
22	по нашему мнению	3	1
23	или по крайней	1	1
24	все же не	1	1
25	с другой стороны	3	1
26	еще один пример	1	1
27	на то что	1	1
