N	3gram	Bakhtin_Fr_4	DiskursI
1	в том что	1	13
2	с одной стороны	2	9
3	о том что	2	5
4	по природе своей	1	5
5	то же время	8	4
6	к тому же	1	4
7	в отличие от	1	4
8	в то же	8	3
9	с другой стороны	3	3
10	и как бы	1	3
11	а с другой	1	3
12	в свою очередь	1	3
13	не может быть	1	3
14	подобно тому как	3	2
15	можно сказать что	1	2
16	то есть в	2	2
17	то же самое	1	2
18	и того же	1	2
19	более или менее	3	2
20	не только в	2	2
21	одного и того	1	2
22	в том числе	3	2
23	но в качестве	1	2
24	том числе и	2	2
25	одной стороны и	1	2
26	в одной из	1	2
27	в данном случае	1	2
28	в соответствии с	1	2
29	в этом же	1	1
30	к этому времени	1	1
31	это и есть	3	1
32	с самого начала	3	1
33	в том случае	1	1
34	в большинстве случаев	5	1
35	в связи с	1	1
36	прежде всего к	1	1
37	что каждый из	1	1
38	именно в этой	1	1
39	до известной степени	1	1
40	до сих пор	1	1
41	тех или иных	1	1
42	и в то	4	1
43	тем что он	1	1
44	его таким образом	1	1
45	же время они	1	1
46	из них в	1	1
47	поэтому они не	1	1
48	точки зрения на	1	1
49	и не может	1	1
50	наших дней в	1	1
51	и то же	1	1
52	так и в	1	1
53	и на его	1	1
54	на самом деле	1	1
55	том случае если	1	1
56	лицом к лицу	1	1
57	нет и не	1	1
58	и все прочие	1	1
59	представлений о мире	1	1
60	и т.п и	1	1
61	в этом отношении	1	1
62	в конечном счете	1	1
63	до наших дней	2	1
64	в полной мере	1	1
65	существенно связаны с	1	1
66	так и от	1	1
67	как мы видели	2	1
68	в последующие века	1	1
69	в нем нет	1	1
70	далеко не все	1	1
71	при этом он	1	1
72	и вообще в	1	1
73	с точки зрения	2	1
74	они и не	1	1
75	дело в том	1	1
76	для правильного понимания	2	1
77	одно и то	1	1
78	как и все	5	1
79	может быть ни	1	1
