N	2gram	Savitsky_E_1	Analitik
1	тогда как	1	19
2	в этом	12	18
3	и в	37	16
4	в частности	5	16
5	не только	18	16
6	так и	10	15
7	как и	7	14
8	и не	14	12
9	в том	11	12
10	но и	14	12
11	том что	6	12
12	в качестве	14	11
13	иначе говоря	2	11
14	при этом	1	10
15	могут быть	2	10
16	а не	2	10
17	как бы	6	10
18	и даже	6	9
19	то есть	6	9
20	лишь в	1	9
21	в этой	2	9
22	на уровне	2	9
23	в пределах	25	9
24	всего лишь	3	8
25	представляет собой	3	8
26	отнюдь не	9	8
27	состоит в	1	8
28	в данном	3	8
29	в себе	9	7
30	в сочетании	1	7
31	то что	6	7
32	к тому	8	7
33	о том	3	7
34	а также	7	7
35	говорить о	1	6
36	как это	4	6
37	в мире	2	6
38	в самом	4	6
39	и на	6	6
40	но в	14	6
41	может быть	6	6
42	с другой	7	6
43	данном случае	2	5
44	говорит о	3	5
45	и к	3	5
46	с одной	8	5
47	в сторону	2	5
48	на себя	3	5
49	но не	5	4
50	можно сказать	4	4
51	того же	3	4
52	не может	9	4
53	не менее	1	4
54	точки зрения	23	4
55	в сознании	1	4
56	в аспекте	1	4
57	не в	5	4
58	тем самым	5	4
59	во всех	6	4
60	для него	1	4
61	то же	15	4
62	за пределы	1	4
63	по отношению	1	4
64	и его	1	4
65	во второй	3	4
66	тому же	1	4
67	имеет место	2	4
68	хотя и	2	4
69	только в	9	4
70	уже не	1	4
71	и тем	3	4
72	по преимуществу	2	4
73	он в	1	4
74	на этом	1	4
75	времени в	1	4
76	столь же	5	4
77	одной стороны	8	4
78	как в	3	4
79	в своем	14	4
80	борьбы с	1	3
81	со своим	1	3
82	как мы	5	3
83	на его	1	3
84	на себе	1	3
85	бы в	2	3
86	место в	3	3
87	или в	2	3
88	прежде всего	9	3
89	являет собой	1	3
90	и все	2	3
91	есть в	2	3
92	в центре	1	3
93	в их	11	3
94	казалось бы	1	3
95	а в	2	3
96	в нашем	1	3
97	в эту	2	3
98	сводится к	1	3
99	одной из	5	3
100	той или	4	3
101	и сам	1	3
102	что на	2	3
103	как будто	2	3
104	никогда не	3	3
105	тем что	3	3
106	со стороны	5	3
107	если бы	2	3
108	этого слова	1	3
109	именно в	4	3
110	того или	4	3
111	этом отношении	3	3
112	что и	3	3
113	и если	2	3
114	в результате	3	3
115	несмотря на	4	3
116	или иного	4	3
117	в рамках	1	3
118	и то	2	3
119	было бы	8	3
120	одного из	1	3
121	или иной	4	3
122	из них	3	3
123	можно было	3	3
124	с ними	1	3
125	по природе	1	2
126	что все	2	2
127	для всех	1	2
128	в значительной	2	2
129	в обоих	1	2
130	в столь	1	2
131	на то	6	2
132	в двух	1	2
133	так же	9	2
134	и для	3	2
135	перед лицом	1	2
136	на этот	2	2
137	и их	1	2
138	речь идет	1	2
139	вовсе не	6	2
140	таким образом	2	2
141	вслед за	6	2
142	т е	9	2
143	с ним	1	2
144	на большей	1	2
145	и во	2	2
146	даже в	4	2
147	в своей	8	2
148	в случае	2	2
149	по себе	4	2
150	и наоборот	1	2
151	ли не	1	2
152	в одном	2	2
153	реальности в	1	2
154	те же	1	2
155	же время	14	2
156	связывается с	1	2
157	с той	1	2
158	вместе с	2	2
159	что в	21	2
160	этом смысле	3	2
161	того что	7	2
162	в таком	3	2
163	или иных	1	2
164	а затем	1	2
165	между тем	8	2
166	еще более	2	2
167	значительной степени	1	2
168	в его	2	2
169	тех или	1	2
170	в этих	2	2
171	вообще не	3	2
172	соответствии с	1	2
173	с точки	17	2
174	не имеет	4	2
175	нас к	2	2
176	с ее	1	2
177	отличие от	1	2
178	оговориться что	1	2
179	в то	16	2
180	для нее	1	2
181	частности в	2	2
182	и другими	1	2
183	придет к	1	2
184	не придет	1	2
185	один из	1	2
186	на основе	2	2
187	при таком	1	2
188	в состоянии	1	2
189	той же	1	2
190	не о	1	2
191	с их	1	2
192	другой стороны	2	2
193	себе не	3	2
194	внимание на	1	2
195	в котором	2	2
196	следует оговориться	1	2
197	этих случаях	1	2
198	в отличие	1	2
199	она не	2	2
200	он не	2	2
201	в общем	3	2
202	одно из	1	2
203	еще в	1	2
204	или точнее	2	2
205	в рассуждении	2	2
206	ведь и	2	2
207	всего в	2	2
208	и до	1	2
209	сказать что	4	2
210	жизнью и	1	2
211	что с	1	2
212	уже и	3	2
213	особого рода	1	2
214	в соответствии	1	2
215	жизни но	1	2
216	все что	1	2
217	не есть	2	2
218	лишь на	1	1
219	все эти	1	1
220	не случайна	1	1
221	не означает	2	1
222	может не	1	1
223	не допускает	1	1
224	тому или	2	1
225	почти все	1	1
226	в полном	1	1
227	этот раз	1	1
228	на несколько	1	1
229	и далее	1	1
230	то его	1	1
231	для нас	4	1
232	как кажется	1	1
233	чтобы в	1	1
234	в мировом	1	1
235	в свое	1	1
236	и наконец	2	1
237	от природы	1	1
238	мире в	1	1
239	входит в	1	1
240	тех же	1	1
241	то можно	1	1
242	на всем	4	1
243	исходит из	1	1
244	за исключением	1	1
245	именно к	2	1
246	это случается	1	1
247	с равным	1	1
248	в разных	1	1
249	ко всему	2	1
250	даже не	1	1
251	для себя	1	1
252	же в	2	1
253	нельзя сказать	1	1
254	или иному	2	1
255	всех этих	1	1
256	к мировому	5	1
257	не к	2	1
258	для всего	1	1
259	и ее	1	1
260	в жизни	1	1
261	например с	2	1
262	следует понимать	1	1
263	в связи	1	1
264	общего плана	1	1
265	есть не	2	1
266	другой и	2	1
267	своем значении	1	1
268	понимать как	1	1
269	зависит от	1	1
270	и тот	1	1
271	известном смысле	3	1
272	к которым	5	1
273	случаях когда	2	1
274	другой в	1	1
275	с ней	1	1
276	отрекается от	1	1
277	смысле что	1	1
278	каждого из	1	1
279	в какой	2	1
280	в нем	1	1
281	социальной группы	1	1
282	существенное значение	1	1
283	независимо от	4	1
284	это в	1	1
285	хотя бы	15	1
286	в тех	1	1
287	в мировой	1	1
288	второй половине	2	1
289	они относятся	1	1
290	то и	1	1
291	друг с	3	1
292	относятся к	2	1
293	при условии	2	1
294	при рассмотрении	1	1
295	и те	1	1
296	и наиболее	2	1
297	видим как	2	1
298	об этом	1	1
299	бы и	3	1
300	как его	1	1
301	более того	1	1
302	тем как	1	1
303	случится а	1	1
304	именно та	1	1
305	стороны и	6	1
306	с а	2	1
307	его к	1	1
308	и другое	1	1
309	учитывая то	1	1
310	по своей	2	1
311	но когда	1	1
312	этот вопрос	2	1
313	строя в	1	1
314	что же	2	1
315	а тем	2	1
316	в ее	8	1
317	от остального	1	1
318	один и	1	1
319	с этой	6	1
320	вплоть до	1	1
321	с другом	3	1
322	к какой	1	1
323	внимание что	1	1
324	потому что	3	1
325	отказаться от	1	1
326	различия в	3	1
327	дело с	1	1
328	в начале	1	1
329	играть в	1	1
330	поскольку в	1	1
331	к действительному	1	1
332	указанных выше	1	1
333	и т	1	1
334	в ином	1	1
335	и более	2	1
336	с теми	1	1
337	что даже	1	1
338	но если	5	1
339	только к	2	1
340	и сами	1	1
341	этого мира	1	1
342	которые при	1	1
343	должны быть	1	1
344	в глубине	1	1
345	и имеет	2	1
346	нам представляется	1	1
347	к этой	1	1
348	культуре и	1	1
349	полной мере	1	1
350	звучит как	1	1
351	имеет в	2	1
352	но скорее	1	1
353	где в	1	1
354	на вопрос	1	1
355	быть в	1	1
356	что автор	1	1
357	для возникновения	1	1
358	всегда и	1	1
359	в совершенно	1	1
360	противном случае	1	1
361	ко всем	1	1
362	наше внимание	2	1
363	ее в	3	1
364	тогда когда	2	1
365	имеется в	1	1
366	у нас	1	1
367	только одно	2	1
368	не увидит	1	1
369	что его	1	1
370	бы дать	1	1
371	всех прочих	2	1
372	лицо и	1	1
373	и небольшой	1	1
374	тот же	1	1
375	имело бы	1	1
376	именно с	1	1
377	себе ничего	1	1
378	мы должны	2	1
379	в применении	3	1
380	в отношении	32	1
381	в силу	2	1
382	свою очередь	2	1
383	в противном	1	1
384	с собой	1	1
385	и о	1	1
386	но на	3	1
387	более высокой	1	1
388	не исключает	1	1
389	во все	3	1
390	несколько ниже	1	1
391	и потому	5	1
392	к ним	3	1
393	какие могут	1	1
394	и максима	1	1
395	представить себе	1	1
396	его можно	1	1
397	отношении к	15	1
398	только и	1	1
399	очевидно что	3	1
400	который не	1	1
401	воспринимается как	1	1
402	сознанию что	1	1
403	более или	1	1
404	констатировать что	2	1
405	между прочим	7	1
406	имеет никаких	1	1
407	в них	3	1
408	может остаться	1	1
409	одна из	1	1
410	и всей	1	1
411	с более	3	1
412	но даже	4	1
413	как более	1	1
414	они могут	1	1
415	том же	1	1
416	значение в	1	1
417	в такой	1	1
418	когда он	3	1
419	тому что	1	1
420	обладает и	1	1
421	том смысле	1	1
422	силы в	2	1
423	составных частей	1	1
424	слова и	1	1
425	такой же	2	1
426	в полной	4	1
427	мы видим	2	1
428	и будет	1	1
429	от себя	1	1
430	и что	2	1
431	как известно	1	1
432	и неизбежно	1	1
433	однако не	1	1
434	принадлежит не	1	1
435	также и	7	1
436	бы с	1	1
437	поэтому в	1	1
438	тех случаях	1	1
439	она обращена	1	1
440	является весьма	1	1
441	далеко не	2	1
442	из того	2	1
443	обратиться к	1	1
444	не как	1	1
445	ли он	1	1
446	в которую	1	1
447	тем более	4	1
448	в известном	3	1
449	к нему	2	1
450	есть то	1	1
451	если не	1	1
452	от них	3	1
453	на такую	1	1
454	известной степени	3	1
455	с его	1	1
456	которые в	1	1
457	что тот	1	1
458	случае она	1	1
459	начиная с	2	1
460	прочим и	2	1
461	связи с	1	1
462	одних и	1	1
463	общем строе	3	1
464	или менее	1	1
465	который в	1	1
466	будучи в	1	1
467	что может	1	1
468	или иначе	1	1
469	этой точки	5	1
470	настоящего времени	1	1
471	идет о	3	1
472	то она	1	1
473	заключается в	2	1
474	в принципе	1	1
475	не является	3	1
476	долгое время	2	1
477	в последних	1	1
478	уже в	1	1
479	мира в	4	1
480	так как	7	1
481	что при	1	1
482	получает в	1	1
483	все остальные	1	1
484	и как	2	1
485	ближе к	1	1
486	и по	5	1
487	мира не	2	1
488	и несколько	1	1
489	бы от	2	1
490	применении к	3	1
491	но это	1	1
492	как на	3	1
493	на примере	1	1
494	и всего	1	1
495	в свою	3	1
