N	2gram	Savitsky_P_1	Vvedenie
1	и т	3	42
2	т д	1	36
3	т е	3	35
4	и в	14	32
5	в том	9	31
6	в этом	10	30
7	том что	4	26
8	может быть	5	26
9	не только	17	22
10	для того	3	21
11	того чтобы	1	20
12	также и	1	18
13	то что	4	16
14	потому что	3	15
15	не может	4	14
16	но также	4	14
17	в самом	1	13
18	в нем	3	13
19	со стороны	2	13
20	в общем	2	12
21	представляет собой	1	12
22	в его	2	12
23	того что	2	12
24	только в	7	12
25	xix в	1	12
26	и не	12	12
27	как на	2	12
28	в ее	2	11
29	и именно	1	11
30	ясно что	1	11
31	в данном	1	11
32	что в	4	10
33	то же	9	9
34	в истории	1	9
35	и как	3	9
36	но в	9	9
37	по себе	4	9
38	между тем	3	9
39	этом смысле	1	9
40	это не	3	8
41	не в	5	8
42	не менее	2	8
43	с другой	5	8
44	именно в	2	8
45	вопрос о	1	7
46	но не	3	7
47	все же	1	7
48	было бы	6	7
49	точки зрения	3	7
50	в применении	1	7
51	прежде всего	3	7
52	о котором	1	7
53	только как	1	7
54	и это	2	6
55	из этих	1	6
56	его в	1	6
57	с тем	3	6
58	как и	1	6
59	представить себе	1	6
60	в то	7	6
61	в качестве	9	6
62	же время	7	6
63	но и	6	6
64	применении к	1	6
65	все это	2	6
66	хотя бы	8	6
67	и тем	2	5
68	в них	2	5
69	в которых	5	5
70	могут быть	3	5
71	уже в	1	5
72	не есть	1	5
73	представляют собой	1	5
74	что не	1	5
75	а не	2	5
76	она есть	3	5
77	как бы	4	5
78	в г	1	5
79	другой стороны	1	5
80	есть и	1	5
81	в какой	1	5
82	вместе с	1	5
83	связана с	1	4
84	и то	1	4
85	в и	1	4
86	науки и	1	4
87	не просто	1	4
88	в себе	3	4
89	в котором	4	4
90	по сравнению	2	4
91	не имеет	1	4
92	в каждом	1	4
93	и что	1	4
94	как она	1	4
95	еще не	1	4
96	и ее	1	4
97	с одной	3	4
98	в виде	2	4
99	одно из	1	4
100	всяком случае	1	4
101	само по	1	4
102	как раз	2	4
103	одной стороны	3	4
104	сравнению с	1	4
105	только что	1	4
106	а в	4	4
107	взгляда на	2	4
108	во всяком	1	4
109	которых не	1	3
110	и есть	2	3
111	собственном смысле	1	3
112	что уже	1	3
113	говорить о	2	3
114	не вполне	1	3
115	и на	1	3
116	ответа на	1	3
117	в различных	1	3
118	стороны и	2	3
119	хотя и	3	3
120	и к	4	3
121	бы и	1	3
122	что это	1	3
123	в этой	1	3
124	в известном	1	3
125	как оно	1	3
126	если бы	4	3
127	не как	1	3
128	на нее	1	3
129	на этой	1	3
130	заключается в	3	3
131	и уже	1	3
132	нисколько не	1	3
133	в этих	1	3
134	работы в	1	3
135	и вот	2	3
136	xx в	1	3
137	этой области	1	3
138	тогда когда	1	3
139	в области	11	3
140	в каком	1	3
141	должен быть	1	3
142	в ней	6	3
143	в собственном	1	3
144	чтобы понять	1	3
145	а также	4	3
146	что с	1	3
147	известном смысле	1	3
148	культурного развития	1	3
149	может оказаться	1	3
150	история и	1	3
151	в начале	2	3
152	и других	2	3
153	из них	2	3
154	что и	1	3
155	именно как	2	3
156	на основании	1	3
157	половины xix	1	3
158	так же	1	3
159	да и	2	3
160	в своем	4	3
161	об отношении	1	3
162	том виде	1	3
163	в результате	1	3
164	относящиеся к	1	3
165	культуры в	2	3
166	в частности	2	3
167	гораздо более	1	3
168	же как	1	2
169	должна быть	1	2
170	что мы	3	2
171	есть не	2	2
172	мы не	3	2
173	что если	1	2
174	которое в	2	2
175	д а	3	2
176	так называемые	2	2
177	литературы и	1	2
178	время в	2	2
179	применительно к	1	2
180	находящееся в	1	2
181	что каждая	1	2
182	не к	2	2
183	в силу	2	2
184	какой бы	1	2
185	и наоборот	1	2
186	общий вопрос	1	2
187	и с	2	2
188	из числа	1	2
189	на свои	1	2
190	в прошлом	1	2
191	для них	2	2
192	должно быть	2	2
193	и при	1	2
194	с точки	3	2
