N	2gram	Bakhtin_fo_2	Literetu
1	а не	4	20
2	и в	46	19
3	может быть	7	17
4	в стихотворении	1	13
5	то же	8	12
6	и не	9	11
7	как и	8	10
8	в том	10	10
9	и т.п	2	10
10	но и	9	10
11	в этом	22	9
12	в то	5	9
13	в мире	4	9
14	же время	4	9
15	не может	2	9
16	не только	11	8
17	и даже	3	8
18	с другой	2	8
19	слова и	3	7
20	том что	4	7
21	так и	7	7
22	и т.д	1	7
23	с одной	2	7
24	то что	7	7
25	и на	7	6
26	в себе	4	6
27	при этом	6	6
28	однако в	1	6
29	себя в	1	6
30	одной стороны	1	6
31	но не	5	5
32	художественного мышления	1	5
33	он не	5	5
34	одна из	1	5
35	так в	1	5
36	в качестве	3	5
37	для всех	1	5
38	у нас	2	5
39	то есть	10	5
40	того что	3	5
41	вместе с	9	5
42	мы не	1	4
43	того же	3	4
44	так что	4	4
45	отнюдь не	4	4
46	человека в	6	4
47	для него	3	4
48	точки зрения	10	4
49	в поэме	1	4
50	не в	9	4
51	в ней	1	4
52	еще в	1	4
53	в его	8	4
54	один из	2	4
55	и других	2	4
56	каждый из	2	4
57	тем что	3	4
58	прежде всего	14	4
59	в частности	5	4
60	жизни в	4	4
61	другой стороны	1	4
62	жизни и	8	4
63	что в	5	4
64	и то	1	3
65	идет о	1	3
66	тем же	2	3
67	в сущности	2	3
68	и он	4	3
69	во всех	11	3
70	в этой	2	3
71	то и	1	3
72	в нем	5	3
73	всех своих	1	3
74	перестает быть	2	3
75	такой же	1	3
76	в их	3	3
77	с точки	8	3
78	вплоть до	2	3
79	не столько	1	3
80	никогда не	6	3
81	по земле	1	3
82	и его	12	3
83	данном случае	1	3
84	в себя	2	3
85	и с	6	3
86	в другом	3	3
87	другого в	1	3
88	в поэзии	2	3
89	а в	3	3
90	так как	6	3
91	себе и	1	3
92	этом отношении	2	3
93	и др	5	3
94	и жизни	1	3
95	в данном	2	3
96	по существу	5	3
97	мыслится как	2	3
98	но это	2	3
99	и для	9	3
100	и как	3	3
101	что он	3	3
102	как на	2	3
103	себя как	1	2
104	ту же	2	2
105	и т	14	2
106	я тебя	1	2
107	и до	2	2
108	с ее	1	2
109	жизни как	2	2
110	из того	1	2
111	в каждой	1	2
112	разумеется не	1	2
113	но как	1	2
114	если в	2	2
115	в истории	4	2
116	все же	6	2
117	как уже	3	2
118	и наконец	6	2
119	и к	2	2
120	но в	10	2
121	то в	2	2
122	жизнь как	2	2
123	в нашем	1	2
124	идут в	1	2
125	жизнь есть	1	2
126	как он	2	2
127	и сам	1	2
128	на этом	2	2
129	одно и	1	2
130	в каждом	1	2
131	а затем	3	2
132	в них	7	2
133	все равно	1	2
134	с этой	4	2
135	с тем	2	2
136	а за	1	2
137	он и	1	2
138	и еще	1	2
139	как бы	10	2
140	с идеей	1	2
141	по преимуществу	1	2
142	одном из	2	2
143	такую же	1	2
144	что было	3	2
145	сердца и	1	2
146	на два	1	2
147	не по	1	2
148	в основе	6	2
149	для кого	1	2
150	но только	1	2
151	при взгляде	1	2
152	в бою	1	2
153	в образах	1	2
154	могут быть	2	2
155	для того	8	2
156	для себя	1	2
157	в виду	3	2
158	в ее	1	2
159	это как	1	2
160	еще не	6	2
161	ко всему	1	2
162	художественного мира	1	2
163	о том	4	2
164	картина мира	2	2
165	и что	1	2
166	а также	3	2
167	и только	2	2
168	в него	1	2
169	было бы	2	2
170	и одновременно	1	2
171	тот же	3	2
172	потому что	8	2
173	уже не	3	2
174	уже в	4	2
175	свидетельствует о	1	2
176	из них	8	2
177	был бы	1	2
178	ведь это	1	2
179	в одном	7	2
180	т п	11	2
181	в конце	2	2
182	что и	3	2
183	вовсе не	13	2
184	у него	9	2
185	я вижу	1	2
186	наконец в	2	2
187	себя и	3	2
188	что не	1	2
189	не было	3	2
190	до конца	2	2
191	в руках	1	2
192	него не	1	2
193	мира в	3	2
194	как это	2	2
195	жизни а	2	2
196	и выше	1	2
197	и каждый	1	2
198	раньше и	2	2
199	нового человека	1	2
200	этом случае	2	2
201	не является	3	2
202	в результате	1	2
203	с ним	4	2
204	же в	4	2
205	не знает	2	2
206	сила и	2	2
207	все что	2	2
208	том числе	3	2
209	эта новая	1	1
210	жизни где	1	1
211	отношения к	4	1
212	начинается с	1	1
213	это и	1	1
214	эту жизнь	2	1
215	здесь и	1	1
216	доверия к	1	1
217	смерть в	1	1
218	должна быть	1	1
219	мы имеем	2	1
220	как мы	6	1
221	что уже	1	1
222	на место	1	1
223	он как	1	1
224	ему в	3	1
225	в будущем	1	1
226	с большой	2	1
227	беседует с	1	1
228	он был	2	1
229	он сам	1	1
230	видения жизни	1	1
231	взгляде на	1	1
232	в чем	1	1
233	самом деле	1	1
234	бывших и	1	1
235	а он	1	1
236	герой не	1	1
237	отличие от	1	1
238	земле в	1	1
239	за пределы	1	1
240	это самое	1	1
241	как в	4	1
242	путь в	1	1
243	о жизни	1	1
244	этой точки	1	1
245	есть в	1	1
246	однако не	1	1
247	в полном	1	1
248	когда он	1	1
249	что по	1	1
250	работает в	1	1
251	и художественного	3	1
252	от этого	2	1
253	в этот	3	1
254	в самом	1	1
255	утверждая что	1	1
256	лежит на	1	1
257	ни один	1	1
258	от бога	1	1
259	все эти	5	1
260	сказано в	2	1
261	еще один	1	1
262	особое место	2	1
263	но он	2	1
264	и те	1	1
265	в случае	1	1
266	с чем	1	1
267	конце концов	1	1
268	всех этих	7	1
269	человеческую телесность	1	1
270	же это	1	1
271	и вот	2	1
272	никак не	1	1
273	к собственному	1	1
274	и сказал	1	1
275	на земле	2	1
276	этой темы	1	1
277	и по	3	1
278	обстоит дело	1	1
279	ни был	1	1
280	таким образом	3	1
281	здесь мы	3	1
282	в вечности	2	1
283	со всеми	2	1
284	на протяжении	3	1
285	как пример	1	1
286	это не	2	1
287	это свидетельствует	1	1
288	должен был	1	1
289	как единое	1	1
290	реальности и	1	1
291	далеко не	2	1
292	и следовало	1	1
293	мы видели	2	1
294	и было	4	1
295	в этих	3	1
296	ему как	1	1
297	в своей	1	1
298	индивидуальной жизни	1	1
299	всегда является	1	1
300	роман о	1	1
301	место в	4	1
302	что до	1	1
303	в отличие	1	1
304	от его	1	1
305	но эта	2	1
306	времени не	1	1
307	обращение к	1	1
308	их в	4	1
309	вещей и	7	1
310	и усиливает	1	1
311	в историческом	2	1
312	случае мы	1	1
313	например и	1	1
314	тому что	1	1
315	что есть	1	1
316	в отношении	2	1
317	не противоречит	1	1
318	что ему	1	1
319	не имеет	1	1
320	даже его	1	1
321	и притом	1	1
322	революции и	1	1
323	и снова	1	1
324	того и	1	1
325	и всегда	2	1
326	как новый	1	1
327	этих двух	1	1
328	в форму	1	1
329	по своей	1	1
330	во всем	1	1
331	есть не	1	1
332	связи с	8	1
333	человека так	1	1
334	дело сводится	1	1
335	что на	3	1
336	за ними	4	1
337	есть у	1	1
338	места для	1	1
339	не могут	1	1
340	в любви	1	1
341	же самое	3	1
342	числе и	2	1
343	к тому	3	1
344	как для	1	1
345	в наши	1	1
346	в последующие	1	1
347	приходит к	1	1
348	и о	2	1
349	более не	1	1
350	того чтобы	8	1
351	свою очередь	1	1
352	здесь не	2	1
353	сама природа	2	1
354	создает и	1	1
355	самим собою	2	1
356	на основе	3	1
357	в особенности	6	1
358	культуры и	1	1
359	в пределах	5	1
360	на свой	1	1
361	была найдена	1	1
362	в личной	1	1
363	в образе	4	1
364	не за	1	1
365	жизнь и	3	1
366	мы в	1	1
367	существующим в	1	1
368	в таком	1	1
369	находится в	2	1
370	и вещи	1	1
371	это мне	1	1
372	сводится к	1	1
373	вот почему	1	1
374	но мы	1	1
375	можно сказать	2	1
376	смерть как	2	1
377	времени в	7	1
378	из общих	1	1
379	и хорошо	1	1
380	здесь мыслится	1	1
381	мире как	1	1
382	иного рода	1	1
383	бы в	1	1
384	время здесь	1	1
385	в литературе	2	1
386	тех пор	1	1
387	толстой например	1	1
388	землю и	1	1
389	в новой	1	1
390	такая же	1	1
391	дело с	1	1
392	жизнь с	1	1
393	в большом	1	1
394	мире и	2	1
395	жизнь через	1	1
396	не можем	1	1
397	же от	1	1
398	за пределами	1	1
399	что писал	1	1
400	ни с	1	1
401	мир в	4	1
402	ее отражения	1	1
403	себе в	1	1
404	руки и	1	1
405	в пространстве	5	1
406	в землю	1	1
407	не для	2	1
408	бытия и	1	1
409	человеческих душ	1	1
410	ее на	1	1
411	он один	1	1
412	там за	1	1
413	рядом с	2	1
414	нет и	3	1
415	никого не	1	1
416	в моменты	1	1
417	или иной	2	1
418	мы это	1	1
419	как у	3	1
420	именно в	2	1
421	я был	1	1
422	и прежде	3	1
423	еще и	1	1
424	души и	1	1
425	в романе	13	1
426	поэтов как	1	1
427	как явление	2	1
428	стремится к	1	1
429	более того	1	1
430	несколько примеров	1	1
431	среди них	1	1
432	человек в	2	1
433	а так	1	1
434	в ряду	4	1
435	которой он	2	1
436	одинокого человека	2	1
437	все более	1	1
438	есть точка	1	1
439	так же	2	1
440	и потому	2	1
441	пространства и	2	1
442	в цикле	1	1
443	все выше	1	1
444	наряду с	2	1
445	в хронотопе	1	1
446	пример в	1	1
447	одновременно с	2	1
448	с тех	1	1
449	в тот	1	1
450	в своем	5	1
451	в это	3	1
452	его в	6	1
453	и от	2	1
454	в основном	8	1
455	своей жизни	2	1
456	автора и	2	1
457	возникает в	1	1
458	в смысле	5	1
459	имел в	1	1
460	не мог	2	1
461	всего в	3	1
462	этом же	1	1
463	войти в	1	1
464	на самом	1	1
465	всего мира	1	1
466	в пределе	1	1
467	с пространством	2	1
468	он по	1	1
469	мира и	9	1
470	которая в	1	1
471	но одновременно	1	1
472	ее и	2	1
473	особого рода	1	1
474	и все	6	1
475	он же	1	1
476	той или	1	1
477	этого рода	1	1
478	еще более	4	1
479	в индивидуальном	2	1
480	когда наконец	1	1
481	традицию в	1	1
482	в системе	1	1
483	и сила	1	1
484	нам не	1	1
485	свет и	2	1
486	такова что	1	1
487	от всех	1	1
488	в свою	1	1
489	в последнем	2	1
490	есть и	4	1
491	занимает в	1	1
492	частности в	1	1
493	ее в	3	1
494	у людей	1	1
495	к этому	3	1
496	они не	1	1
