N	3gram	Nazirov_Tv_2	Myslijsy
1	сами по себе	1	7
2	во всяком случае	2	7
3	в том что	2	7
4	в свою очередь	1	6
5	по крайней мере	2	5
6	до сих пор	3	4
7	в то время	1	4
8	в том смысле	1	4
9	не могут быть	1	3
10	по себе не	1	3
11	мы не можем	1	3
12	и т п	2	3
13	и т д	11	3
14	то все же	1	2
15	в таком случае	2	2
16	только потому что	1	2
17	с другой стороны	2	2
18	то же время	7	2
19	так и в	2	2
20	не может быть	3	2
21	с самого начала	1	2
22	в то же	7	2
23	бы не в	1	1
24	что на ней	1	1
25	потому что в	1	1
26	и всякого рода	1	1
27	дело в том	1	1
28	в нем самом	1	1
29	можно принять за	1	1
30	противоречит тому что	1	1
31	о том как	1	1
32	т д и	1	1
33	вопрос этот и	1	1
34	не противоречит тому	1	1
35	прежде всего его	1	1
36	в отличие от	2	1
37	при этом что	1	1
38	но это не	1	1
39	что для определения	1	1
40	и не может	2	1
41	со всех сторон	1	1
42	не то что	1	1
43	может и не	1	1
44	но в таком	1	1
45	как и в	1	1
46	хотя быть может	1	1
47	и в процессе	1	1
48	в применении к	1	1
49	все же не	2	1
50	в связи с	1	1
51	в наше время	2	1
52	том смысле что	1	1
53	о том что	2	1
54	ничего общего с	1	1
55	в одном из	2	1
56	что у него	1	1
57	его место в	1	1
58	мы знаем что	1	1
59	рядом с ними	1	1
60	мы говорим о	1	1
61	не о том	1	1
62	и в этом	1	1
63	что у нас	1	1
64	известно что в	1	1
65	еще не знал	1	1
