1	не может	9	17
2	точки зрения	4	12
3	может быть	17	12
4	таким образом	1	11
5	мы не	4	9
6	в каждом	2	8
7	и в	19	7
8	в этом	9	7
9	не можем	1	7
10	как и	10	6
11	и не	11	6
12	ничего не	3	6
13	в результате	2	6
14	с точки	3	5
15	все эти	1	5
16	и наконец	2	5
17	прежде всего	4	5
18	что же	1	5
19	же это	1	4
20	нет и	1	4
21	а в	3	4
22	в развитии	1	4
23	вместе с	5	4
24	в том	10	4
25	в целом	2	4
26	не только	8	4
27	как бы	2	4
28	их в	1	4
29	из них	2	4
30	это не	1	4
31	жизни и	4	4
32	мы видели	1	4
33	так как	3	4
34	ведь это	2	3
35	в области	4	3
36	а не	20	3
37	еще не	2	3
38	было бы	2	3
39	то же	12	3
40	при этом	6	3
41	не в	4	3
42	для нас	2	3
43	и к	2	3
44	и мы	1	3
45	и потому	1	3
46	в нем	3	3
47	в системе	1	3
48	уже в	2	3
49	и все	1	3
50	у нас	5	3
51	при таком	1	3
52	но в	2	3
53	одна из	5	3
54	в конце	2	3
55	в этой	3	3
56	у каждого	1	3
57	в одном	2	3
58	и т.д	7	3
59	в первом	1	3
60	в себе	6	3
61	но мы	1	3
62	все же	2	3
63	отнюдь не	4	3
64	как он	2	3
65	первые два	1	2
66	свою очередь	1	2
67	не менее	6	2
68	теперь же	1	2
69	ее на	1	2
70	не могут	1	2
71	могут быть	2	2
72	тем же	3	2
73	каждого из	1	2
74	той же	2	2
75	тем не	2	2
76	в нашем	2	2
77	в свою	1	2
78	о жизни	1	2
79	на этом	2	2
80	у него	2	2
81	из которых	2	2
82	что это	1	2
83	приводит к	1	2
84	которой он	1	2
85	уже не	2	2
86	и даже	8	2
87	или иной	1	2
88	в самом	1	2
89	самом деле	1	2
90	с одной	7	2
91	еще более	1	2
92	в отличие	1	2
93	отличие от	1	2
94	он должен	1	2
95	и по	1	2
96	что в	4	2
97	мы с	3	2
98	же самое	1	2
99	такого рода	9	2
100	в третьем	2	2
101	тот же	2	2
