N	3gram	Berdyaev_M_2	Poddanst
1	в отношении к	2	5
2	в том что	2	4
3	экономического и политического	1	3
4	с точки зрения	1	3
5	но и в	1	2
6	том что в	1	1
7	в этом мире	1	1
8	мы видим в	1	1
9	есть та или	1	1
10	есть прежде всего	5	1
11	должен быть отвергнут	2	1
12	и в этом	3	1
13	хотя бы это	1	1
14	и быть может	1	1
15	в россии и	2	1
16	так же как	3	1
17	в противоречии с	1	1
18	в xix веке	1	1
19	по сравнению с	1	1
20	между тем в	1	1
21	и будущее в	1	1
22	в творчестве достоевского	3	1
23	не может быть	8	1
24	настоящее и будущее	1	1
25	прошлое настоящее и	1	1
26	только в россии	2	1
27	но также и	1	1
28	та или иная	1	1
29	именно потому что	1	1
30	другие народы мира	1	1
31	и в движении	1	1
32	для того чтобы	4	1
