N	2gram	Savitsky_E_1	Retstnzi
1	не может	9	4
2	и в	37	3
3	в центре	1	2
4	если в	2	2
5	один из	1	2
6	и можно	2	1
7	то же	15	1
8	с другими	2	1
9	можно назвать	1	1
10	не из	3	1
11	в ней	4	1
12	может быть	6	1
13	и не	14	1
14	в его	2	1
15	тех же	1	1
16	во второй	3	1
17	он в	1	1
18	связи с	1	1
19	на месте	2	1
20	права и	1	1
21	бы на	1	1
22	не только	18	1
23	с точки	17	1
24	не менее	1	1
25	для него	1	1
26	если бы	2	1
27	с теми	1	1
28	тому что	1	1
29	к тому	8	1
30	несмотря на	4	1
31	и все	2	1
32	именно с	1	1
33	в то	16	1
34	бы в	2	1
35	но и	14	1
36	вполне понятно	1	1
37	точки зрения	23	1
38	и на	6	1
39	может не	1	1
40	мы видим	2	1
41	на примере	1	1
42	же время	14	1
43	по своим	3	1
44	а не	2	1
