1	и в	23	45
2	и не	10	15
3	в этом	16	14
4	но в	2	14
5	не только	17	14
6	и его	1	13
7	в его	11	13
8	как бы	5	12
9	что в	13	12
10	во время	1	12
11	то же	6	11
12	в то	3	11
13	в своем	4	11
14	но и	3	10
15	как и	5	10
16	в том	22	10
17	прежде всего	9	10
18	и с	3	10
19	же время	1	9
20	в самой	1	8
21	и др	1	8
22	вовсе не	5	8
23	как мы	5	8
24	в ней	3	8
25	таким образом	9	8
26	так же	2	8
27	мы видели	3	7
28	все это	2	7
29	том что	11	7
30	также и	5	7
31	потому что	12	7
32	не в	5	7
33	что и	6	7
34	всех этих	1	6
35	того чтобы	11	6
36	здесь не	2	6
37	он не	3	6
38	что он	6	6
39	мысли и	2	6
40	связи с	6	6
41	так и	6	6
42	для того	12	6
43	так как	9	6
44	например в	1	5
45	хотя и	5	5
46	и их	1	5
47	все эти	7	5
48	мы видим	1	5
49	есть и	1	5
50	и как	2	5
51	его в	2	5
52	одной из	1	5
53	в связи	5	5
54	как раз	4	5
55	на самом	3	5
56	на этом	2	5
57	и к	3	5
58	не может	6	5
59	самом деле	14	5
60	и на	1	5
61	но это	5	5
62	это и	3	5
63	характерно что	1	4
64	все они	2	4
65	в их	6	4
66	здесь как	2	4
67	в сущности	4	4
68	и здесь	2	4
69	точки зрения	23	4
70	перед нами	1	4
71	как это	7	4
72	и о	4	4
73	по своему	2	4
74	по поводу	3	4
75	как на	8	4
76	а не	11	4
77	такой же	2	4
78	ничего не	6	4
79	в самом	13	4
80	с этим	1	4
81	на время	1	4
82	сказать что	7	4
83	в основе	1	4
84	в первой	1	4
85	том числе	2	4
86	но не	3	4
87	той же	3	4
88	можно было	11	4
89	только в	6	4
90	а в	5	4
91	кроме того	2	4
92	тому же	3	4
93	а также	4	4
94	же как	1	4
95	чем же	2	4
96	зрения на	3	4
97	не мог	1	4
98	вернемся к	2	4
99	своего рода	2	4
100	мы находим	3	4
101	и от	1	4
102	о том	6	4
103	убеждение в	2	4
104	в общем	6	4
105	мы не	3	4
106	связанные с	1	3
107	для него	1	3
108	мир и	1	3
109	в одной	1	3
110	того что	11	3
111	от их	1	3
112	но он	1	3
113	с помощью	6	3
114	от того	5	3
115	вместе с	2	3
116	как они	2	3
117	и для	1	3
118	в своей	4	3
119	в другом	1	3
120	до нас	1	3
121	от его	1	3
122	но она	1	3
123	ни в	3	3
124	расправиться с	1	3
125	не имеет	3	3
126	что она	5	3
127	что на	3	3
128	и прежде	1	3
129	на этот	2	3
130	и другие	1	3
131	на весь	1	3
132	в одном	2	3
133	дело идет	1	3
134	поэтому и	1	3
135	не могло	1	3
136	часто в	1	3
137	того же	4	3
138	именно в	3	3
139	почти всегда	1	3
140	до сих	8	3
141	почти все	1	3
142	из этих	5	3
143	еще и	2	3
144	форм в	1	3
145	в поэзии	5	3
146	в которых	3	3
147	всего этого	3	3
148	словом и	1	3
149	как в	4	3
150	и вот	3	3
151	менее всего	1	3
152	не менее	12	3
153	не было	4	3
154	нуждается в	1	3
155	там где	3	3
156	роль играет	1	3
157	здесь же	1	3
158	сих пор	8	3
159	дело здесь	1	3
160	находим в	1	3
161	то время	1	3
162	по существу	3	3
163	о чем	2	3
164	но на	3	3
165	это не	3	3
166	как он	2	3
167	несмотря на	1	2
168	в различных	2	2
169	по тому	2	2
170	конечно в	1	2
171	известной мере	1	2
172	можно говорить	10	2
173	не могут	5	2
174	после всего	1	2
175	в отношении	3	2
176	когда в	2	2
177	эти особенности	1	2
178	ту же	1	2
179	с точки	16	2
180	на эту	1	2
181	к нему	1	2
182	было бы	16	2
183	слова и	7	2
184	нас в	3	2
