N	3gram	Potebnia_M_2	VelikijI
1	все что есть	1	3
2	то что мы	2	3
3	а между тем	4	2
4	то что я	1	2
5	том что он	1	2
6	в том что	7	2
7	и т д	3	2
8	но все же	1	1
9	что все в	1	1
10	есть прежде всего	2	1
11	т д и	1	1
12	и то и	1	1
13	в сознании и	1	1
14	бы то ни	1	1
15	есть одна из	1	1
16	по крайней мере	5	1
17	то и другое	4	1
18	вместе с тем	1	1
19	и в жизни	2	1
20	тому что все	1	1
21	даже что в	1	1
22	и в этом	1	1
23	не могут быть	3	1
24	с другой стороны	2	1
25	по сравнению с	1	1
26	не могут и	1	1
27	в одно целое	2	1
28	так и в	2	1
29	в человеке и	1	1
30	после того как	2	1
31	оно не имеет	1	1
32	как и в	1	1
